T,M,a,b,c,d,e,f,g,h,i,j
0.08600000000000001,0.08316860609997531,0.07328047327070786,0.08727854339079988,0.08090414194877615,0.07413706697588907,0.09059232393491645,0.09923914124375932,0.07443777361486226,0.10030182667324183,0.0848252401998324,0.06668952974696785
0.088,0.08076609897830828,0.07021145851321986,0.08455775364253604,0.07908591745834159,0.07157928863954033,0.08769946280970364,0.09612311175553123,0.0722498833114279,0.09829734063713691,0.08276486830385621,0.06509190471178905
0.09,0.07914750132218315,0.0686962269270609,0.08276929937487809,0.07773001152740988,0.06958766918483361,0.08616017427374123,0.09358364220635818,0.07157892957216527,0.09579051422343576,0.08172184385964798,0.06385670207230065
0.092,0.07759906961697864,0.06816303960577386,0.08199124872921149,0.07724847215919095,0.06802779282837468,0.08333060824118566,0.0897190272593309,0.06988878076177285,0.09436731177382451,0.07982520809762783,0.06342920671349372
0.094,0.07701600945893361,0.0680486458636198,0.08220618724613826,0.07660528970036051,0.06757058937948113,0.08329941890549608,0.08758150916786778,0.06950627206706295,0.0935810756409795,0.07926382160377288,0.0624972850145572
0.096,0.0786924068813374,0.07051896087302234,0.08496381728280578,0.07814118043292051,0.07019136484896626,0.08433595719608855,0.08864989488319774,0.06921715521338578,0.0974199417917373,0.07931645023870537,0.06416934605254432
0.098,0.07747127437563123,0.06854360968604023,0.08386372583870272,0.0768152159111467,0.0701429343389206,0.08245607149780898,0.08744950012667285,0.06638847138781057,0.09887228731111208,0.07698938015569678,0.06319154750240075
0.1,0.0757483887601526,0.06673797884808541,0.08208383927783847,0.07542608610492607,0.06795656708565867,0.08121963237109608,0.08475928065801774,0.06569666363832816,0.0961862967811874,0.07579062848024665,0.061626914356141316
0.10200000000000001,0.07549608243720118,0.06569868620803831,0.08143711774561113,0.07481518492628836,0.06799835726410408,0.08117234211831326,0.08545337607125503,0.06532301485018521,0.09637960893465058,0.07559287446255059,0.06109026179101529
0.10400000000000001,0.07468053917283458,0.0653721014990265,0.08058700704838484,0.0743352074818252,0.06670328540466586,0.08021732822321592,0.0840785588960764,0.06523160889765367,0.0944927547903851,0.07509806767502858,0.06068947181208373
0.106,0.07482820931761583,0.0657624700007875,0.08032030287566128,0.07439970815663455,0.06614545145958306,0.0806059960065123,0.08481036395122699,0.06653860643189069,0.09291142825987042,0.07599788902218474,0.060789877011806714
0.108,0.07428602417767018,0.064753679880031,0.07948742716440316,0.07389238096796547,0.06601056561174679,0.07957545620811557,0.084803677949145,0.06537070480384688,0.09334638847311383,0.07509726419822127,0.06052269652011277
0.11,0.07187449512452412,0.06274802331833329,0.0775752452256635,0.07156394088701834,0.0631218748540413,0.07819930553456156,0.08044582599513495,0.06447883128065723,0.08927004386189752,0.07328877865967254,0.05805308162826106
0.112,0.07164370550632836,0.06354098392780827,0.07752624279360942,0.07160612731881921,0.06224259098647833,0.07730060189271937,0.07984415112068588,0.0650479714884139,0.08769519783357482,0.07332428265871604,0.05830890504245834
0.114,0.07111964604612517,0.06198977897445179,0.07666237114211105,0.07056684699660809,0.06211331579193491,0.07775040271955469,0.07986580772085228,0.06453603535467001,0.08750577078602861,0.07299947208486546,0.05720665889017473
0.116,0.07094368334413335,0.06164551007071439,0.07604109678590099,0.06973745483666927,0.06153376666715338,0.07851398209540161,0.08050909266140183,0.06570026315581357,0.08554179979200782,0.07378574022742668,0.05642812714884404
0.11800000000000001,0.06966988619240258,0.061849224643571565,0.07544818416436916,0.06853410750199496,0.05949491065450829,0.07694011252013178,0.07801481203647298,0.06585158501376698,0.08198981486249834,0.07316891938767744,0.05540719113903425
0.12,0.07017283367610651,0.06235576744896931,0.07572883674706521,0.0692386727196953,0.06007853225583415,0.07673490287224649,0.07892974691456467,0.06586123164358881,0.08328101114855291,0.07322804629793156,0.056291588712616636
0.122,0.0700477354990475,0.06172291181319611,0.07417490819452965,0.06831422656551311,0.05955696070175276,0.07679283174407192,0.0811734383044379,0.06720881850700322,0.08150505669345809,0.07416297117384996,0.0558652312926623
0.124,0.06968692582129639,0.061553094573305156,0.07476251531820188,0.06717267703271079,0.0595369563968241,0.07833119507547337,0.07987837983808355,0.06699644835875074,0.0801855952166104,0.07408328706579237,0.05436910933721151
0.126,0.06870554950287913,0.06116882684005209,0.07459501678530189,0.06639808923024804,0.0585244935996968,0.07735870103516695,0.07757866630207144,0.06606139864322691,0.07885984984930217,0.07297870712550725,0.05353174561821783
0.128,0.06664547311333065,0.05751150386351134,0.0706671055441821,0.06307307369065629,0.05676802224238031,0.07654186179390099,0.07834437010905182,0.06535087784305404,0.07497108873731129,0.07227695575686655,0.05094987155239172
0.13,0.06673088496166216,0.05845548815198842,0.07118367244148371,0.06287430951117545,0.056739991282831914,0.0766365213297231,0.0782758276956409,0.06573024391362059,0.07417438208110694,0.0724322980414418,0.05080611516760869
0.132,0.06700162316508909,0.05881873485158662,0.0708028650425444,0.06222755768715671,0.05712771475465217,0.07733685731853368,0.0802305877322036,0.06634003973768432,0.07367084597510143,0.07287503938659934,0.05058598916482859
0.134,0.06386927420351374,0.054387316217380466,0.06678859913719326,0.05974485158253362,0.05394022162331935,0.07342562918518869,0.07683445656887922,0.06376686636447415,0.07054511898981153,0.07045731302898639,0.0488023693373707
0.136,0.0653297837952252,0.056234462925994766,0.06884956451298052,0.06103934820366752,0.0556139841102411,0.07541460154921775,0.07814749508124974,0.06454636388194879,0.0726080856924497,0.07120522419299302,0.04963870780150903
0.138,0.06492902022318522,0.05548586451111892,0.06878405942384658,0.06176198274689226,0.055263738730892964,0.0739042227542892,0.0763044128614383,0.06336921522848371,0.0740637798763617,0.07022912804358727,0.05012379805494138
0.14,0.06521287254061722,0.055411391885349826,0.06931111113722255,0.062324352907776714,0.05588802383944458,0.07427135200413626,0.0761557106662305,0.0627554973744473,0.07573612044506128,0.06984628270202697,0.050428882444476186
0.14200000000000002,0.06564380556306489,0.055118094850733934,0.06908481649924791,0.06304855440878898,0.05657660147131138,0.0738472908258051,0.07744361032790326,0.06232707297366924,0.07798257980391776,0.06975508587887169,0.05125434859039957
0.14400000000000002,0.0658049677732229,0.05502059740426457,0.06991816035978149,0.06326375832886677,0.057302054083933185,0.07442377366121244,0.07688622325545025,0.061333908971879736,0.07958103586222798,0.06913186592336229,0.05118829988125018
0.146,0.0651732620074883,0.053877992759892135,0.06978055524194837,0.0629730131996612,0.057405677246133435,0.07354837493169819,0.0754262212793253,0.059260105112303285,0.0811617221098101,0.06754734268534812,0.05075161550876284
0.148,0.06520277967925361,0.05379643074474705,0.06987428233059867,0.0633274249983915,0.057959838055377744,0.07239302977862638,0.07535749309350348,0.057974031653017066,0.08330162650541673,0.06684787884157595,0.05119576079128152
