T,M,a,b,c,d,e,f,g,h,i,j
0.044,0.012838636006930259,0.010536980801395202,0.018210383676810715,0.010511074188776837,0.016116657644927757,0.010215432628641552,0.013730414961183102,0.009334008070930877,0.01630824690259014,0.00703970930501685,0.016383451889029566
0.046,0.012273471649576807,0.010132823243691136,0.017423665410573608,0.01004768578262516,0.015443407275454568,0.00979259234080987,0.013087924044985266,0.008805374626614015,0.015510664879321068,0.006748740148827315,0.015741838742866054
0.048,0.011738698442793826,0.009745743199661372,0.016679849558083437,0.009609033456240867,0.014803680597589408,0.009390001635838585,0.012481718124271013,0.00831348258792508,0.014759988618075148,0.006472503029098409,0.015130983621154948
0.05,0.01123212021659623,0.009374797747945696,0.015975653320733252,0.009193450345905352,0.014195241010402815,0.00900647288929357,0.011909074522136964,0.007855185911687212,0.014052759939739645,0.006209870144046503,0.014548696334071298
0.052000000000000005,0.010751752251453061,0.009019126318699389,0.01530812381094826,0.008799411158999848,0.013616058941080977,0.008640909196984237,0.011367538685444378,0.007427659179528812,0.013385843921819962,0.005959840430826202,0.013993010870198552
0.054,0.01029579622106468,0.008677940286675678,0.014674599028463353,0.008425517005517635,0.013064286963995086,0.008292294879388207,0.010854892358214796,0.007028360149503032,0.012756391156747204,0.005721522423790648,0.01346215795835115
0.056,0.00986261859573454,0.008350513995481035,0.014072674102183935,0.00807048238520025,0.01253823848247182,0.00795968734681507,0.010369126082049207,0.0066549972425751225,0.01216180529923594,0.0054941196452644725,0.012954541376068551
0.058,0.009450731977011984,0.008036177048979853,0.013500171995462718,0.007733123875358405,0.012036369419905157,0.007642210118363191,0.009908415368190648,0.006305501236279931,0.011599715118177145,0.005276918143626741,0.012468717445776045
0.06,0.009058778921801746,0.007734307750205449,0.012955117974781105,0.0074123503462969476,0.011557262468100293,0.007339046747420808,0.00947110000560536,0.005978000532674277,0.011067950332627974,0.005069275844286292,0.012003377216018962
0.062,0.008685517886934346,0.0074443275153439625,0.012435717307239025,0.007107154392861914,0.011099613503127492,0.007049435544122518,0.009055666026124176,0.005670799523473047,0.010564520678534639,0.004870613434510673,0.011557330944006017
0.064,0.008329810979268836,0.007165696154532775,0.01194033572196096,0.006816604811295424,0.010662219839439824,0.0067726649319549415,0.008660729951433077,0.005382359611402876,0.010087597681669669,0.00468040654429569,0.011129494544703133
0.066,0.007990613246021438,0.006897907896500355,0.011467482254583938,0.006539839909052492,0.010243970036423078,0.006508069352589074,0.008285024994317713,0.005111282533620032,0.009635498737625925,0.004498179016615644,0.010718877728886134
0.068,0.007666963273481864,0.006640488018547441,0.011015794152876901,0.006276061522599186,0.009843835005205137,0.0062550256169064955,0.007927388934603208,0.004856295668553945,0.009206673117331587,0.004323497091936357,0.01032457360625838
0.07,0.007357974903900877,0.00639298998561999,0.010584023546296395,0.006024529622356556,0.009460860212292643,0.006012949634497833,0.007586753432972104,0.004616239072439687,0.008799689609659267,0.004155964371320153,0.00994574955155414
0.07200000000000001,0.007062829901172496,0.006154992984407026,0.010171025643371578,0.005784557405014934,0.009094158787711693,0.005781293462295611,0.007262134594206215,0.004390054005858346,0.008413225546773484,0.00399521742769815,0.009581639154387922
0.074,0.006780771430175847,0.0059260997812068394,0.009775748246651061,0.005555506822474743,0.008742905401984746,0.00555954260761482,0.006952624580101263,0.004176772748399227,0.008046057007241703,0.0038409219815193074,0.00923153512456476
0.076,0.006511098242335478,0.0057059348294166146,0.009397222418758622,0.0053367844878504656,0.0084063307979233,0.005347213572239218,0.006657384166258717,0.0039755095497600035,0.007697050027503427,0.003692769551908781,0.00889478302173563
0.078,0.006253159470782166,0.005494142584906103,0.00903455415060117,0.0051278379240369265,0.008083716876516434,0.005143851589073933,0.006375636093539527,0.0037854525591386468,0.007365152690414156,0.0035504745308585495,0.008570775708736211
0.08,0.006006349965393465,0.005290385988888646,0.008686916922743482,0.0049281521280400975,0.007774392277404174,0.0049490285344414575,0.006106659139096582,0.0036058566249584922,0.007049387980085142,0.003413771617895689,0.008258948440380887
0.082,0.005770106103930528,0.005094345092145014,0.0083535450477914,0.004737246430496556,0.007477728387802585,0.004762341007878423,0.005849782810616433,0.0034360368597854407,0.0067488473112076175,0.0032824135790374687,0.007958774512544342
0.084,0.0055439020276529475,0.004905715805114563,0.00803372772023292,0.004554671619471873,0.007193135737835532,0.0045834085575913175,0.005604382602636848,0.0032753628812931534,0.006462684665284657,0.003156169286391508,0.0076697614006771
0.08600000000000001,0.0053272462568925375,0.004724208749879666,0.00772680369187817,0.00438000732281707,0.00692006074111684,0.004411872042584197,0.005369875751351616,0.0031232536587095794,0.006190111267623144,0.0030348220091424016,0.007391447333822687
0.088,0.005119678649188797,0.004549548216386867,0.0074321565111659105,0.004212859616749998,0.006657982748041635,0.004247392126043303,0.005145717440024344,0.002979172895519855,0.005930390758823734,0.002918167923498749,0.007123398255633573
0.09,0.004920767662955972,0.004381471202596909,0.007149210271772288,0.004052858856697594,0.006406411378803378,0.0040896478773624345,0.0049313974042130004,0.002842624890106893,0.005682834806572612,0.0028060148195088175,0.006865205121925788
0.092,0.004730107901198622,0.004219726537201485,0.006877425816796623,0.003899657697434167,0.006164884116191871,0.003938335492571943,0.00472643690590524,0.0027131508278435135,0.005446799135496949,0.002698180974387898,0.006616481508156524
0.094,0.004547317905439973,0.004064074080051605,0.006616297359650081,0.003752929307019648,0.005932964122321804,0.003793167109116702,0.004530386032066902,0.0025903254564718647,0.005221679925663025,0.002594494179657958,0.006376861482380147
0.096,0.004372038177201021,0.003914283990950618,0.006365349476053717,0.003612365737635015,0.005710238271917745,0.0036538697178737367,0.0043428212901509555,0.0024737541040931177,0.005006910555837463,0.002494790897259569,0.006145997730238273
