t,a,b,c,d,e,f,g,h,i,l,m,n,o,p,q,r
0.06,0.6721470561020914,0.00011343020214777967,0.0050231513853688375,0.0007909263326473035,0.13113433220836043,2.6090087228291982e-05,0.003384338976833579,0.00015807504012316085,0.14641918146729604,2.5836268037484648e-05,0.0014008802952592888,0.00017673279813364552,0.03835112954232893,7.507906818138876e-06,0.0007941362621888249,4.7195125137098605e-05
0.062,0.6802885979729907,0.00014260991089369416,0.0051768757379714765,0.0009239619810436454,0.1280872377445549,3.181221570853448e-05,0.0035491826115524577,0.0001780559995281838,0.14291869437238386,3.127912904422899e-05,0.0013857182729757529,0.0001990041953591836,0.03622791218338596,8.82851554942238e-06,0.0007988647305453042,5.136442651272344e-05
0.064,0.6881848860557268,0.00017586482249657283,0.005335957349140387,0.00106406563193944,0.12507584646072287,3.806897184888021e-05,0.0037171107245357374,0.00019775742684722788,0.13946060198357368,3.7156666178923353e-05,0.0013712476173489046,0.00022095111688499817,0.034251889344472895,1.0198143165716994e-05,0.0008032142300671694,5.518345504974424e-05
0.066,0.6958393671560453,0.0002133024695691251,0.005500339584033318,0.0012105586437724375,0.12210396947829598,4.4830731543879505e-05,0.003887681328432303,0.0002170201637571831,0.1360485135182104,4.3425521811141434e-05,0.0013574275909988642,0.00024239587218633256,0.03241380502010406,1.1603829055751407e-05,0.0008071097745225008,5.864931766156662e-05
0.068,0.703255745751935,0.00025500296908703615,0.0056699394066080004,0.0013627829109270993,0.11917498076999047,5.20648612628713e-05,0.004060468301055073,0.00023571119291459757,0.13268561260558617,5.0039888991114684e-05,0.0013442168935474878,0.00026318974232283324,0.030704950341195622,1.303401991316662e-05,0.0008104920333981746,6.176831126532811e-05
0.07,0.7104379524930878,0.0003010204467386918,0.005844649449526259,0.001520102613009202,0.11629184842911548,5.9736627125047596e-05,0.004235062356779999,0.0002537211067555307,0.12937468832556123,5.695256086183185e-05,0.0013315743728274602,0.00028321011618338094,0.029117133126024045,1.4478653492199901e-05,0.000813315678014311,6.455364489747992e-05
0.07200000000000001,0.717390114893571,0.00035138452704978657,0.006024340083770599,0.0016819056197829607,0.11345716415179101,6.780998094954982e-05,0.0044110717934823206,0.00027096172155999167,0.12611816441470056,6.411582945364693e-05,0.001319459615278267,0.00030235780804279425,0.02764264899428822,1.592917504632122e-05,0.0008155478269681018,6.702356426478876e-05
0.074,0.7241165301064675,0.0004061018679377552,0.0062088614704668066,0.0018476045837598548,0.11067317101233276,7.624823345498468e-05,0.004588123037371998,0.0002873638409621041,0.12291812672715406,7.148224700675716e-05,0.0013078334273739151,0.000320554557094013,0.026274253973251088,1.7378503496893347e-05,0.000817166594151445,6.919981771837416e-05
0.076,0.7306216396724287,0.0004651577207874473,0.006398045579761622,0.002016637750963697,0.10794178960996352,8.50146246732149e-05,0.004765861006943853,0.0003028751701815979,0.11977634903477906,7.900526264163502e-05,0.0012966582195263017,0.0003377407070018054,0.02500513852769545,1.8820961151555175e-05,0.0008181597403762512,7.110641112429415e-05
0.078,0.7369100061374094,0.000528517499432759,0.0065917081638017525,0.0021884695187952344,0.10526464266285529,9.40728013752186e-05,0.004943949316026651,0.0003174583799362408,0.11669431724826683,8.663974672094767e-05,0.0012858983033818554,0.0003538730614797313,0.023828902948061316,2.0252178092741294e-05,0.0008185234278922264,7.276860647181105e-05
0.08,0.7429862914382575,0.000596128343570785,0.006789650672893451,0.002362590768231797,0.10264307812329568,0.00010338721092287639,0.005122070334635249,0.00033108931717506195,0.11367325213828165,9.434241466066206e-05,0.0012755201128154417,0.0003689229103275508,0.022739534033654765,2.166898010652088e-05,0.000818261075719069,7.421212545190616e-05
0.082,0.748855236958339,0.0006679206641214629,0.006991662105790424,0.002538518995864314,0.10007819088552418,0.00011292342049304456,0.005299925125030766,0.00034375535836862444,0.110714130632871,0.00010207216128720166,0.001265492358255421,0.000382874219201506,0.02173138301024756,2.306926715286577e-05,0.0008173823126741153,7.546252477839365e-05
0.084,0.7545216451589088,0.0007438096598759384,0.007197520786762367,0.0027157982695281773,0.09757084315549729,0.00012264837009627876,0.005477233269098096,0.00035545390003646705,0.10781770576465144,0.00010979031612945689,0.0012557861232718069,0.00039572197555645466,0.020799144623731204,2.445188783226623e-05,0.0008159020242026036,7.654471482116804e-05
0.08600000000000001,0.759990362695515,0.0008236967964529998,0.007406996063642152,0.002893999029552411,0.09512168354953411,0.0001325305672539355,0.005653732601876733,0.00036619098042442737,0.10498452533853744,0.00011746082930145481,0.0012463749116453733,0.0004074706826384006,0.01993783735375971,2.581651403035812e-05,0.0008138394885643159,7.74825972712002e-05
0.088,0.7652662649323039,0.0009074712401088619,0.007619849922441421,0.0030727177559539283,0.09273116498647242,0.00014254023062154449,0.00582917886484339,0.00037598002571569844,0.10221494938805724,0.0001250503968912579,0.0012372346524246742,0.0004181329930688592,0.01914278469351661,2.716351887915427e-05,0.0008112175975577002,7.829880114343192e-05
0.09,0.7703542417706728,0.000995011240326868,0.007835838515369589,0.0032515765202563553,0.09039956143563671,0.00015264938926708567,0.006003345291353856,0.0003848407138264192,0.09950916648560294,0.00013252853403804344,0.0012283436697820957,0.0004277284734065981,0.018409597443879638,2.8493860324042112e-05,0.0008080621567371373,7.901449951980569e-05
