t,ex0,to0,cg0,ex1,to1,cg1,ex2,to2,cg2
0.12,0.97062955395723,0.9516329714485617,0.8962709136600022,0.9667414247455998,0.9642578537122022,0.8801674555549284,0.9596537128057308,0.968947889776521,0.8533475748806106
0.13,0.9655636913515111,0.943417498588298,0.8861903287499241,0.9610180103878992,0.9581169590421083,0.8689511851419734,0.9527501021707049,0.963588424769051,0.8403056418858794
0.14,0.9601096770835197,0.9346186105094825,0.8759191741027816,0.954863098338031,0.9515174378700402,0.8575797596924681,0.9453414567695958,0.9578201535402364,0.8271760351061682
0.15,0.9542727089544507,0.9252537050790839,0.8654647478417787,0.948284405980804,0.9444685355953407,0.8460611745766506,0.9374401875380125,0.9516496182591161,0.8139672623289543
0.16,0.9480581094509315,0.9153404717490837,0.8548342616165492,0.9412897933335214,0.9369796576662314,0.8344032984382427,0.9290588843096644,0.9450834786962733,0.8006876492123806
0.17,0.9414713257450222,0.9048968915564762,0.8440348406031573,0.9338872630459794,0.9290603695798119,0.8226138731944496,0.9202103158163619,0.9381285122238356,0.7873453392852555
0.18,0.9345179296942162,0.8939412371232682,0.8330735235040975,0.9260849604004684,0.9207203968820602,0.81070051403596,0.9109074296880163,0.9307916138154753,0.7739482939470533
0.19,0.9272036178414391,0.8824920726564797,0.8219572625482945,0.917891173311772,0.9119696251678329,0.7986707094269463,0.901163352452639,0.9230797960464087,0.7605042924679137
0.2,0.9195342114150499,0.8705682539481429,0.8106929234911034,0.9093143323271675,0.9028181000808647,0.7865318211050641,0.8909913895363424,0.9150001890933966,0.7470209319886422
0.21,0.91151565632884,0.8581889283753031,0.7992872856143096,0.9003630106264262,0.8932760273137688,0.7742910840814529,0.8804050252633397,0.9065600407347447,0.7335056275207097
0.22,0.9031540231820339,0.8453735349000184,0.7877470417261284,0.8910459240218125,0.8833537726080365,0.7619556066407351,0.8694179228559447,0.8977667163503024,0.719965611946253
0.23,0.8944555072592889,0.8321418040693596,0.7760787981612057,0.8813719309580847,0.8730618617540379,0.7495323703410173,0.8580439244345716,0.8886276989214638,0.7064079360180744
0.24,0.8854264285306951,0.8185137580154099,0.7642890747806176,0.8713500325124948,0.862410980591021,0.7370282300138888,0.8462970510177359,0.8791505890311674,0.6928394683596418
0.25,0.8760732316517753,0.8045097104552659,0.7523843049718704,0.8609893723947882,0.8514119750071125,0.7244499137644232,0.8341915025220531,0.8693431048638961,0.6792668954650889
0.26,0.8664024859634853,0.7901502666910364,0.7403708356489006,0.8502992369472041,0.8400758509393172,0.7118040229711772,0.8217416577622398,0.8592130822056773,0.6656967216992149
0.27,0.8564208854922137,0.7754563236098433,0.7282549272520753,0.8392890551444754,0.8284137743735186,0.6990970322861908,0.8089620744511135,0.8487684744440827,0.6521352692974847
0.28,0.8461352489497819,0.7604490696838211,0.7160427537481914,0.8279683985938284,0.8164370713444782,0.6863352896349878,0.7958674891995916,0.8380173525682282,0.6385886783660286
0.29,0.8355525197334441,0.7451499849701171,0.7037404026304763,0.8163469815349831,0.8041572279358359,0.6735250162165756,0.7824728175166932,0.8269679051687745,0.6250629068816431
0.3,0.8246797659258873,0.7295808411108913,0.6913538749185877,0.8044346608401532,0.7915858902801101,0.6606723065034446,0.768793153809537,0.8156284384379264,0.6115637306917897
0.31,0.8135241802952317,0.7137637013333163,0.6788890851586136,0.7922414360140462,0.7787348645586976,0.6477831282415693,0.7548437713833436,0.8040073761694333,0.5980967435145959
0.32,0.8020930802950296,0.697720920449578,0.6663518614230719,0.7797774491938627,0.7656161170018732,0.6348633224504071,0.740640122441433,0.7921132597585889,0.5846673569388545
0.33,0.7903939080642668,0.6814751448568744,0.6537479453109114,0.7670529851492975,0.7522417738887905,0.6219186034228995,0.726197838085227,0.7799547482022312,0.5712808004240246
0.34,0.7784342304273617,0.6650493125374167,0.6410829919475105,0.7540784712825387,0.7386241215474814,0.608954558725471,0.7115327283142474,0.7675406180987429,0.5579421213002304
0.35000000000000003,0.7662217388941654,0.6484666530584289,0.6283625699846782,0.740864477628268,0.7247756063548558,0.59597664919803,0.6966607820261168,0.7548797636480507,0.5446561847682616
0.36,0.7537642496599621,0.6317506875721471,0.6155921616006539,0.7274217168536612,0.7107088347367023,0.582990208953968,0.681598167016559,0.7419811966516259,0.531427673899574
0.37,0.7410697036054686,0.6149252288158211,0.6027771625001069,0.7137610442583868,0.6964365731676876,0.5700004453801603,0.6663612299793977,0.7288540465124844,0.5182610896362889
0.38,0.7281461662968346,0.5980143811117126,0.589922881914137,0.6998934577746081,0.681971748171357,0.5570124391369654,0.6509664965065578,0.7155075602351864,0.5051607507911928
0.39,0.7150018279856427,0.5810425403670967,0.5770345426002743,0.6858300979669811,0.6673274463201341,0.5440311441582257,0.6354306710880646,0.701951102425836,0.4921307940477387
0.4,0.7016450036089081,0.5640343940742606,0.5641172808424788,0.6715822480326559,0.6525169142353205,0.5310613876512669,0.6197706371120446,0.6881941552920825,0.47917517396004433
