t,n2,n4,n10,n20,f2,f4,f10,f20
0.23,9.721943923116146e-05,7.306575495070403e-07,2.798255942406776e-13,1.5543657179973194e-15,0.00031172307200296926,2.043235528450914e-06,5.450785292154725e-13,1.0706630843821127e-22
0.24,0.00011513743893770809,9.412408422789317e-07,4.642945637352367e-13,2.2204819633145188e-15,0.0003541760292076145,2.5277578054022177e-06,8.70515559443313e-13,2.61700377060945e-22
0.25,0.0001354071471508793,1.1998339527644778e-06,7.533424699956374e-13,1.6654124629866565e-15,0.00040031832004983926,3.100125639284366e-06,1.3639328035309877e-12,6.167490007823345e-22
0.26,0.000158221334080174,1.5147128768941862e-06,1.200189964320139e-12,1.2213725307082463e-15,0.00045030366676454244,3.7717768568399796e-06,2.0997118869369756e-12,1.405427929419187e-21
0.27,0.00018377945613426492,1.89514885230602e-06,1.8795278493523133e-12,1.1103263606066878e-15,0.0005042857915866232,4.55510164340807e-06,3.1801989140748763e-12,3.1046119140510122e-21
0.28,0.00021228751934634116,2.3514776029169912e-06,2.895125536580542e-12,1.110393102968687e-15,0.0005624184167509807,5.463480637267888e-06,4.744508444646451e-12,6.6632626217145655e-21
0.29,0.00024395793845493702,2.8951694968944064e-06,4.39099618273639e-12,1.110362947739979e-15,0.0006248552644925137,6.511323023982783e-06,6.979605176724785e-12,1.3922788578741896e-20
0.3,0.0002790093917490437,3.538900432163472e-06,6.565203072004768e-12,9.994446418338098e-16,0.0006917500570461221,7.714104630744072e-06,1.0134134900794748e-11,2.8373611734975225e-20
0.31,0.00031766667179542303,4.29662326605689e-06,9.684807178333576e-12,1.221463385900765e-15,0.0007632565166467047,9.088406020714869e-06,1.4535551406001418e-11,5.648899431243578e-20
0.32,0.0003601605321606756,5.1836395966220575e-06,1.4107228949854342e-11,1.6654438662453753e-15,0.0008395283655291606,1.0651950587373958e-05,2.0611169780099734e-11,1.100316985431617e-19
0.33,0.00040672753025124527,6.216671702414672e-06,2.030600850406042e-11,1.8875385880944116e-15,0.0009207193259283888,1.2423642648859642e-05,2.8913869587429926e-11,2.0997181866015347e-19
0.34,0.0004576098663916714,7.413934450576093e-06,2.8903329061165858e-11,1.998589680983408e-15,0.0010069831200792887,1.4423605542313602e-05,4.0153274396891295e-11,3.9302984521124457e-19
0.35000000000000003,0.0005130552192669349,8.795206977233997e-06,4.0708891568411796e-11,1.776584707567344e-15,0.0010984734702167592,1.6673219718224756e-05,5.523334774941266e-11,7.22432381030439e-19
0.36,0.0005733165778620115,1.0381903945186716e-05,5.6768184374568345e-11,1.221597693277257e-15,0.0011953440985756991,1.919516083477309e-05,7.529747060971902e-11,1.3053314101294346e-18
0.37,0.0006386520700188661,1.2197146182914454e-05,7.842099935633756e-11,8.886088116381151e-16,0.0012977487273910084,2.2013437852173576e-05,1.017822023710043e-10,2.3206223885026843e-18
0.38,0.0007093247877543977,1.4265830510346695e-05,1.0736936997967178e-10,1.1106597061929029e-15,0.001405841078897586,2.5153431127019946e-05,1.3648107732700313e-10,4.062784635529148e-18
0.39,0.0007856026094687704,1.661469855442781e-05,1.4576231705831772e-10,1.1109787432493147e-15,0.0015197748753303306,2.86419305066286e-05,1.8161995197032444e-10,7.01011302141459e-18
0.4,0.0008677580191771393,1.9272404362187764e-05,1.9629520207402025e-10,1.111209556292261e-15,0.001639703838924142,3.2507173423382445e-05,2.3994559631799046e-10,1.1929660660276612e-17
0.41000000000000003,0.000956067922916042,2.226958061567038e-05,2.623264327900052e-10,1.3329361449808141e-15,0.0017657816919139184,3.6778882989074754e-05,3.1482941552700413e-10,2.003684153714023e-17
0.42,0.0010508134624508793,2.563890325951522e-05,3.480162403407093e-10,1.3327298350623771e-15,0.001898162156534559,4.1488306089253e-05,4.1038839718934747e-10,3.323558831571671e-17
0.43,0.0011522798264376256,2.9415154351157014e-05,4.584868332232947e-10,1.3327008717469001e-15,0.002036998955020964,4.66682514775628e-05,5.316256057548467e-10,5.447607882332782e-17
0.44,0.0012607560591763982,3.3635282945391135e-05,6.000117296021704e-10,1.4438690919208304e-15,0.0021824458096080324,5.235312787009164e-05,6.845927894123844e-10,8.828247063623066e-17
0.45,0.00137653486710509,3.83384638298801e-05,7.80233032622327e-10,1.5551008768482202e-15,0.0023346564425306628,5.8578982039712815e-05,8.76577927378461e-10,1.4152431506759019e-16
0.46,0.001499912423179995,4.356615392987048e-05,1.0084128912255132e-09,1.6672446497192517e-15,0.002493784576023754,6.538353691042925e-05,1.1163208278332878e-09,2.2453432287381163e-16
0.47000000000000003,0.0016311881692878186,4.9362146205893786e-05,1.295722166513531e-09,2.003097325756273e-15,0.002659983932322206,7.280622965171738e-05,1.4142601896675791e-09,3.5271447995374193e-16
0.48,0.0017706646168410963,5.577262086638314e-05,1.6555718531932014e-09,2.0130671759862397e-15,0.002833408233660916,8.088824977287097e-05,1.782815865739905e-09,5.488254691541149e-16
0.49,0.0019186471457044204,6.284619373018889e-05,2.1039893962633213e-09,2.2527775844218126e-15,0.0030142112022747865,8.967257721734507e-05,2.236710412499607e-09,8.462251977697182e-16
0.5,0.0020754438016035337,7.063396157109818e-05,2.6600460175464733e-09,2.51140466994701e-15,0.003202546560398714,9.920402045709971e-05,2.7933343816314628e-09,1.2934164004886744e-15
0.51,0.0022413650921658864,7.918954428313751e-05,3.346340754734858e-09,3.2414741726704182e-15,0.003398568030267599,0.00010952925458694388,3.4731602048760242e-09,1.9603877068662795e-15
0.52,0.0024167237817446035,8.856912371287833e-05,4.189544026581148e-09,3.4191645388600432e-15,0.0036024293341163395,0.00012069685941887935,4.300209944446926e-09,2.947395993037307e-15
0.53,0.002601834685176375,9.883147900685302e-05,5.221011467925256e-09,4.643007646581524e-15,0.0038142841941798352,0.0001327573575764445,5.3025826295997844e-09,4.397051315450032e-15
0.54,0.0027970144606286897,0.0001100380183308653,6.477465143046227e-09,6.348162250548074e-15,0.004034286332692986,0.00014576325258905824,6.5130473760253466e-09,6.5108430847759084e-15
0.55,0.0030025814016804058,0.00012225280682124476,8.001757299695473e-09,8.8961591066861e-15,0.0042625894718906895,0.0001597690669863637,7.969708989984179e-09,9.57160464561892e-15
0.56,0.0032188552287949032,0.00013554259063641675,9.84371665266789e-09,1.3151279360467643e-14,0.004499347334007846,0.00017483138039257242,9.716753294635932e-09,1.3973874533653945e-14
0.5700000000000001,0.003446156880331871,0.00014997681698345969,1.2061085398295414e-08,1.890133717654335e-14,0.004744713641279354,0.0001910088676208078,1.1805279983030589e-08,2.0264702928236294e-14
0.58,0.003684808303249403,0.00016562764999553171,1.4720554309885111e-08,2.7310944609854333e-14,0.00499884211594011,0.00020836233676744905,1.429423140193236e-08,2.9198203913485725e-14
0.59,0.003935132243646044,0.00018256998235259683,1.7898900004792517e-08,3.9271487847328956e-14,0.00526188648022502,0.0002269547673064757,1.72514263042722e-08,4.180810825515581e-14
0.6,0.0041974520372950975,0.00020088144253737684,2.1684231482573158e-08,5.586048747492856e-14,0.005534000456368977,0.0002468513481838103,2.0754708276827644e-08,5.950377659722676e-14
0.61,0.004472091400313931,0.00022064239762642986,2.6177353585462668e-08,7.890444048184511e-14,0.005815337766606884,0.00026811951591166315,2.4893219254989313e-08,8.4196649116063e-14
0.62,0.004759374220120596,0.00024193595152380797,3.149325249959951e-08,1.1198420911605612e-13,0.006106052133173638,0.0002908289926628758,2.9768809279490904e-08,1.1846600740031333e-13
0.63,0.005059624346824212,0.0002648479385592213,3.776270544537942e-08,1.5798105401335573e-13,0.0064062972783041384,0.000315051824365265,3.5497594432080745e-08,1.6577529558749059e-13
0.64,0.005373165385190684,0.0002894669123665744,4.513402499665564e-08,2.2118860868541142e-13,0.006716226924233285,0.00034086241879596665,4.2211675709644256e-08,2.3075319666318863e-13
0.65,0.005700320487326054,0.0003158841299739139,5.37749446616393e-08,3.0872361744839106e-13,0.007035994793195975,0.0003683375836757793,5.0061032460617434e-08,3.1955731388261186e-13
0.66,0.006041412146231014,0.00034419353105098017,6.387463925623264e-08,4.28223263510778e-13,0.007365754607427111,0.00039755656476350856,5.921560491505649e-08,4.403428194467782e-13
0.67,0.006396761990351696,0.00037449171224925395,7.564589499509368e-08,5.908914286233687e-13,0.007705660089161589,0.0004286010839503103,6.986758129186148e-08,6.038639856808458e-13
0.68,0.006766690579276631,0.0004068778965981004,8.932742843409746e-08,8.11469201859357e-13,0.00805586496063431,0.0004615553773540353,8.223390596483337e-08,8.24243325944452e-13
0.6900000000000001,0.0071515172007125555,0.0004414538979131484,1.051863504792405e-07,1.1081321826829881e-12,0.008416522944080173,0.0004965062334135723,9.655902621493334e-08,1.11995140240503e-12
0.7000000000000001,0.0075515596688736485,0.00047832408018454273,1.2352078798706523e-07,1.5067814377008625e-12,0.008787787761734073,0.0005335430309831922,1.1311789619079712e-07,1.5150505127427472e-12
0.71,0.007967134124421318,0.0005175953119293447,1.4466264696775144e-07,2.039238079969798e-12,0.009169813135830911,0.0005727577774268919,1.3221925784473993e-07,2.0407678109920137e-12
