t,z
0.0,1.0
0.01,0.9999820003650359
0.02,0.9999280058403908
0.03,0.9998380295654012
0.04,0.9997120934342905
0.05,0.9995502280891614
0.06,0.9993524729101899
0.07,0.9991188760030261
0.08,0.9988494941834019
0.09,0.9985443929589534
0.1,0.9982036465082704
0.11,0.9978273376571687
0.12,0.9974155578522054
0.13,0.9969684071314415
0.14,0.9964859940924645
0.15,0.9959684358576807
0.16,0.9954158580368946
0.17,0.9948283946871839
0.18,0.994206188270088
0.19,0.9935493896061284
0.2,0.9928581578266708
0.21,0.9921326603231576
0.22,0.9913730726937156
0.23,0.9905795786871735
0.24,0.9897523701445008
0.25,0.9888916469376912
0.26,0.9879976169061168
0.27,0.9870704957903751
0.28,0.9861105071636499
0.29,0.9851178823606196
0.3,0.9840928604039325
0.31,0.9830356879282794
0.32,0.9819466191020934
0.33,0.980825915546903
0.34,0.9796738462543735
0.35000000000000003,0.9784906875010615
0.36,0.9772767227609226
0.37,0.9760322426155996
0.38,0.9747575446625242
0.39,0.9734529334208745
0.4,0.9721187202354168
0.41000000000000003,0.9707552231782707
0.42,0.9693627669486361
0.43,0.9679416827705187
0.44,0.9664923082884951
0.45,0.9650149874615552
0.46,0.9635100704550654
0.47000000000000003,0.9619779135308917
0.48,0.9604188789357276
0.49,0.9588333347876681
0.5,0.957221654961074
0.51,0.9555842189697736
0.52,0.9539214118486437
0.53,0.9522336240336184
0.54,0.9505212512401732
0.55,0.9487846943403279
0.56,0.9470243592382219
0.5700000000000001,0.9452406567443062
0.58,0.9434340024482036
0.59,0.941604816590285
0.6,0.9397535239320125
0.61,0.9378805536251021
0.62,0.9359863390795528
0.63,0.9340713178305939
0.64,0.9321359314046062
0.65,0.9301806251840614
0.66,0.9282058482715367
0.67,0.9262120533528506
0.68,0.924199696559378
0.6900000000000001,0.9221692373295867
0.7000000000000001,0.920121138269854
0.71,0.9180558650146061
0.72,0.9159738860858345
0.73,0.913875672752034
0.74,0.9117616988866144
0.75,0.9096324408258257
0.76,0.9074883772262476
0.77,0.9053299889218834
0.78,0.9031577587809019
0.79,0.9009721715620641
0.8,0.8987737137708781
0.81,0.8965628735155102
0.8200000000000001,0.8943401403624911
0.8300000000000001,0.8921060051922451
0.84,0.8898609600544645
0.85,0.8876054980233609
0.86,0.8853401130528056
0.87,0.8830652998313758
0.88,0.88078155363732
0.89,0.8784893701934429
0.9,0.8761892455219188
0.91,0.8738816757990161
0.92,0.8715671572097338
0.93,0.8692461858023218
0.9400000000000001,0.8669192573426694
0.9500000000000001,0.8645868671685173
0.96,0.8622495100434652
0.97,0.8599076800107135
0.98,0.85756187024649
0.99,0.8552125729130847
1.0,0.8528602790114204
1.01,0.8505054782330588
1.02,0.8481486588115543
1.03,0.8457903073730237
1.04,0.8434309087858157
1.05,0.8410709460091309
1.06,0.8387108999404359
1.07,0.8363512492615021
1.08,0.8339924702828689
1.09,0.8316350367865342
1.1,0.8292794198666361
1.11,0.8269260877678868
1.12,0.8245755057214837
1.1300000000000001,0.8222281357782153
1.1400000000000001,0.8198844366384439
1.1500000000000001,0.8175448634786325
1.16,0.8152098677740534
1.17,0.8128798971172863
1.18,0.8105553950320932
1.19,0.8082368007822258
1.2,0.8059245491746799
1.21,0.803619070356897
1.22,0.8013207896073687
1.23,0.799030127119059
1.24,0.7967474977750396
1.25,0.7944733109156757
1.26,0.7922079700966772
1.27,0.7899518728372704
1.28,0.7877054103577213
1.29,0.785468967305375
1.3,0.7832429214683478
1.31,0.7810276434759452
1.32,0.7788234964848397
1.33,0.7766308358499697
1.34,0.7744500087790973
1.35,0.7722813539698695
1.36,0.7701252012282032
1.37,0.767981871066718
1.3800000000000001,0.7658516742819171
1.3900000000000001,0.7637349115087129
1.4000000000000001,0.7616318727508633
1.41,0.7595428368857821
1.42,0.7574680711421531
1.43,0.7554078305486708
1.44,0.7533623573521857
1.45,0.7513318804034419
1.46,0.7493166145085295
1.47,0.7473167597440847
1.48,0.745332500734219
1.49,0.7433640058870522
1.5,0.7414114265886678
1.51,0.7394748963522343
1.52,0.7375545299199487
1.53,0.7356504223153929
1.54,0.7337626478438332
1.55,0.7318912590378978
1.56,0.7300362855460454
1.57,0.728197732961134
1.58,0.7263755815863838
1.59,0.7245697851359627
1.6,0.722780269367383
1.61,0.7210069306428899
1.62,0.7192496344169823
1.6300000000000001,0.7175082136472171
1.6400000000000001,0.7157824671254603
1.6500000000000001,0.7140721577267666
1.6600000000000001,0.712377010573125
1.67,0.7106967111093817
1.68,0.7090309030887287
1.69,0.707379186465296
1.7,0.7057411151915026
1.71,0.7041161949180565
1.72,0.7025038805946663
1.73,0.7009035739698414
1.74,0.6993146209884517
1.75,0.6977363090860874
1.76,0.6961678643796886
1.77,0.6946084487544116
1.78,0.6930571568472308
1.79,0.6915130129284329
1.8,0.6899749676828711
1.81,0.6884418948936158
1.82,0.6869125880315978
1.83,0.6853857567557695
1.84,0.6838600233294819
1.85,0.6823339189599764
1.86,0.6808058800692437
1.87,0.6792742445060239
1.8800000000000001,0.6777372477103326
1.8900000000000001,0.6761930188437064
1.9000000000000001,0.6746395769003039
1.9100000000000001,0.6730748268161193
1.92,0.6714965555958622
1.93,0.6699024284795259
1.94,0.6682899851733474
1.95,0.666656636172682
1.96,0.6649996592074047
1.97,0.6633161958436624
1.98,0.6616032482792435
1.99,0.6598576763734746
2.0,0.6580761949563347
2.0100000000000002,0.6562553714654807
2.02,0.6543916239640013
2.0300000000000002,0.6524812195959977
2.04,0.6505202735414761
2.05,0.6485047485365075
2.06,0.6464304550291173
2.07,0.6442930520458922
2.08,0.6420880488487392
2.09,0.6398108074655704
2.1,0.6374565461828541
2.11,0.6350203440918293
2.12,0.6324971467837057
2.13,0.6298817732922042
2.14,0.6271689243842309
2.15,0.6243531923012199
2.16,0.6214290720544916
2.17,0.6183909743778437
2.18,0.615233240439189
2.19,0.6119501584103126
2.2,0.6085359819894961
2.21,0.604984950965653
2.22,0.6012913139045394
2.23,0.5974493530273117
2.24,0.5934534113390122
2.25,0.5892979220492351
2.2600000000000002,0.5849774403091059
2.27,0.5804866772675393
2.2800000000000002,0.5758205364254758
2.29,0.5709741522392308
2.3000000000000003,0.5659429308932272
2.31,0.5607225931281595
2.32,0.555309218973292
2.33,0.5496992941912101
2.34,0.5438897582004028
2.35,0.5378780531961688
2.36,0.5316621741443744
2.37,0.5252407192768535
2.38,0.5186129406735089
2.39,0.5117787944770535
2.4,0.5047389902552256
2.41,0.49749503900727454
2.42,0.49004929931340074
2.43,0.48240502115726325
2.44,0.4745663870267177
2.45,0.46653855003569816
2.46,0.458327669038952
2.47,0.4499409410707566
2.48,0.44138663198611855
2.49,0.43267410700060743
2.5,0.4238138640309319
2.5100000000000002,0.41481757450310675
2.52,0.4056981388633227
2.5300000000000002,0.3964697677509483
2.54,0.38714810517978593
2.5500000000000003,0.3777504178507724
2.56,0.36829588593006035
2.57,0.35880604676688166
2.58,0.34930546623590164
2.59,0.3398227457274925
2.6,0.3303920206403196
2.61,0.3210551747724173
