t,n1,n2,n3,n4,n10,n20,f1,f2,f3,f4,f10,f20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010000000000000000208,1.3494402936473055603e-05,3.1059334058205312547e-08,2.7372491104139775678e-11,2.1072862521217650036e-13,2.8307121866041167776e-16,2.8307121866041167776e-16,1.0370493914159118327e-05,2.7132869017793399537e-08,3.492394976553973275e-11,1.8482311542692287842e-13,3.2413545036773193255e-28,4.4327818840368765944e-53
0.020000000000000000416,5.382518843222684014e-05,2.481701497384644092e-07,4.4092260708833006829e-10,6.7386145518427672625e-12,2.0022920739150817787e-16,2.0022920739150817787e-16,4.148197565663647331e-05,2.170629521423471963e-07,5.58783196248635724e-10,5.9143396936615321095e-12,6.6382940235311499787e-25,9.296217393671703824e-47
0.02999999999999999889,0.00012076334867911963039,8.365431692459236345e-07,2.246965367441493555e-09,5.111461845971882337e-11,4.7759160927400020783e-16,4.7759160927400020783e-16,9.333444522743205478e-05,7.325874634804215559e-07,2.828839931008718036e-09,4.4912017048742248677e-11,5.741962262629256835e-23,4.6368464178885457693e-43
0.040000000000000000833,0.00021407940294694521421,1.980465043564176952e-06,7.147583838390207666e-09,2.1515459959136897197e-10,5.495671278997278249e-16,5.495671278997278249e-16,0.00016592790262654589324,1.7365036171387775704e-06,8.940531139978171584e-09,1.892588701971690275e-10,1.3595226160191795156e-21,1.9495580899573401017e-40
0.050000000000000002776,0.00033354342786027057067,3.863290495749591404e-06,1.756093776688406e-08,6.558595641362895132e-10,5.6614391095647198273e-16,5.6614391095647198273e-16,0.00025926234785397800223,3.3916086272241752267e-06,2.1827468603462337821e-08,5.775722357091341131e-10,1.5826926287486915544e-20,2.113715116518440263e-38
0.05999999999999999778,0.00047892508771636745362,6.6674341579379865243e-06,3.6640604611209634052e-08,1.6301444399004262173e-09,5.797453354682187813e-16,5.797453354682187813e-16,0.00037333778090972821913,5.860699707843372447e-06,4.5261438896139488576e-08,1.4371845455597519577e-09,1.1759538713864717998e-19,9.724171738967799537e-37
0.07000000000000000666,0.0006499936648240560726,1.0574362106623181942e-05,6.829397827004196731e-08,3.5193932215890297308e-09,9.585853528920671348e-16,9.585853528920671348e-16,0.0005081542017937968692,9.306574073103136683e-06,8.3852403387060924794e-08,3.1063221009802937385e-09,6.409216943664660304e-19,2.4759119877121085491e-35
0.080000000000000001665,0.0008465180898560855597,1.5764583107290016073e-05,1.1719972759230681974e-07,6.8538341297383789975e-09,1.02374541289312953e-15,1.0237454128931295547e-15,0.00066371161050618357295,1.3892028937110220563e-05,1.4304849823965074534e-07,6.05628384630940888e-09,2.784302317607279648e-18,4.088519647470215709e-34
0.08999999999999999667,0.0010682669722024473518,2.2417639572237864923e-05,1.888243256820336803e-07,1.2336744276957723778e-08,1.25252280704097645825e-15,1.2525217446017805197e-15,0.00084001000704688854725,1.9779861513971383068e-05,2.2913603441170614644e-07,1.0913620142844366416e-08,1.0171713889379849164e-17,4.8503051279179531148e-33
0.10000000000000000555,0.001315008630312186665,3.071209824335951628e-05,2.8943766706115216286e-07,2.0868467382980941294e-08,8.255838796229035708e-16,8.2546810592960086614e-16,0.0010370493914159120089,2.7132869017793401814e-05,3.4923949765539740514e-07,1.8482311542692291618e-08,3.2413545036773203035e-17,4.4327818840368800345e-32
0.110000000000000000555,0.0015865111220124234696,4.0825540605106029553e-05,4.2612777735182723224e-07,3.357025301867760266e-08,1.3069444687127299479e-15,1.3066948383231727115e-15,0.001254829763613253199,3.6113848662683006982e-05,5.1132154851726725064e-07,2.9765947562621352382e-08,9.247962684866644897e-17,3.2803693890252465837e-31
0.11999999999999999556,0.0018825422747910175924,5.2934553041620777646e-05,6.0681463496255934105e-07,5.1807903027230274845e-08,1.1626920660553098075e-15,1.1061477380109314537e-15,0.0014933511236389128765,4.6885597662746979577e-05,7.241830223382318172e-07,4.5989905457912062645e-08,2.408353528599494246e-16,2.0393066210719798735e-30
0.13000000000000000444,0.0022028697160346409623,6.721471673834643215e-05,8.4026311533507093944e-07,7.721523575480892544e-08,1.354839124647854959e-15,1.3197523534405652356e-15,0.0017526134714928910414,5.9610913232092093827e-05,9.974629292535805648e-07,6.862352899620847374e-08,5.809027164523949231e-16,1.09518316866489339575e-29
0.14000000000000001332,0.0025472609032070831023,8.384059734508228322e-05,1.1360950707439436632e-06,1.1171735132421353022e-07,2.040100599823504648e-15,1.1560382608924643388e-15,0.0020326168071751874768,7.4452592584825093465e-05,1.3416384541929747967e-06,9.940230723136939963e-08,1.3126076300625224302e-15,5.192363776854423868e-29
0.14999999999999999445,0.002915483153958394174,0.000102985734403568310986,1.5048005624275558699e-06,1.5755370333457821646e-07,3.988436016568717859e-15,1.3441458082599725482e-15,0.0023333611306858015322,9.15734329350527019e-05,1.768024956880448983e-06,1.4035005327731950324e-07,2.803692511049441728e-15,2.2110206689303141585e-28
0.16000000000000000333,0.0033073036761516905625,0.00012482263055262525573,1.9577482566890221713e-06,2.1730096585543919357e-07,7.048447746604015325e-15,1.3376796607749572687e-15,0.0026548464420247342918,0.000111136231496881764504,2.2887759718344119254e-06,1.9380108308190108416e-07,5.702251146459708719e-15,8.574247155731457815e-28
0.17000000000000001221,0.003722489597798712491,0.00014952274051637109184,2.5071950056818387488e-06,2.938957002395348265e-07,1.3010235929333583434e-14,8.8096027402658604344e-16,0.0029970727411919857557,0.00013330378548441897081,2.9168832083676449572e-06,2.624223942007244602e-07,1.110873654463083732e-14,3.06269472982658556e-27
0.17999999999999999334,0.0041608079968895469135,0.00017725645988751648099,3.1662946190298987133e-06,3.9065681007466939643e-07,2.3948576479419047112e-14,1.1397685768866430346e-15,0.003360040028187554189,0.00015823889211177106454,3.666176550587298343e-06,3.492358445710197253e-07,2.0831670045449931088e-14,1.01718270996233912106e-26
0.19000000000000000222,0.004622025931107889233,0.00020819311371376640716,3.9491058515075025043e-06,5.113077813368361391e-07,4.2518570972861553487e-14,9.20369963400746735e-16,0.0037437483030114417602,0.00018610434859304492497,4.5513240573949031382e-06,4.5764033128548826938e-07,3.7758622531427903066e-14,3.1659349139166973262e-26
0.2000000000000000111,0.0051059104674207973426,0.00024250094489587944817,4.8705996143319404404e-06,6.5999870704950838955e-07,7.460552284586862198e-14,1.1151328911819449797e-15,0.0041481975656636480357,0.00021706295214234721451,5.5878319624863584823e-06,5.914339693661533318e-07,6.6382940235311519815e-14,9.296217393671711038e-26
0.20999999999999999223,0.005612228711529522289,0.00028034710240753353463,5.9466654342933566645e-06,8.4132808905515071886e-07,1.2697464584932038258e-13,9.852635102799820875e-16,0.0045733878161441704133,0.00025127749997378459558,6.7920446743519315996e-06,7.548362705382108991e-07,1.135373553919361923e-13,2.589891389101038051e-25
0.22000000000000000111,0.0061407478371735086872,0.0003218976293467681112,7.1941171664484019687e-06,1.060364410797338381e-06,2.1131244081483670666e-13,9.65841736448136384e-16,0.005019319054453012796,0.00028891078930146405586,8.18114477627627601e-06,9.525103220038832762e-07,1.8939827578606888749e-13,6.8794332249330739235e-25
0.23000000000000000999,0.0066912351152760840556,0.00036731745082572316821,8.630697986781140889e-06,1.3226674819273495036e-06,3.4465134998999448954e-13,1.2237834284177271644e-15,0.0054859912805901734495,0.00033012561733949225776,9.7731530263384061195e-06,1.1895849652162672047e-06,3.0883941999620044515e-13,1.749689230244566622e-24
0.23999999999999999112,0.007263457942919813483,0.000416770361711519253,1.02750846765876011464e-05,1.6343095429626795806e-06,5.500349268471221217e-13,1.5093182170825573558e-15,0.005973404494555651506,0.00037508478130197583662,1.15869283574117090755e-05,1.4716769746531860047e-06,4.9323080265717642157e-13,4.2767359589943447357e-24
0.25,0.007857183872144260679,0.00047041901422498341116,1.2146891209143298802e-05,2.001896130557006315e-06,8.6162444898995265706e-13,2.0648673417431553595e-15,0.0064815586963494487005,0.0004239510784030218072,1.3642167877163958323e-05,1.8049132365910435163e-06,7.7279913513119656466e-13,1.0078979094116390327e-23
0.26000000000000000888,0.008472180638552252903,0.00052842490540578728473,1.42666716704801720356e-05,2.4325866979837992635e-06,1.3253242302327998552e-12,1.7892817658794468235e-15,0.0070104538859715641655,0.0004768873058567367506,1.5959406868057289037e-05,2.1959529278786711596e-06,1.1896887632945048025e-12,2.2967655725319185147e-23
0.27000000000000001776,0.009108216189719913099,0.0005909483644576098648,1.6655922510446270085e-05,2.9341149826468751709e-06,2.0054414348410210618e-12,1.5841605240684512094e-15,0.007560090063421997901,0.0005340562608772274648,1.8560018787348204903e-05,2.6520096947111824055e-06,1.8018886003619740228e-12,5.0735904780343991758e-23
0.28000000000000002665,0.00976505871339458046,0.0006581485399748950938,1.9337084159059053163e-05,3.5148091201455073922e-06,2.9899390838721596695e-12,1.4502342053590880368e-15,0.008130467228700749907,0.0005956207406786007477,2.1466215267087596747e-05,3.1808738314038207882e-06,2.6882204263680459371e-12,1.0889176079357808724e-22
0.28999999999999998002,0.010442476665476011985,0.00073018338706848156736,2.2333542011471237205e-05,4.1836114996692343293e-06,4.3964179933320724628e-12,1.9498421926707202942e-15,0.008721585381807816714,0.0006617435424749629636,2.4701046114120700189e-05,3.7909344591658119414e-06,3.9546177276229661603e-12,2.2752772171327275175e-22
0.2999999999999999889,0.0111402387977688087026,0.00080720965439265375584,2.5669626809084687195e-05,4.9500983516001074864e-06,6.379076436110112691e-12,1.4812545108217881919e-15,0.009333444522743206129,0.0007325874634804216152,2.8288399310087183728e-05,4.491201704874224104e-06,5.741962262629256659e-12,4.636846417888546198e-22
0.30999999999999999778,0.0118581141854990392,0.00088938287108703239755,2.9370614415420157929e-05,5.8244990680694599812e-06,9.143932547071768971e-12,1.6777340551756345642e-15,0.009966044651506912946,0.00080831530090908301246,3.2253001011421013225e-05,5.291328879847803639e-06,8.2357881019742883746e-12,9.231492746652016092e-22
0.32000000000000000666,0.012595872254583672864,0.0009768573336378860109,3.3462725028651369574e-05,6.8177152508199296007e-06,1.2956825240899111634e-11,1.5757185542568357933e-15,0.010619385768098937167,0.00088908985197505411603,3.6620415549350590807e-05,6.201634658620834693e-06,1.1678210347949483457e-11,1.7981499571136538219e-21
0.33000000000000001554,0.01335328280864650323,0.0010697860926713940836,3.797312182081485652e-05,7.94133948105957697e-06,1.8163568815392316217e-11,1.3525380961203746047e-15,0.011293467872519280526,0.00097507391389244134437,4.141704542989865323e-05,7.2331252577169912328e-06,1.638248845736072112e-11,3.4313822445513424582e-21
0.34000000000000002442,0.014130116055769987443,0.0011683209396865356505,4.2929909039739643417e-05,9.207673802567752205e-06,2.520539999139375766e-11,1.3510447235418238936e-15,0.011988290964767943023,0.0010664302838753517665,4.6670131333882319314e-05,8.397516614423182726e-06,2.2750692443403954831e-11,6.4229363780452835604e-21
