t,z
0.0,1.0
0.01,0.999982000365036
0.02,0.9999280058403903
0.03,0.9998380295654004
0.04,0.9997120934342898
0.05,0.9995502280891604
0.06,0.9993524729101891
0.07,0.9991188760030257
0.08,0.9988494941834011
0.09,0.9985443929589528
0.1,0.9982036465082694
0.11,0.9978273376571672
0.12,0.9974155578522038
0.13,0.9969684071314399
0.14,0.9964859940924627
0.15,0.9959684358576784
0.16,0.9954158580368915
0.17,0.9948283946871791
0.18,0.99420618827008
0.19,0.9935493896061137
0.2,0.9928581578266463
0.21,0.9921326603231142
0.22,0.9913730726936408
0.23,0.9905795786870485
0.24,0.9897523701442935
0.25,0.9888916469373559
0.26,0.9879976169055833
0.27,0.9870704957895396
0.28,0.9861105071623631
0.29,0.9851178823586677
0.3,0.9840928604010132
0.31,0.983035687923971
0.32,0.9819466190958144
0.33,0.9808259155378607
0.34,0.9796738462414963
0.35000000000000003,0.9784906874829156
0.36,0.9772767227356051
0.37,0.9760322425806057
0.38,0.9747575446145849
0.39,0.9734529333557546
0.4,0.972118720147668
0.41000000000000003,0.9707552230609318
0.42,0.9693627667928697
0.43,0.9679416825651755
0.44,0.9664923080195909
0.45,0.9650149871116489
0.46,0.9635100700025221
0.47000000000000003,0.9619779129490129
0.48,0.960418878191729
0.49,0.9588333338414846
0.5,0.9572216537639673
0.51,0.9555842174627162
0.52,0.9539214099604518
0.53,0.9522336216788001
0.54,0.9505212483164607
0.55,0.9487846907258545
0.56,0.9470243547883052
0.5700000000000001,0.9452406512877946
0.58,0.9434339957833392
0.59,0.9416048084800337
0.6,0.9397535140988125
0.61,0.9378805417449708
0.62,0.9359863247754959
0.63,0.9340713006652608
0.64,0.9321359108721204
0.65,0.9301806007009639
0.66,0.9282058191667771
0.67,0.9262120188567536
0.68,0.9241996557915135
0.6900000000000001,0.9221691892854786
0.7000000000000001,0.9201210818064468
0.71,0.91805579883443
0.72,0.9159738087197914
0.73,0.9138755825407449
0.74,0.9117615939602602
0.75,0.9096323190824295
0.76,0.9074882363083429
0.77,0.9053298261915317
0.78,0.9031575712930199
0.79,0.9009719560360445
0.8,0.8987734665604937
0.81,0.8965625905771125
0.8200000000000001,0.8943398172215344
0.8300000000000001,0.8921056369081777
0.84,0.8898605411840729
0.85,0.8876050225826622
0.86,0.8853395744776301
0.87,0.8830646909368078
0.88,0.8807808665762114
0.89,0.8784885964142611
0.9,0.8761883757262308
0.91,0.873880699898981
0.92,0.8715660642860276
0.93,0.86924496406299
0.9400000000000001,0.866917894083479
0.9500000000000001,0.8645853487354622
0.96,0.8622478217981684
0.97,0.8599058062995714
0.98,0.8575597943745057
0.99,0.8552102771234645
1.0,0.8528577444721228
1.01,0.8505026850316397
1.02,0.8481455859597827
1.03,0.8457869328229257
1.04,0.8434272094589591
1.05,0.84106689784117
1.06,0.8387064779431287
1.07,0.8363464276046281
1.08,0.8339872223987257
1.09,0.8316293354999291
1.1,0.8292732375535649
1.11,0.8269193965463831
1.12,0.8245682776784333
1.1300000000000001,0.8222203432362534
1.1400000000000001,0.8198760524674159
1.1500000000000001,0.8175358614564733
1.16,0.8152002230023401
1.17,0.8128695864971491
1.18,0.8105443978066285
1.19,0.8082250991520269
1.2,0.8059121289936346
1.21,0.8036059219159324
1.22,0.8013069085144006
1.23,0.7990155152840335
1.24,0.7967321645095858
1.25,0.7944572741575859
1.26,0.7921912577701531
1.27,0.7899345243606468
1.28,0.7876874783111809
1.29,0.7854505192720362
1.3,0.7832240420629957
1.31,0.7810084365766391
1.32,0.7788040876836194
1.33,0.7766113751399467
1.34,0.7744306734963154
1.35,0.7722623520094938
1.36,0.7701067745557978
1.37,0.7679642995466839
1.3800000000000001,0.7658352798464734
1.3900000000000001,0.7637200626922336
1.4000000000000001,0.7616189896158456
1.41,0.7595323963682644
1.42,0.7574606128460042
1.43,0.7554039630198586
1.44,0.7533627648658797
1.45,0.7513373302986317
1.46,0.7493279651067284
1.47,0.747334968890682
1.48,0.7453586350030648
1.49,0.7433992504910086
1.5,0.7414570960410414
1.51,0.7395324459262863
1.52,0.7376255679560212
1.53,0.7357367234276178
1.54,0.7338661670808619
1.55,0.7320141470546663
1.56,0.7301809048461841
1.57,0.7283666752723215
1.58,0.7265716864336643
1.59,0.7247961596808136
1.6,0.7230403095831394
1.61,0.7213043438999508
1.62,0.7195884635540852
1.6300000000000001,0.7178928626079164
1.6400000000000001,0.7162177282417806
1.6500000000000001,0.7145632407348199
1.6600000000000001,0.7129295734482357
1.67,0.711316892810959
1.68,0.7097253583077189
1.69,0.708155122469518
1.7,0.7066063308664964
1.71,0.705079122103187
1.72,0.7035736278161462
1.73,0.7020899726739556
1.74,0.7006282743795872
1.75,0.69918864367511
1.76,0.6977711843487436
1.77,0.6963759932442312
1.78,0.6950031602725261
1.79,0.693652768425777
1.8,0.692324893793596
1.81,0.6910196055815936
1.82,0.6897369661321662
1.83,0.6884770309475143
1.84,0.6872398487148793
1.85,0.6860254613339721
1.86,0.6848339039465836
1.87,0.6836652049683482
1.8800000000000001,0.6825193861226431
1.8900000000000001,0.6813964624766002
1.9000000000000001,0.6802964424792111
1.9100000000000001,0.6792193280014929
1.92,0.6781651143787036
1.93,0.6771337904545714
1.94,0.6761253386275192
1.95,0.6751397348988525
1.96,0.6741769489228912
1.97,0.6732369440590085
1.98,0.6723196774255613
1.99,0.671425099955668
2.0,0.6705531564548182
2.0100000000000002,0.6697037856602778
2.02,0.6688769203022593
2.0300000000000002,0.6680724871668277
2.04,0.6672904071605131
2.05,0.6665305953765899
2.06,0.6657929611629989
2.07,0.6650774081918751
2.08,0.6643838345306476
2.09,0.6637121327146792
2.1,0.6630621898214114
2.11,0.6624338875459761
2.12,0.6618271022782453
2.13,0.6612417051812776
2.14,0.6606775622711296
2.15,0.6601345344979924
2.16,0.6596124778286183
2.17,0.6591112433300003
2.18,0.6586306772542693
2.19,0.6581706211247675
2.2,0.6577309118232608
2.21,0.6573113816782551
2.22,0.6569118585543777
2.23,0.6565321659427793
2.24,0.6561721230525257
2.25,0.6558315449029354
2.2600000000000002,0.6555102424168245
2.27,0.6552080225146233
2.2800000000000002,0.6549246882093152
2.29,0.6546600387021722
2.3000000000000003,0.6544138694792371
