i j v
14.0 13.0 0.18
15.0 13.0 0.0
0.0 14.0 0.0
1.0 14.0 0.0
2.0 14.0 0.18
3.0 14.0 0.0
4.0 14.0 0.0
5.0 14.0 0.0
6.0 14.0 0.0
7.0 14.0 0.0
8.0 14.0 0.18
9.0 14.0 0.0
10.0 14.0 0.0
11.0 14.0 0.0
12.0 14.0 0.0
13.0 14.0 0.18
14.0 14.0 -0.5399999999999999
15.0 14.0 0.0
0.0 15.0 0.0
1.0 15.0 0.0
2.0 15.0 0.0
3.0 15.0 0.18
4.0 15.0 0.0
5.0 15.0 0.0
6.0 15.0 0.0
7.0 15.0 0.0
8.0 15.0 0.0
9.0 15.0 0.18
10.0 15.0 0.0
11.0 15.0 0.0
12.0 15.0 0.18
13.0 15.0 0.0
14.0 15.0 0.0
15.0 15.0 -0.5399999999999999
