t,eto0,ecg0,eto1,ecg1,eto2,ecg2
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010000000000000000208,0.00013647381400881024652,0.007093390182810136585,1.7669913980159262845e-05,0.008563986675824196079,6.6606010713541387866e-05,0.011066679598383090746
0.020000000000000000416,0.00054569351649141146967,0.014049276725880011779,7.066386183149380882e-05,0.016911670912426693403,0.0002663382561017105547,0.021765033897421504766
0.02999999999999999889,0.0012271039628263100043,0.02086805056651385229,0.00015893892585749726568,0.025043786850323258159,0.00059896214070994139526,0.03209674568794091548
0.040000000000000000833,0.0021798047140707587158,0.02755013159930133973,0.00028242572411250199552,0.032961132611142175686,0.0010640979077257441392,0.0420636653149290482
0.050000000000000002776,0.0034025418331748639826,0.034095968119062187995,0.00044102762466936791313,0.040664571376477609554,0.0016612168476730509743,0.05166781628424457068
0.05999999999999999778,0.004893702688658836328,0.040506035478326075927,0.00063462025921837529954,0.04815503113514629785,0.0023896388613118034819,0.060911398306497374633
0.07000000000000000666,0.006651313758822962642,0.046780833968754292895,0.00086305133567763834233,0.055433503105785500442,0.0032485313736932489026,0.069796787775778343366
0.080000000000000001665,0.0086784997042153848995,0.05292088593726709811,0.0011265099493570904839,0.06250093630483764817,0.0042388304461581701593,0.078324633049058345335
0.08999999999999999667,0.010981808369361438157,0.05892555246366821403,0.0014274117694528321368,0.069353613142150716264,0.0053667432339851803974,0.08648815662803713278
0.10000000000000000555,0.013550048478491307641,0.064796609137305796744,0.0017643009389688732533,0.075994624128394305806,0.0066252564104271848,0.09429456073448887199
0.110000000000000000555,0.016376819161643452888,0.07053578838819876684,0.002136409924239747373,0.08242719106432276621,0.008011405416152020051,0.101750600693688075804
0.11999999999999999556,0.019455954338127648406,0.076144463337228060484,0.0025430101658113187305,0.088654177933952194035,0.009522341551617186095,0.108862565380203349386
0.13000000000000000444,0.022781454710902197813,0.08162384172163503204,0.0029834077850683909244,0.09467819035225691349,0.011155311365207455643,0.115636317353324746815
0.14000000000000001332,0.026347454390962452703,0.08697498156684332904,0.003456939725721099553,0.100501599735166910476,0.01290764025484201008,0.12207733395760911321
0.14999999999999999445,0.030148189204200682989,0.09219880702516108917,0.0039629700822224949927,0.10612656762337947802,0.014776717692454460068,0.12819074858145659834
0.16000000000000000333,0.03417796604930142812,0.09729612405945753384,0.0045008865239875850417,0.11155506979028091685,0.016759983144312772668,0.13398139161133038044
0.17000000000000001221,0.038431133112327618695,0.102267635790305802534,0.0050700967850364131104,0.116788919914657465804,0.018854912369069290468,0.13945383078650758213
0.17999999999999999334,0.042902050912946028405,0.10711395739701067009,0.0056700252131010970766,0.12182979267695226433,0.02105900400532858055,0.14461241074788794281
0.19000000000000000222,0.04758506422282537257,0.11183563050227911251,0.0063001093822149228235,0.12667924618148118654,0.023369766447683661126,0.14946129162564822379
0.2000000000000000111,0.052474474920553536295,0.11643313699317475729,0.0069597967768043464062,0.13133874363326500379,0.025784705041750038967,0.15400448654284704109
0.20999999999999999223,0.057564515853973687032,0.12090691224507787993,0.0076485415567163605316,0.13580967421498979508,0.028301309638294434856,0.15824589793410681615
0.22000000000000000111,0.06284932578030678896,0.1252573577245045533,0.008365801412900122913,0.14009337312111427853,0.030917042547450757084,0.16218935259452460507
0.23000000000000000999,0.068322925451115221196,0.12948485295281192409,0.009111034523232714594,0.14419114071436350821,0.03362932693168860232,0.16583863538617082956
0.23999999999999999112,0.073979194905027342855,0.13358976681713871648,0.009883696617519366345,0.14810426077592206417,0.036435535672871451063,0.16919752153907763326
0.25,0.0798118520270649362,0.13757246821801649705,0.010683238160156986046,0.15183401782520622447,0.039332980745333576134,0.17226980749113252056
0.26000000000000000888,0.085814432429830792004,0.14143333604530167191,0.011509101658378231153,0.15538171348852006237,0.042318903123767112606,0.17505934021713523419
0.27000000000000001776,0.091980270708958519754,0.14517276847566382147,0.012360719103435368824,0.1587486818984214787,0.04539046325199420917,0.17757004500163589555
0.28000000000000002665,0.09830248312323695836,0.14879119158595491279,0.01323750955156151668,0.1619363041073913212,0.04854473209643703213,0.17980595161319715136
0.28999999999999998002,0.10477395174879973461,0.1522890672774896148,0.014138876851068727519,0.16494602150052042888,0.051778682806305383057,0.18177121883949334813
0.2999999999999999889,0.111387310156793331584,0.1556669005066655398,0.0150642075215246112885,0.16777934819248632725,0.055089183001205972723,0.18347015734324448322
0.30999999999999999778,0.11813493066509703211,0.15892524581749739587,0.016012868790595189555,0.17043788239415083585,0.058472987706035241262,0.18490725079845610201
0.32000000000000000666,0.12500891321701815273,0.16206471317158721579,0.016984206793863539098,0.17292331673374833345,0.06192673295265663236,0.186087175264875615
0.33000000000000001554,0.13200107594354698604,0.16508597307084468819,0.017977544942727543414,0.17523744751688968835,0.06544693006799244539,0.18701481675607614652
0.34000000000000002442,0.13910294747078347233,0.16798976096795414925,0.018992182465369222139,0.17738218290857390991,0.0690299606688045686,0.18769528695324766421
0.3500000000000000333,0.14630576104067799514,0.17077688095918178157,0.020027393125749814312,0.17935955001911332851,0.07267207238459344465,0.18813393701278885439
0.35999999999999998668,0.15360045052136561683,0.17344820875369817981,0.021082424125659665615,0.1811717008744471169,0.0763693753317659374,0.18833636941133122256
0.36999999999999999556,0.16097764839325318098,0.17600469391315548551,0.022156495195005378174,0.1828209172497922419,0.08011783936451510879,0.18830844776716471056
0.38000000000000000444,0.16842768580881625762,0.17844736135488276085,0.023248797875788262957,0.18430961434408760224,0.08391329213076029192,0.18805630457251090726
0.39000000000000001332,0.17594059483793697551,0.18077731211176625847,0.024358495005594917732,0.18564034327129896873,0.087751417965065844906,0.18758634676714797118
0.4000000000000000222,0.18350611302680439052,0.18299572334171496091,0.025484720406903794282,0.18681579234352585495,0.09162775765472773448,0.18690525908110555697
0.41000000000000003109,0.19111369041712467087,0.18510384757960995916,0.026626578789108828332,0.18783878712009408063,0.09553770912024539541,0.18602000507324972789
0.41999999999999998446,0.19875651863882148884,0.18710301122486766578,0.027783145870878787898,0.18871228919660906764,0.09947652905726639405,0.18493782579450962489
0.42999999999999999334,0.20643218911018720862,0.18899461225822158927,0.028953468731308988626,0.18943939370846063497,0.103439335593858025564,0.1836662360104374947
0.44000000000000000222,0.21413035947841702056,0.1907801171821338071,0.030136566399302948394,0.19002332552470535543,0.10742111202472567899,0.18221301792924901597
0.4500000000000000111,0.22184077878737101797,0.19246105718040482091,0.03133143069172115991,0.19046743411085789721,0.111416711692869194184,0.18058621240030983679
0.46000000000000001998,0.2295535744369809894,0.19403902349412052719,0.032537027312099377208,0.19077518704313728426,0.11542086409925041146,0.17879410757657163145
0.47000000000000002887,0.23725926322360749166,0.19551566201311337823,0.03375229722313285996,0.19095016216245250251,0.11942818233248402027,0.17684522507553526727
0.47999999999999998224,0.2449487610139529925,0.19689266708466143796,0.034976158307696597616,0.1909960383641773618,0.12343317286349862749,0.17474830279170103231
0.48999999999999999112,0.25261339050111586424,0.19817177454425405347,0.03620750733489634665,0.19091658502992439606,0.12744234620224742516,0.1725001857024875962
0.5,0.26024488669375284156,0.1993547539769674748,0.03744522224955521006,0.19071565012047766996,0.1314611146062557856,0.17009889587369297903
0.5100000000000000089,0.26783539993158483883,0.20044340022235923593,0.03868816480563277982,0.19039714696519169368,0.13548317198480436252,0.16755425940930274153
0.52000000000000001776,0.27537749631929508976,0.20143952414084156932,0.0399351835663586327,0.18996503980298928838,0.13950258084558084248,0.16487582136186537674
0.53000000000000002665,0.28286415553854099558,0.20234494266526753536,0.041187526852751087103,0.18942332815404830382,0.14351377443218266139,0.1620728233530122353
