t,n1,n2,n5,n10,n15,n20,f1,f2,f5,f10,f15,f20
1.1,0.014297815563650496,0.0009300926737377797,3.49699607549814e-07,1.5142261871668136e-11,1.516430134756745e-15,1.2836766183185386e-15,0.07935496094052764,0.013411088918966809,1.3743894131819517e-05,6.677929238723678e-12,1.2734335527125286e-15,1.2734335527125286e-15
1.12,0.014748433952620444,0.0009748821222794596,3.8258937035942914e-07,1.812738723367133e-11,1.796409812602696e-15,1.375792117052491e-15,0.08204388125621183,0.014126873372092298,1.5294692942972858e-05,8.136002135837372e-12,1.340625907590245e-15,1.340625907590245e-15
1.1400000000000001,0.015203608398459105,0.0010208543462871238,4.176968632797028e-07,2.1621031531875592e-11,1.935938963856444e-15,1.322692239896101e-15,0.08477016859044913,0.014866670127805837,1.698795669603355e-05,9.877698864300572e-12,1.3021477347208045e-15,1.3021477347208045e-15
1.16,0.015663240981245975,0.0010680109296801882,4.5509990884973173e-07,2.5695841810138762e-11,2.3654606882018218e-15,1.4004881489551994e-15,0.08753349404660592,0.015630808871896,1.8833882526830475e-05,1.1951816628115964e-11,1.3811013782199764e-15,1.3811013782199764e-15
1.18,0.016127235029501256,0.0011163530309593436,4.948739439484748e-07,3.043297436172858e-11,2.856128301117892e-15,1.3463600052204709e-15,0.09033353162098652,0.016419616379966345,2.0843196535639736e-05,1.4414279691589445e-11,1.3432092807533615e-15,1.3432092807533615e-15
1.2,0.01659549510666456,0.0011658813933087579,5.370915667175618e-07,3.592240768942111e-11,3.357191479130814e-15,1.2471491583155287e-15,0.09316995817738474,0.017233416543075645,2.302717102654021e-05,1.7329153785927282e-11,1.250849905792134e-15,1.250849905792134e-15
1.22,0.017067926997709808,0.0012165963545133854,5.818220675966508e-07,4.22640591403732e-11,4.268406877735914e-15,1.2671415842894742e-15,0.09604245342185984,0.01807253039315197,2.5397641975534467e-05,2.0770187330678592e-11,1.2729041056627091e-15,1.2729041056627091e-15
1.24,0.017544437695892715,0.0012684978566943911,6.291309367960724e-07,4.9567664381263156e-11,5.29457157091483e-15,1.2521579643661773e-15,0.0989506998777351,0.018937276128182974,2.796702672656534e-05,2.4820820615085622e-11,1.1893677077138192e-15,1.1893677077138192e-15
1.26,0.01802493538963191,0.0013215854558666896,6.790793552598041e-07,5.79547404750074e-11,6.5583230215509896e-15,1.2858502468236501e-15,0.1018943828608154,0.019827969137185722,3.0748341910490654e-05,2.957693504334141e-11,1.2493092599238253e-15,1.2493092599238253e-15
1.28,0.018509329449520447,0.0013758583313195987,7.317236643440956e-07,6.755772446128478e-11,8.172838853435969e-15,1.2795440772883087e-15,0.10487319045482388,0.020744922024955564,3.3755221589205214e-05,3.514680598151559e-11,1.2628786905111156e-15,1.2628786905111156e-15
1.3,0.01899753041546746,0.0014313152948263444,7.871148180269066e-07,7.852255342186149e-11,1.0168366023475335e-14,1.2291051413029514e-15,0.10788681348705455,0.02168844463659853,3.70019356184337e-05,4.165362790056821e-11,1.263107424540916e-15,1.263107424540916e-15
1.32,0.019489449983968996,0.0014879547996826334,8.452978126589985e-07,9.100774628372855e-11,1.2809792036006986e-14,1.237304211903206e-15,0.11093494550423955,0.022658844081846652,4.050340823157319e-05,4.9236813620643654e-11,1.2917529577349924e-15,1.2917529577349924e-15
1.34,0.019985000995506458,0.0015457749495786537,9.063111003636005e-07,1.0518569377440532e-10,1.5855340684887862e-14,1.216267565251921e-15,0.11401728274862838,0.023656424759160685,4.427523683946937e-05,5.80536945869109e-11,1.2363699271901388e-15,1.2363699271901388e-15
1.36,0.020484097422070396,0.0016047735073050037,9.701859829562962e-07,1.212436370058281e-10,1.969642894439634e-14,1.1795303267933976e-15,0.1171335241342777,0.02468148837962023,4.833371104481622e-05,6.828201410600967e-11,1.1545285247712184e-15,1.1545285247712184e-15
1.3800000000000001,0.020986654354810376,0.0016649479032999916,1.0369459848221701e-06,1.3938374379546724e-10,2.429251953535545e-14,1.0314473817308903e-15,0.12028337122355093,0.025734333990603275,5.2695831871279776e-05,8.012159868741001e-11,1.0771166132313023e-15,1.0771166132313023e-15
