 x	 y	 z
0.0000 0.0000 1.0000
0.0692 -0.0400 0.9968
0.1380 -0.0797 0.9872
0.2059 -0.1189 0.9713
0.2724 -0.1573 0.9492
0.3372 -0.1947 0.9211
0.3999 -0.2309 0.8870
0.4600 -0.2656 0.8473
0.5172 -0.2986 0.8021
0.5710 -0.3297 0.7518
0.6212 -0.3587 0.6967
0.6675 -0.3854 0.6372
0.7094 -0.4096 0.5735
0.7469 -0.4312 0.5062
0.7795 -0.4501 0.4357
0.8072 -0.4660 0.3624
0.8297 -0.4790 0.2867
0.8469 -0.4889 0.2092
0.8586 -0.4957 0.1304
0.8649 -0.4994 0.0508
0.8657 -0.4998 -0.0292
0.8609 -0.4970 -0.1090
0.8506 -0.4911 -0.1881
0.8348 -0.4820 -0.2660
0.8138 -0.4698 -0.3421
0.7875 -0.4546 -0.4161
0.7562 -0.4366 -0.4875
0.7200 -0.4157 -0.5557
0.6792 -0.3922 -0.6204
0.6341 -0.3661 -0.6811
0.5850 -0.3377 -0.7374
0.5321 -0.3072 -0.7890
0.4758 -0.2747 -0.8356
0.4164 -0.2404 -0.8768
0.3544 -0.2046 -0.9124
0.2901 -0.1675 -0.9422
0.2240 -0.1293 -0.9660
0.1564 -0.0903 -0.9836
0.0878 -0.0507 -0.9948
0.0187 -0.0108 -0.9998
-0.0506 0.0292 -0.9983
-0.1195 0.0690 -0.9904
-0.1876 0.1083 -0.9762
-0.2546 0.1470 -0.9558
-0.3199 0.1847 -0.9293
-0.3832 0.2213 -0.8968
-0.4441 0.2564 -0.8585
-0.5021 0.2899 -0.8148
-0.5569 0.3215 -0.7659
-0.6081 0.3511 -0.7120
-0.6554 0.3784 -0.6536
-0.6986 0.4033 -0.5911
-0.7372 0.4256 -0.5247
-0.7712 0.4452 -0.4550
-0.8002 0.4620 -0.3824
-0.8241 0.4758 -0.3073
-0.8427 0.4866 -0.2303
-0.8560 0.4942 -0.1518
-0.8638 0.4987 -0.0723
-0.8660 0.5000 0.0076
-0.8627 0.4981 0.0875
-0.8539 0.4930 0.1668
-0.8396 0.4848 0.2451
-0.8200 0.4734 0.3218
-0.7951 0.4590 0.3964
-0.7651 0.4417 0.4685
-0.7302 0.4216 0.5376
-0.6907 0.3988 0.6033
-0.6467 0.3734 0.6651
-0.5986 0.3456 0.7226
-0.5467 0.3156 0.7756
-0.4913 0.2836 0.8235
-0.4327 0.2498 0.8662
-0.3714 0.2144 0.9034
-0.3077 0.1776 0.9348
-0.2420 0.1397 0.9602
-0.1748 0.1009 0.9794
-0.1064 0.0614 0.9924
-0.0374 0.0216 0.9991
0.0319 -0.0184 0.9993
0.1009 -0.0583 0.9932
0.1693 -0.0978 0.9807
0.2367 -0.1366 0.9619
0.3025 -0.1746 0.9370
0.3664 -0.2115 0.9061
0.4279 -0.2471 0.8694
0.4867 -0.2810 0.8271
0.5424 -0.3132 0.7796
0.5946 -0.3433 0.7270
0.6430 -0.3713 0.6698
0.6873 -0.3968 0.6084
0.7272 -0.4199 0.5430
0.7625 -0.4402 0.4741
0.7929 -0.4578 0.4023
0.8182 -0.4724 0.3278
0.8382 -0.4840 0.2513
0.8530 -0.4925 0.1731
0.8622 -0.4978 0.0938
0.8659 -0.5000 0.0140
0.8641 -0.4989 -0.0660
0.8568 -0.4947 -0.1455
0.8440 -0.4873 -0.2241
0.8258 -0.4768 -0.3013
0.8023 -0.4632 -0.3765
0.7737 -0.4467 -0.4493
0.7401 -0.4273 -0.5193
0.7018 -0.4052 -0.5859
0.6590 -0.3805 -0.6488
0.6120 -0.3533 -0.7075
0.5611 -0.3239 -0.7618
0.5066 -0.2925 -0.8111
0.4488 -0.2591 -0.8552
0.3882 -0.2241 -0.8939
0.3251 -0.1877 -0.9269
0.2599 -0.1500 -0.9539
0.1930 -0.1114 -0.9748
0.1249 -0.0721 -0.9895
0.0561 -0.0324 -0.9979
-0.0132 0.0076 -0.9999
-0.0823 0.0475 -0.9955
-0.1510 0.0872 -0.9847
-0.2186 0.1262 -0.9676
-0.2849 0.1645 -0.9443
-0.3493 0.2017 -0.9150
-0.4116 0.2376 -0.8799
-0.4711 0.2720 -0.8391
-0.5277 0.3047 -0.7929
-0.5809 0.3354 -0.7417
-0.6304 0.3639 -0.6857
-0.6758 0.3902 -0.6253
-0.7169 0.4139 -0.5610
-0.7535 0.4350 -0.4930
-0.7852 0.4533 -0.4219
-0.8119 0.4687 -0.3481
-0.8333 0.4811 -0.2721
-0.8495 0.4905 -0.1943
-0.8602 0.4967 -0.1153
-0.8655 0.4997 -0.0356
-0.8652 0.4995 0.0444
-0.8593 0.4961 0.1241
-0.8480 0.4896 0.2030
-0.8312 0.4799 0.2806
-0.8092 0.4672 0.3564
-0.7819 0.4514 0.4299
-0.7496 0.4328 0.5007
-0.7126 0.4114 0.5683
-0.6710 0.3874 0.6322
-0.6251 0.3609 0.6921
-0.5752 0.3321 0.7476
-0.5216 0.3011 0.7983
-0.4647 0.2683 0.8439
-0.4048 0.2337 0.8840
-0.3423 0.1976 0.9186
-0.2777 0.1603 0.9472
-0.2112 0.1219 0.9698
-0.1434 0.0828 0.9862
-0.0747 0.0431 0.9963
-0.0055 0.0032 1.0000
0.0637 -0.0368 0.9973
0.1325 -0.0765 0.9882
0.2005 -0.1158 0.9728
0.2672 -0.1543 0.9512
0.3322 -0.1918 0.9235
0.3950 -0.2281 0.8899
0.4553 -0.2629 0.8506
0.5128 -0.2960 0.8059
0.5669 -0.3273 0.7560
0.6174 -0.3565 0.7013
0.6640 -0.3833 0.6420
0.7063 -0.4078 0.5787
0.7441 -0.4296 0.5117
0.7771 -0.4487 0.4414
0.8052 -0.4649 0.3683
0.8281 -0.4781 0.2928
0.8457 -0.4883 0.2155
0.8579 -0.4953 0.1367
0.8646 -0.4992 0.0571
0.8658 -0.4999 -0.0228
0.8615 -0.4974 -0.1027
0.8516 -0.4917 -0.1818
0.8363 -0.4828 -0.2598
0.8156 -0.4709 -0.3362
0.7898 -0.4560 -0.4103
0.7588 -0.4381 -0.4819
0.7231 -0.4175 -0.5504
0.6826 -0.3941 -0.6154
0.6379 -0.3683 -0.6764
0.5890 -0.3401 -0.7331
0.5364 -0.3097 -0.7851
0.4804 -0.2773 -0.8321
0.4212 -0.2432 -0.8737
0.3594 -0.2075 -0.9098
0.2953 -0.1705 -0.9401
0.2293 -0.1324 -0.9643
0.1618 -0.0934 -0.9824
0.0933 -0.0539 -0.9942
0.0242 -0.0140 -0.9996
-0.0450 0.0260 -0.9986
-0.1140 0.0658 -0.9913
-0.1823 0.1052 -0.9776
-0.2493 0.1440 -0.9577
