 x	 y	 z	 xc	 yc
1.9739 0.7235 1.2844 1.3525 0.3692
1.9753 0.7201 1.2805 1.3529 0.3657
1.9790 0.7248 1.2824 1.3551 0.3699
1.9816 0.7243 1.2893 1.3559 0.3686
1.9841 0.7264 1.2952 1.3568 0.3700
1.9798 0.7196 1.2996 1.3507 0.3625
1.9807 0.7196 1.3008 1.3502 0.3620
1.9787 0.7275 1.3172 1.3459 0.3686
1.9831 0.7258 1.3173 1.3488 0.3665
1.9868 0.7246 1.3248 1.3507 0.3645
1.9892 0.7219 1.3333 1.3513 0.3608
1.9784 0.7173 1.3205 1.3397 0.3565
1.9878 0.7200 1.3303 1.3472 0.3582
1.9925 0.7179 1.3173 1.3513 0.3566
1.9937 0.7176 1.3222 1.3508 0.3556
1.9901 0.7146 1.3284 1.3454 0.3518
1.9883 0.7068 1.3226 1.3425 0.3439
1.9943 0.7138 1.3231 1.3471 0.3505
1.9939 0.7205 1.3333 1.3448 0.3563
1.9984 0.7182 1.3297 1.3481 0.3537
2.0012 0.7256 1.3243 1.3498 0.3612
2.0055 0.7265 1.3263 1.3526 0.3616
2.0006 0.7346 1.3215 1.3467 0.3697
1.9983 0.7297 1.3225 1.3429 0.3642
2.0049 0.7297 1.3135 1.3486 0.3644
2.0068 0.7282 1.3040 1.3497 0.3632
2.0089 0.7238 1.3022 1.3505 0.3585
2.0034 0.7279 1.2958 1.3440 0.3626
2.0017 0.7286 1.2870 1.3414 0.3635
2.0067 0.7224 1.2865 1.3451 0.3570
2.0060 0.7289 1.2986 1.3423 0.3624
2.0063 0.7341 1.2937 1.3415 0.3676
2.0062 0.7367 1.3005 1.3397 0.3694
2.0037 0.7319 1.2889 1.3365 0.3650
2.0024 0.7265 1.2728 1.3347 0.3601
2.0069 0.7293 1.2605 1.3387 0.3634
2.0176 0.7276 1.2641 1.3479 0.3612
2.0281 0.7279 1.2683 1.3568 0.3610
2.0264 0.7276 1.2749 1.3533 0.3599
2.0206 0.7202 1.2729 1.3462 0.3522
2.0218 0.7186 1.2737 1.3459 0.3503
2.0237 0.7141 1.2697 1.3467 0.3457
2.0181 0.7090 1.2695 1.3397 0.3403
2.0164 0.7084 1.2616 1.3372 0.3398
2.0251 0.7054 1.2696 1.3440 0.3360
2.0277 0.7123 1.2746 1.3450 0.3424
2.0258 0.7115 1.2562 1.3429 0.3423
2.0252 0.7054 1.2618 1.3405 0.3356
2.0227 0.7024 1.2630 1.3366 0.3322
2.0252 0.7043 1.2658 1.3375 0.3336
2.0319 0.7016 1.2722 1.3425 0.3303
2.0420 0.7022 1.2721 1.3513 0.3306
2.0334 0.7021 1.2771 1.3410 0.3299
2.0310 0.7056 1.2714 1.3376 0.3334
2.0399 0.7127 1.2749 1.3449 0.3401
2.0484 0.7109 1.2641 1.3528 0.3386
2.0530 0.7112 1.2566 1.3565 0.3391
2.0544 0.7097 1.2651 1.3560 0.3368
2.0512 0.7074 1.2644 1.3515 0.3343
2.0540 0.7063 1.2572 1.3534 0.3333
2.0596 0.7097 1.2735 1.3567 0.3355
2.0591 0.7090 1.2767 1.3546 0.3343
2.0577 0.7094 1.2735 1.3521 0.3346
2.0664 0.7084 1.2709 1.3596 0.3335
2.0688 0.7133 1.2734 1.3605 0.3380
2.0743 0.7182 1.2752 1.3645 0.3426
2.0741 0.7142 1.2721 1.3631 0.3385
2.0737 0.7133 1.2772 1.3611 0.3370
2.0729 0.7145 1.2735 1.3591 0.3381
2.0632 0.7097 1.2738 1.3479 0.3329
2.0633 0.7079 1.2664 1.3471 0.3312
2.0698 0.7196 1.2746 1.3518 0.3423
2.0693 0.7196 1.2791 1.3497 0.3418
2.0686 0.7199 1.2867 1.3472 0.3413
2.0650 0.7196 1.2762 1.3427 0.3413
2.0728 0.7228 1.2823 1.3489 0.3439
2.0736 0.7268 1.2783 1.3486 0.3480
2.0766 0.7216 1.2791 1.3502 0.3424
2.0700 0.7102 1.2728 1.3424 0.3310
2.0643 0.6993 1.2743 1.3352 0.3196
2.0633 0.6927 1.2663 1.3332 0.3132
2.0679 0.6938 1.2627 1.3367 0.3143
2.0761 0.6916 1.2666 1.3433 0.3116
2.0814 0.6887 1.2617 1.3476 0.3088
2.0780 0.6890 1.2668 1.3425 0.3085
2.0799 0.6905 1.2590 1.3435 0.3102
2.0799 0.6906 1.2548 1.3424 0.3104
2.0803 0.6869 1.2522 1.3416 0.3066
2.0792 0.6846 1.2545 1.3390 0.3039
2.0770 0.6794 1.2509 1.3356 0.2986
2.0772 0.6778 1.2589 1.3339 0.2963
2.0763 0.6748 1.2564 1.3318 0.2932
2.0686 0.6705 1.2539 1.3228 0.2887
2.0728 0.6714 1.2459 1.3262 0.2899
2.0736 0.6745 1.2414 1.3259 0.2930
2.0764 0.6700 1.2476 1.3270 0.2879
2.0739 0.6676 1.2393 1.3236 0.2858
2.0730 0.6549 1.2287 1.3219 0.2734
2.0759 0.6581 1.2283 1.3235 0.2765
2.0721 0.6650 1.2284 1.3184 0.2832
2.0768 0.6677 1.2196 1.3223 0.2863
2.0771 0.6628 1.2124 1.3217 0.2816
2.0751 0.6529 1.1972 1.3192 0.2724
2.0809 0.6528 1.2039 1.3233 0.2717
2.0808 0.6480 1.1949 1.3225 0.2673
2.0708 0.6391 1.1843 1.3117 0.2586
2.0699 0.6405 1.1935 1.3089 0.2594
2.0729 0.6415 1.1862 1.3111 0.2606
2.0752 0.6455 1.1797 1.3125 0.2650
2.0857 0.6433 1.1884 1.3212 0.2621
2.0867 0.6389 1.1914 1.3207 0.2573
2.0889 0.6357 1.1859 1.3219 0.2543
2.0865 0.6385 1.1896 1.3180 0.2567
2.0872 0.6459 1.1927 1.3172 0.2638
2.0806 0.6426 1.1855 1.3097 0.2607
2.0830 0.6319 1.1957 1.3102 0.2493
2.0848 0.6317 1.1887 1.3110 0.2493
2.0884 0.6281 1.1833 1.3136 0.2458
2.0810 0.6178 1.1840 1.3048 0.2353
2.0866 0.6175 1.1886 1.3089 0.2345
2.0884 0.6173 1.1823 1.3097 0.2347
2.0951 0.6111 1.1824 1.3151 0.2282
2.0952 0.6099 1.1913 1.3134 0.2264
2.1011 0.6095 1.1931 1.3179 0.2258
2.1032 0.6181 1.1895 1.3190 0.2345
2.1087 0.6168 1.2068 1.3221 0.2320
2.1112 0.6156 1.1980 1.3238 0.2312
2.1095 0.6164 1.1967 1.3209 0.2320
2.1133 0.6160 1.1976 1.3233 0.2313
2.1174 0.6109 1.2147 1.3250 0.2250
2.1188 0.6134 1.2231 1.3246 0.2270
2.1210 0.6103 1.2249 1.3254 0.2235
2.1239 0.6075 1.2318 1.3265 0.2201
2.1183 0.5974 1.2214 1.3201 0.2104
2.1232 0.5996 1.2189 1.3238 0.2127
2.1284 0.5953 1.2247 1.3273 0.2079
2.1230 0.6020 1.2116 1.3214 0.2152
2.1287 0.6050 1.2190 1.3254 0.2177
2.1316 0.5947 1.2265 1.3265 0.2068
2.1323 0.5966 1.2209 1.3262 0.2088
2.1276 0.5941 1.2267 1.3197 0.2058
2.1315 0.5905 1.2202 1.3227 0.2025
2.1315 0.5798 1.2183 1.3215 0.1916
2.1324 0.5872 1.2147 1.3212 0.1992
2.1327 0.5844 1.2086 1.3206 0.1966
2.1366 0.5828 1.2011 1.3236 0.1953
2.1351 0.5807 1.1975 1.3210 0.1933
2.1251 0.5780 1.1848 1.3104 0.1911
2.1363 0.5779 1.1874 1.3201 0.1908
2.1415 0.5786 1.1920 1.3237 0.1912
2.1350 0.5690 1.1969 1.3155 0.1811
2.1408 0.5687 1.1942 1.3202 0.1809
2.1431 0.5798 1.2006 1.3209 0.1916
2.1385 0.5683 1.1897 1.3155 0.1806
2.1446 0.5669 1.1916 1.3203 0.1789
2.1422 0.5650 1.1977 1.3161 0.1766
2.1386 0.5596 1.2016 1.3110 0.1707
2.1358 0.5566 1.2059 1.3065 0.1673
2.1327 0.5523 1.2050 1.3022 0.1630
2.1352 0.5546 1.2115 1.3029 0.1648
2.1428 0.5472 1.2287 1.3082 0.1562
2.1381 0.5406 1.2261 1.3022 0.1496
2.1360 0.5365 1.2408 1.2978 0.1444
2.1427 0.5347 1.2364 1.3034 0.1428
2.1419 0.5390 1.2325 1.3016 0.1472
2.1434 0.5449 1.2395 1.3013 0.1527
2.1488 0.5371 1.2451 1.3050 0.1443
2.1496 0.5300 1.2412 1.3046 0.1373
2.1447 0.5321 1.2527 1.2976 0.1386
2.1501 0.5329 1.2593 1.3013 0.1389
2.1467 0.5332 1.2655 1.2961 0.1386
2.1432 0.5267 1.2581 1.2916 0.1324
2.1419 0.5303 1.2622 1.2887 0.1357
2.1526 0.5317 1.2600 1.2982 0.1371
2.1628 0.5305 1.2672 1.3067 0.1354
2.1666 0.5319 1.2721 1.3089 0.1364
2.1714 0.5317 1.2660 1.3127 0.1364
2.1681 0.5348 1.2750 1.3074 0.1389
2.1640 0.5264 1.2653 1.3024 0.1308
2.1568 0.5266 1.2662 1.2937 0.1308
2.1663 0.5269 1.2746 1.3014 0.1305
2.1624 0.5268 1.2754 1.2960 0.1303
2.1699 0.5347 1.2911 1.3013 0.1371
2.1673 0.5277 1.2914 1.2972 0.1300
2.1738 0.5201 1.2758 1.3033 0.1231
2.1715 0.5198 1.2658 1.3001 0.1233
2.1775 0.5248 1.2734 1.3044 0.1278
2.1815 0.5194 1.2755 1.3069 0.1221
2.1855 0.5134 1.2839 1.3089 0.1155
2.1883 0.5161 1.2835 1.3103 0.1181
2.1863 0.5156 1.2810 1.3071 0.1176
2.1876 0.5134 1.2926 1.3063 0.1145
2.1913 0.5142 1.2924 1.3086 0.1153
2.1934 0.5158 1.3012 1.3088 0.1163
2.1970 0.5134 1.2919 1.3115 0.1142
2.2031 0.5089 1.3016 1.3156 0.1090
2.2070 0.5059 1.3068 1.3178 0.1056
2.2088 0.5094 1.2952 1.3189 0.1097
2.2116 0.5023 1.3020 1.3199 0.1020
2.2105 0.4970 1.2985 1.3175 0.0969
2.2072 0.5037 1.2828 1.3138 0.1044
2.2094 0.5086 1.2880 1.3143 0.1089
2.2183 0.5043 1.2911 1.3217 0.1043
2.2242 0.5036 1.3041 1.3253 0.1027
2.2096 0.4971 1.3112 1.3088 0.0955
2.2021 0.4888 1.3082 1.3000 0.0873
2.2074 0.4919 1.2957 1.3047 0.0910
2.2183 0.4958 1.2896 1.3145 0.0953
2.2240 0.4885 1.2807 1.3194 0.0884
2.2266 0.4967 1.2889 1.3202 0.0961
2.2217 0.4976 1.2957 1.3135 0.0965
2.2297 0.5038 1.2986 1.3199 0.1024
2.2336 0.5057 1.2947 1.3227 0.1045
2.2374 0.4982 1.2935 1.3251 0.0970
2.2425 0.4966 1.2960 1.3286 0.0951
2.2425 0.5023 1.3063 1.3266 0.1001
2.2436 0.4988 1.2970 1.3269 0.0971
2.2401 0.4922 1.2945 1.3221 0.0905
2.2354 0.4891 1.2925 1.3160 0.0873
2.2351 0.4846 1.2890 1.3145 0.0829
2.2339 0.4800 1.2866 1.3120 0.0783
2.2329 0.4785 1.2883 1.3095 0.0767
2.2331 0.4791 1.2933 1.3080 0.0769
2.2353 0.4710 1.2944 1.3087 0.0686
2.2371 0.4679 1.3106 1.3081 0.0644
2.2420 0.4751 1.3059 1.3119 0.0719
2.2446 0.4748 1.3046 1.3132 0.0716
2.2403 0.4688 1.2929 1.3081 0.0661
2.2459 0.4631 1.2876 1.3126 0.0607
2.2532 0.4683 1.2946 1.3181 0.0655
2.2530 0.4748 1.3002 1.3162 0.0715
2.2570 0.4736 1.2839 1.3198 0.0713
2.2623 0.4730 1.2895 1.3233 0.0703
2.2635 0.4707 1.2898 1.3231 0.0679
2.2581 0.4689 1.2955 1.3159 0.0656
2.2611 0.4635 1.2935 1.3176 0.0603
2.2643 0.4682 1.3037 1.3188 0.0644
2.2649 0.4704 1.3186 1.3171 0.0656
2.2693 0.4613 1.3111 1.3205 0.0568
2.2711 0.4630 1.3206 1.3203 0.0579
2.2790 0.4632 1.3067 1.3277 0.0590
2.2854 0.4642 1.3231 1.3317 0.0588
2.2749 0.4503 1.3189 1.3199 0.0451
2.2775 0.4470 1.3071 1.3218 0.0423
2.2781 0.4445 1.3211 1.3201 0.0389
2.2899 0.4440 1.3431 1.3292 0.0371
2.2899 0.4349 1.3398 1.3278 0.0280
2.2942 0.4333 1.3451 1.3304 0.0261
2.2939 0.4315 1.3445 1.3286 0.0242
2.2966 0.4250 1.3536 1.3293 0.0170
2.2957 0.4266 1.3513 1.3270 0.0187
2.3019 0.4282 1.3529 1.3318 0.0202
2.3127 0.4348 1.3554 1.3411 0.0266
2.3182 0.4305 1.3451 1.3457 0.0228
2.3230 0.4287 1.3417 1.3493 0.0212
2.3260 0.4250 1.3474 1.3505 0.0171
2.3314 0.4295 1.3545 1.3540 0.0211
2.3399 0.4273 1.3620 1.3607 0.0184
2.3422 0.4210 1.3679 1.3610 0.0116
2.3482 0.4115 1.3686 1.3656 0.0020
2.3554 0.4105 1.3688 1.3713 0.0009
2.3614 0.4100 1.3700 1.3757 0.0003
2.3592 0.4062 1.3785 1.3715 -0.0042
2.3567 0.3938 1.3763 1.3676 -0.0166
2.3568 0.3922 1.3791 1.3660 -0.0184
2.3538 0.3963 1.3896 1.3609 -0.0151
2.3541 0.3940 1.3759 1.3606 -0.0167
2.3587 0.3937 1.3799 1.3634 -0.0173
2.3604 0.3904 1.3749 1.3639 -0.0203
2.3609 0.3854 1.3766 1.3629 -0.0255
2.3609 0.3872 1.3757 1.3614 -0.0237
2.3588 0.3815 1.3752 1.3578 -0.0295
2.3583 0.3784 1.3680 1.3562 -0.0323
2.3553 0.3691 1.3601 1.3521 -0.0413
2.3548 0.3709 1.3679 1.3497 -0.0400
2.3619 0.3672 1.3511 1.3564 -0.0428
2.3628 0.3623 1.3372 1.3566 -0.0469
2.3662 0.3616 1.3396 1.3584 -0.0477
2.3748 0.3696 1.3504 1.3650 -0.0404
2.3708 0.3626 1.3410 1.3600 -0.0469
2.3787 0.3677 1.3460 1.3662 -0.0421
2.3855 0.3669 1.3458 1.3717 -0.0428
2.3931 0.3664 1.3540 1.3773 -0.0438
2.3913 0.3631 1.3613 1.3735 -0.0477
2.3914 0.3674 1.3507 1.3729 -0.0428
2.4018 0.3640 1.3538 1.3817 -0.0463
2.4067 0.3559 1.3543 1.3850 -0.0545
2.4032 0.3504 1.3650 1.3793 -0.0607
2.4111 0.3512 1.3572 1.3864 -0.0595
2.4129 0.3499 1.3662 1.3861 -0.0613
2.4121 0.3551 1.3784 1.3831 -0.0569
2.4070 0.3547 1.3794 1.3764 -0.0574
2.4045 0.3553 1.3799 1.3724 -0.0569
2.4049 0.3462 1.3805 1.3712 -0.0662
2.4115 0.3520 1.3693 1.3770 -0.0597
2.4135 0.3560 1.3606 1.3782 -0.0551
2.4178 0.3597 1.3550 1.3813 -0.0511
2.4265 0.3591 1.3504 1.3889 -0.0514
2.4229 0.3555 1.3572 1.3834 -0.0555
2.4213 0.3546 1.3482 1.3809 -0.0558
2.4209 0.3571 1.3431 1.3793 -0.0530
2.4243 0.3546 1.3512 1.3807 -0.0560
2.4298 0.3470 1.3618 1.3841 -0.0643
2.4212 0.3363 1.3609 1.3740 -0.0751
2.4362 0.3340 1.3726 1.3869 -0.0780
2.4428 0.3276 1.3788 1.3916 -0.0848
2.4395 0.3275 1.3722 1.3873 -0.0845
2.4343 0.3282 1.3828 1.3799 -0.0845
2.4383 0.3257 1.3845 1.3823 -0.0872
2.4334 0.3203 1.3846 1.3758 -0.0927
2.4315 0.3193 1.3632 1.3737 -0.0924
2.4313 0.3154 1.3565 1.3724 -0.0960
2.4351 0.3178 1.3538 1.3750 -0.0933
2.4310 0.3187 1.3667 1.3685 -0.0932
2.4321 0.3218 1.3520 1.3692 -0.0892
2.4236 0.3191 1.3434 1.3596 -0.0915
2.4272 0.3143 1.3439 1.3617 -0.0963
2.4245 0.3112 1.3461 1.3574 -0.0995
2.4276 0.3133 1.3587 1.3583 -0.0982
2.4407 0.3120 1.3564 1.3701 -0.0993
2.4349 0.3096 1.3596 1.3626 -0.1019
2.4402 0.3082 1.3549 1.3668 -0.1029
2.4501 0.3091 1.3519 1.3754 -0.1018
2.4466 0.3077 1.3508 1.3705 -0.1032
2.4525 0.3109 1.3494 1.3750 -0.0998
2.4524 0.3112 1.3343 1.3744 -0.0986
2.4585 0.3130 1.3311 1.3793 -0.0965
2.4644 0.3155 1.3376 1.3834 -0.0943
2.4657 0.3147 1.3219 1.3842 -0.0940
2.4700 0.3092 1.3303 1.3866 -0.1000
2.4652 0.3076 1.3282 1.3804 -0.1015
2.4619 0.3206 1.3221 1.3761 -0.0880
2.4664 0.3205 1.3130 1.3797 -0.0875
2.4711 0.3297 1.3203 1.3826 -0.0786
2.4815 0.3300 1.3205 1.3916 -0.0782
2.4755 0.3295 1.3117 1.3846 -0.0781
2.4728 0.3377 1.3258 1.3797 -0.0707
2.4841 0.3367 1.3230 1.3898 -0.0714
2.4903 0.3421 1.3317 1.3941 -0.0664
2.4932 0.3391 1.3225 1.3961 -0.0688
2.4920 0.3326 1.3114 1.3941 -0.0747
2.4944 0.3335 1.3174 1.3947 -0.0739
2.4932 0.3277 1.3115 1.3924 -0.0794
2.4901 0.3218 1.3214 1.3872 -0.0859
2.4842 0.3254 1.3151 1.3803 -0.0818
2.4758 0.3308 1.3143 1.3704 -0.0763
2.4687 0.3248 1.3065 1.3623 -0.0818
2.4743 0.3269 1.2866 1.3678 -0.0784
2.4879 0.3256 1.2908 1.3798 -0.0798
2.4882 0.3210 1.2890 1.3787 -0.0842
2.4880 0.3174 1.2945 1.3767 -0.0881
2.4918 0.3162 1.2982 1.3789 -0.0894
2.4915 0.3157 1.3050 1.3768 -0.0901
2.4989 0.3211 1.3145 1.3823 -0.0852
2.5057 0.3220 1.3099 1.3880 -0.0839
2.5055 0.3136 1.3068 1.3864 -0.0920
2.5023 0.3193 1.3030 1.3820 -0.0860
2.5081 0.3171 1.3020 1.3865 -0.0880
2.5093 0.3120 1.3105 1.3858 -0.0935
2.5128 0.3127 1.3012 1.3884 -0.0922
2.5112 0.3045 1.2988 1.3855 -0.1001
2.5122 0.2984 1.3005 1.3850 -0.1062
2.5094 0.2987 1.3039 1.3806 -0.1061
2.5015 0.2959 1.3000 1.3714 -0.1085
2.4984 0.2951 1.3222 1.3655 -0.1106
2.5032 0.2906 1.3244 1.3687 -0.1152
2.5217 0.2977 1.3366 1.3852 -0.1085
2.5233 0.2896 1.3368 1.3853 -0.1166
2.5230 0.2872 1.3429 1.3831 -0.1192
2.5195 0.2834 1.3362 1.3786 -0.1226
2.5242 0.2785 1.3408 1.3815 -0.1277
2.5303 0.2756 1.3277 1.3871 -0.1297
2.5242 0.2782 1.3179 1.3800 -0.1265
2.5308 0.2850 1.3130 1.3856 -0.1191
2.5390 0.2862 1.3268 1.3916 -0.1186
2.5339 0.2852 1.3205 1.3853 -0.1192
2.5395 0.2908 1.3274 1.3892 -0.1138
2.5444 0.2966 1.3323 1.3925 -0.1081
2.5441 0.2985 1.3261 1.3910 -0.1057
2.5549 0.3051 1.3280 1.4004 -0.0990
2.5551 0.3070 1.3403 1.3984 -0.0977
2.5552 0.3130 1.3417 1.3970 -0.0916
2.5645 0.3167 1.3365 1.4052 -0.0875
2.5633 0.3089 1.3381 1.4025 -0.0953
2.5642 0.3007 1.3327 1.4021 -0.1031
2.5657 0.2996 1.3196 1.4031 -0.1033
2.5690 0.2907 1.3137 1.4052 -0.1117
2.5683 0.2919 1.3127 1.4032 -0.1103
2.5640 0.2900 1.2973 1.3984 -0.1112
2.5643 0.2935 1.2949 1.3974 -0.1073
2.5703 0.2932 1.3092 1.4012 -0.1083
2.5768 0.2915 1.3051 1.4065 -0.1096
2.5794 0.2934 1.3066 1.4076 -0.1076
2.5788 0.2883 1.2978 1.4061 -0.1120
2.5851 0.2862 1.2886 1.4116 -0.1134
2.5857 0.2853 1.3008 1.4101 -0.1148
2.5940 0.2887 1.3053 1.4167 -0.1115
2.5972 0.2865 1.2965 1.4190 -0.1131
2.5991 0.2880 1.2968 1.4196 -0.1114
2.6018 0.2892 1.3142 1.4198 -0.1110
2.6106 0.2893 1.3323 1.4261 -0.1118
2.6102 0.2852 1.3141 1.4253 -0.1147
2.6128 0.2783 1.3227 1.4260 -0.1220
2.6196 0.2765 1.3215 1.4315 -0.1235
2.6188 0.2688 1.3210 1.4292 -0.1310
2.6198 0.2696 1.3205 1.4288 -0.1301
2.6236 0.2774 1.3212 1.4312 -0.1221
2.6252 0.2750 1.3335 1.4307 -0.1250
2.6269 0.2685 1.3221 1.4315 -0.1308
2.6270 0.2667 1.3334 1.4295 -0.1331
2.6364 0.2692 1.3239 1.4381 -0.1297
2.6404 0.2681 1.3393 1.4398 -0.1316
2.6423 0.2721 1.3401 1.4403 -0.1275
2.6396 0.2726 1.3430 1.4359 -0.1270
2.6366 0.2718 1.3370 1.4318 -0.1274
2.6378 0.2656 1.3320 1.4318 -0.1331
2.6388 0.2660 1.3212 1.4321 -0.1319
2.6403 0.2668 1.3168 1.4325 -0.1306
2.6385 0.2595 1.3103 1.4296 -0.1374
2.6512 0.2642 1.3019 1.4415 -0.1318
2.6494 0.2617 1.2986 1.4384 -0.1340
2.6492 0.2541 1.2940 1.4371 -0.1411
2.6492 0.2508 1.2979 1.4353 -0.1445
2.6569 0.2558 1.3089 1.4411 -0.1399
2.6599 0.2492 1.3096 1.4426 -0.1463
2.6605 0.2502 1.3123 1.4416 -0.1453
2.6591 0.2486 1.3197 1.4384 -0.1471
2.6665 0.2559 1.3221 1.4443 -0.1398
2.6733 0.2629 1.3202 1.4498 -0.1323
2.6795 0.2629 1.3305 1.4540 -0.1328
2.6857 0.2582 1.3328 1.4586 -0.1374
2.6817 0.2527 1.3328 1.4531 -0.1428
2.6813 0.2575 1.3364 1.4511 -0.1379
2.6836 0.2629 1.3540 1.4509 -0.1334
2.6867 0.2526 1.3582 1.4523 -0.1438
2.6807 0.2552 1.3640 1.4445 -0.1414
2.6856 0.2550 1.3788 1.4471 -0.1423
2.6883 0.2523 1.3784 1.4483 -0.1448
2.6816 0.2574 1.3784 1.4402 -0.1396
2.6907 0.2558 1.3748 1.4481 -0.1407
2.6933 0.2547 1.3853 1.4486 -0.1423
2.6974 0.2557 1.3864 1.4512 -0.1411
2.6944 0.2504 1.3951 1.4460 -0.1469
2.6921 0.2416 1.3894 1.4426 -0.1553
