 x	 y	 z	 xc	 yc
1.2891 0.9895 1.0436 1.1735 0.8883
1.2815 0.9876 1.0273 1.1660 0.8866
1.2913 0.9901 1.0376 1.1743 0.8878
1.2889 0.9797 1.0137 1.1723 0.8781
1.2880 0.9780 1.0037 1.1712 0.8763
1.2947 0.9753 0.9989 1.1772 0.8732
1.3026 0.9731 1.0014 1.1841 0.8703
1.3076 0.9867 1.0075 1.1881 0.8830
1.3047 0.9855 0.9995 1.1847 0.8815
1.3116 0.9802 0.9976 1.1908 0.8757
1.3140 0.9812 0.9987 1.1923 0.8760
1.3222 0.9830 0.9938 1.2000 0.8775
1.3306 0.9890 0.9938 1.2075 0.8829
1.3305 0.9893 0.9898 1.2068 0.8828
1.3290 0.9879 0.9793 1.2050 0.8813
1.3243 0.9830 0.9776 1.1995 0.8758
1.3301 0.9782 0.9871 1.2039 0.8698
1.3363 0.9735 0.9967 1.2086 0.8639
1.3420 0.9763 0.9954 1.2135 0.8662
1.3423 0.9713 0.9862 1.2135 0.8611
1.3435 0.9704 0.9855 1.2138 0.8596
1.3399 0.9639 0.9719 1.2102 0.8532
1.3365 0.9620 0.9837 1.2051 0.8499
1.3350 0.9592 0.9861 1.2025 0.8463
1.3390 0.9612 0.9825 1.2059 0.8479
1.3445 0.9721 0.9921 1.2100 0.8577
1.3381 0.9762 0.9895 1.2029 0.8613
1.3389 0.9773 0.9992 1.2022 0.8612
1.3340 0.9770 1.0076 1.1958 0.8597
1.3363 0.9793 1.0010 1.1977 0.8617
1.3426 0.9764 1.0053 1.2029 0.8580
1.3449 0.9785 0.9997 1.2046 0.8598
1.3528 0.9822 1.0028 1.2115 0.8627
1.3505 0.9849 0.9962 1.2087 0.8651
1.3599 0.9935 0.9914 1.2175 0.8735
1.3531 0.9954 1.0000 1.2093 0.8742
1.3492 0.9973 0.9872 1.2053 0.8763
1.3455 0.9933 0.9824 1.2009 0.8719
1.3517 0.9939 0.9775 1.2066 0.8722
1.3577 0.9955 0.9819 1.2115 0.8730
1.3659 1.0014 0.9836 1.2187 0.8781
1.3754 0.9982 0.9922 1.2269 0.8738
1.3774 0.9970 1.0072 1.2271 0.8711
1.3724 0.9978 1.0103 1.2209 0.8711
1.3659 0.9909 0.9921 1.2146 0.8646
1.3577 0.9892 0.9860 1.2057 0.8626
1.3674 0.9874 0.9850 1.2146 0.8602
1.3804 0.9868 0.9954 1.2262 0.8584
1.3852 0.9900 0.9902 1.2304 0.8614
1.3908 0.9951 0.9862 1.2355 0.8661
1.3934 1.0023 0.9800 1.2375 0.8732
1.4005 0.9968 0.9660 1.2446 0.8679
1.3976 0.9970 0.9654 1.2409 0.8676
1.4041 0.9998 0.9651 1.2465 0.8699
1.4080 1.0032 0.9624 1.2497 0.8728
1.4003 1.0022 0.9528 1.2417 0.8718
1.4042 1.0028 0.9653 1.2440 0.8711
1.4048 1.0066 0.9772 1.2430 0.8735
1.4009 1.0078 0.9824 1.2379 0.8738
1.3974 1.0035 0.9790 1.2336 0.8691
1.3958 1.0035 0.9779 1.2312 0.8685
1.3990 1.0071 0.9917 1.2327 0.8708
1.4030 1.0032 0.9967 1.2355 0.8659
1.3968 0.9961 0.9976 1.2283 0.8581
1.3998 1.0005 0.9968 1.2305 0.8620
1.3945 1.0011 1.0006 1.2239 0.8617
1.3923 1.0036 1.0017 1.2208 0.8635
1.3843 1.0014 0.9988 1.2120 0.8608
1.3955 1.0083 0.9949 1.2226 0.8674
1.4007 1.0153 1.0037 1.2263 0.8734
1.3995 1.0059 0.9930 1.2248 0.8640
1.4046 1.0038 0.9902 1.2292 0.8615
1.4013 1.0074 0.9955 1.2247 0.8642
1.3945 1.0065 1.0007 1.2166 0.8622
1.4001 1.0056 1.0018 1.2212 0.8607
1.3985 1.0032 1.0044 1.2185 0.8575
1.3936 0.9957 0.9988 1.2130 0.8497
1.3942 0.9942 0.9958 1.2128 0.8478
1.3879 0.9920 0.9987 1.2053 0.8448
1.3908 1.0000 1.0072 1.2069 0.8517
1.3923 1.0038 1.0114 1.2072 0.8546
1.3803 1.0038 1.0082 1.1944 0.8542
1.3873 0.9967 1.0135 1.2001 0.8461
1.3819 0.9933 1.0205 1.1933 0.8417
1.3831 0.9900 1.0126 1.1941 0.8383
1.3865 0.9853 1.0275 1.1956 0.8320
1.3811 0.9872 1.0242 1.1894 0.8335
1.3865 0.9910 1.0370 1.1931 0.8359
1.3842 0.9882 1.0258 1.1905 0.8332
1.3910 0.9835 1.0308 1.1960 0.8276
1.3991 0.9832 1.0347 1.2030 0.8265
1.3946 0.9755 1.0449 1.1968 0.8175
1.3914 0.9775 1.0465 1.1926 0.8187
1.3876 0.9714 1.0345 1.1885 0.8127
1.3877 0.9730 1.0398 1.1872 0.8133
1.3900 0.9798 1.0331 1.1890 0.8200
1.3909 0.9864 1.0456 1.1882 0.8253
1.3956 0.9893 1.0591 1.1912 0.8268
1.4004 0.9845 1.0637 1.1947 0.8211
1.3980 0.9814 1.0674 1.1910 0.8171
1.4011 0.9830 1.0823 1.1923 0.8171
1.4035 0.9864 1.0885 1.1933 0.8196
1.4061 0.9867 1.0854 1.1951 0.8194
1.4046 0.9835 1.0753 1.1931 0.8162
1.4099 0.9930 1.0846 1.1970 0.8246
1.4110 0.9935 1.0919 1.1966 0.8240
1.4145 0.9998 1.0907 1.1992 0.8297
1.4181 1.0005 1.0933 1.2017 0.8298
1.4217 1.0035 1.0927 1.2043 0.8321
1.4258 1.0060 1.0947 1.2073 0.8339
1.4249 1.0001 1.0895 1.2056 0.8277
1.4325 1.0056 1.0998 1.2116 0.8319
1.4337 1.0050 1.0945 1.2121 0.8310
1.4319 1.0082 1.0906 1.2095 0.8339
1.4403 1.0151 1.0904 1.2170 0.8402
1.4450 1.0110 1.0970 1.2203 0.8350
1.4442 1.0095 1.0901 1.2189 0.8333
1.4450 1.0128 1.0906 1.2186 0.8360
1.4407 1.0101 1.0845 1.2136 0.8330
1.4445 1.0117 1.0936 1.2159 0.8335
1.4413 1.0044 1.1008 1.2111 0.8251
1.4320 0.9940 1.1001 1.2007 0.8140
1.4353 0.9919 1.0840 1.2040 0.8121
1.4363 0.9889 1.0894 1.2036 0.8082
1.4417 0.9907 1.0939 1.2077 0.8091
1.4476 0.9904 1.0935 1.2126 0.8083
1.4531 0.9872 1.1044 1.2164 0.8038
1.4470 0.9931 1.1106 1.2089 0.8087
1.4469 0.9909 1.1217 1.2071 0.8052
1.4438 0.9812 1.1120 1.2034 0.7954
1.4500 0.9794 1.1095 1.2088 0.7931
1.4495 0.9731 1.1214 1.2064 0.7854
1.4504 0.9669 1.1285 1.2058 0.7781
1.4504 0.9609 1.1304 1.2046 0.7714
1.4558 0.9696 1.1526 1.2076 0.7782
1.4483 0.9714 1.1515 1.1991 0.7794
1.4386 0.9690 1.1460 1.1885 0.7765
1.4351 0.9683 1.1527 1.1835 0.7748
1.4448 0.9650 1.1523 1.1921 0.7709
1.4371 0.9603 1.1437 1.1838 0.7659
1.4356 0.9529 1.1451 1.1810 0.7577
1.4363 0.9545 1.1558 1.1801 0.7581
1.4380 0.9549 1.1701 1.1798 0.7570
1.4412 0.9546 1.1585 1.1826 0.7568
1.4457 0.9484 1.1677 1.1855 0.7493
1.4591 0.9499 1.1771 1.1972 0.7496
1.4601 0.9562 1.1728 1.1974 0.7556
1.4602 0.9561 1.1816 1.1958 0.7543
1.4498 0.9459 1.1735 1.1847 0.7438
1.4599 0.9484 1.1870 1.1929 0.7449
1.4622 0.9468 1.1841 1.1943 0.7428
1.4581 0.9445 1.1796 1.1892 0.7401
1.4590 0.9431 1.1894 1.1884 0.7374
1.4658 0.9439 1.2047 1.1932 0.7366
1.4698 0.9470 1.1927 1.1968 0.7399
1.4762 0.9445 1.1937 1.2020 0.7367
1.4754 0.9485 1.1902 1.2002 0.7403
1.4761 0.9546 1.1964 1.1995 0.7453
1.4743 0.9536 1.1865 1.1971 0.7442
1.4835 0.9559 1.2094 1.2039 0.7445
1.4873 0.9591 1.2030 1.2069 0.7475
1.4898 0.9568 1.2027 1.2082 0.7446
1.4904 0.9515 1.2029 1.2076 0.7386
1.4837 0.9387 1.1926 1.2003 0.7256
1.4886 0.9385 1.1882 1.2043 0.7250
1.4941 0.9400 1.1856 1.2089 0.7261
1.5001 0.9397 1.1916 1.2135 0.7248
1.4936 0.9384 1.1848 1.2061 0.7232
1.4971 0.9406 1.1941 1.2080 0.7243
1.5023 0.9412 1.1927 1.2121 0.7244
1.5124 0.9423 1.1954 1.2210 0.7246
1.5109 0.9392 1.2045 1.2178 0.7203
1.5131 0.9414 1.2057 1.2188 0.7218
1.5224 0.9455 1.2137 1.2265 0.7249
1.5243 0.9515 1.2160 1.2271 0.7301
1.5270 0.9510 1.2175 1.2285 0.7289
1.5288 0.9538 1.2185 1.2291 0.7310
1.5271 0.9533 1.2074 1.2268 0.7305
1.5318 0.9585 1.2176 1.2298 0.7345
1.5340 0.9573 1.2214 1.2306 0.7323
1.5372 0.9589 1.2209 1.2327 0.7334
1.5465 0.9621 1.2241 1.2407 0.7358
1.5507 0.9668 1.2237 1.2438 0.7399
1.5481 0.9665 1.2251 1.2398 0.7389
1.5556 0.9646 1.2326 1.2458 0.7359
1.5542 0.9670 1.2356 1.2430 0.7374
1.5522 0.9615 1.2416 1.2394 0.7309
1.5538 0.9554 1.2462 1.2395 0.7238
1.5539 0.9525 1.2406 1.2387 0.7206
1.5557 0.9556 1.2422 1.2392 0.7229
1.5549 0.9483 1.2517 1.2366 0.7143
1.5567 0.9489 1.2490 1.2374 0.7145
1.5561 0.9460 1.2542 1.2352 0.7106
1.5625 0.9464 1.2795 1.2389 0.7087
1.5565 0.9405 1.2699 1.2321 0.7027
1.5534 0.9321 1.2599 1.2283 0.6942
1.5541 0.9277 1.2541 1.2282 0.6894
1.5613 0.9210 1.2630 1.2335 0.6816
1.5693 0.9204 1.2483 1.2412 0.6813
1.5697 0.9221 1.2614 1.2397 0.6815
