 x	 y	 z
0.0000 0.0000 1.0000
0.1394 -0.0763 0.9837
0.2766 -0.1433 0.9353
0.4058 -0.1981 0.8569
0.5217 -0.2384 0.7518
0.6194 -0.2627 0.6243
0.6948 -0.2699 0.4797
0.7447 -0.2597 0.3239
0.7670 -0.2327 0.1635
0.7607 -0.1899 0.0050
0.7261 -0.1332 -0.1449
0.6645 -0.0649 -0.2801
0.5783 0.0121 -0.3949
0.4712 0.0945 -0.4846
0.3475 0.1791 -0.5455
0.2123 0.2623 -0.5750
0.0712 0.3405 -0.5720
-0.0700 0.4107 -0.5365
-0.2055 0.4700 -0.4701
-0.3297 0.5158 -0.3754
-0.4374 0.5465 -0.2565
-0.5242 0.5606 -0.1182
-0.5865 0.5579 0.0337
-0.6217 0.5383 0.1930
-0.6283 0.5028 0.3530
-0.6062 0.4529 0.5070
-0.5561 0.3908 0.6488
-0.4803 0.3191 0.7723
-0.3818 0.2407 0.8726
-0.2647 0.1591 0.9454
-0.1339 0.0775 0.9878
0.0051 -0.0005 0.9979
0.1466 -0.0717 0.9753
0.2846 -0.1333 0.9210
0.4134 -0.1826 0.8372
0.5276 -0.2176 0.7274
0.6225 -0.2368 0.5961
0.6940 -0.2396 0.4488
0.7391 -0.2258 0.2916
0.7559 -0.1960 0.1309
0.7436 -0.1515 -0.0266
0.7028 -0.0941 -0.1743
0.6349 -0.0263 -0.3061
0.5429 0.0491 -0.4166
0.4304 0.1289 -0.5012
0.3021 0.2100 -0.5565
0.1633 0.2888 -0.5800
0.0197 0.3623 -0.5709
-0.1228 0.4272 -0.5295
-0.2583 0.4811 -0.4576
-0.3812 0.5217 -0.3582
-0.4864 0.5474 -0.2353
-0.5695 0.5571 -0.0941
-0.6272 0.5506 0.0596
-0.6569 0.5282 0.2194
-0.6576 0.4908 0.3787
-0.6291 0.4401 0.5308
-0.5726 0.3783 0.6695
-0.4906 0.3079 0.7889
-0.3864 0.2319 0.8842
-0.2643 0.1535 0.9514
-0.1294 0.0759 0.9876
0.0126 0.0025 0.9915
0.1558 -0.0638 0.9627
0.2943 -0.1202 0.9025
0.4223 -0.1643 0.8134
0.5344 -0.1944 0.6991
0.6259 -0.2093 0.5643
0.6930 -0.2083 0.4145
0.7328 -0.1916 0.2560
0.7437 -0.1598 0.0953
0.7250 -0.1143 -0.0609
0.6777 -0.0571 -0.2061
0.6034 0.0096 -0.3344
0.5054 0.0829 -0.4405
0.3876 0.1598 -0.5199
0.2548 0.2370 -0.5694
0.1126 0.3115 -0.5869
-0.0332 0.3801 -0.5718
-0.1766 0.4401 -0.5246
-0.3116 0.4890 -0.4473
-0.4327 0.5248 -0.3432
-0.5348 0.5461 -0.2165
-0.6138 0.5521 -0.0725
-0.6663 0.5426 0.0827
-0.6901 0.5180 0.2428
-0.6843 0.4795 0.4011
-0.6492 0.4287 0.5511
-0.5861 0.3677 0.6864
-0.4977 0.2991 0.8016
-0.3878 0.2259 0.8917
-0.2608 0.1510 0.9532
-0.1220 0.0775 0.9833
0.0227 0.0087 0.9809
0.1673 -0.0528 0.9460
0.3059 -0.1044 0.8800
0.4325 -0.1439 0.7858
0.5419 -0.1698 0.6671
0.6296 -0.1809 0.5289
0.6917 -0.1769 0.3769
0.7258 -0.1580 0.2174
0.7303 -0.1250 0.0570
0.7050 -0.0792 -0.0978
0.6509 -0.0227 -0.2404
0.5701 0.0423 -0.3650
0.4661 0.1131 -0.4664
0.3430 0.1867 -0.5405
0.2060 0.2601 -0.5841
0.0607 0.3302 -0.5956
-0.0869 0.3942 -0.5744
-0.2308 0.4495 -0.5215
-0.3648 0.4938 -0.4390
-0.4836 0.5254 -0.3303
-0.5821 0.5430 -0.2000
-0.6563 0.5459 -0.0536
-0.7031 0.5341 0.1030
-0.7206 0.5082 0.2632
-0.7080 0.4692 0.4203
-0.6659 0.4188 0.5679
-0.5961 0.3593 0.6997
-0.5013 0.2929 0.8104
-0.3857 0.2227 0.8953
-0.2539 0.1514 0.9509
-0.1115 0.0821 0.9749
0.0355 0.0176 0.9662
0.1811 -0.0394 0.9252
0.3192 -0.0866 0.8536
0.4439 -0.1220 0.7543
0.5502 -0.1443 0.6315
0.6334 -0.1524 0.4901
0.6902 -0.1461 0.3361
0.7181 -0.1258 0.1758
0.7158 -0.0922 0.0159
0.6836 -0.0468 -0.1371
0.6225 0.0085 -0.2768
0.5352 0.0715 -0.3975
0.4252 0.1394 -0.4942
0.2971 0.2095 -0.5628
0.1560 0.2790 -0.6006
0.0080 0.3449 -0.6060
-0.1410 0.4046 -0.5788
-0.2847 0.4556 -0.5202
-0.4173 0.4959 -0.4325
-0.5331 0.5239 -0.3195
-0.6275 0.5384 -0.1858
-0.6964 0.5390 -0.0371
-0.7371 0.5257 0.1206
-0.7478 0.4990 0.2806
-0.7281 0.4602 0.4363
-0.6788 0.4108 0.5813
-0.6021 0.3531 0.7095
-0.5010 0.2893 0.8156
-0.3798 0.2222 0.8951
-0.2435 0.1546 0.9448
-0.0978 0.0893 0.9625
0.0512 0.0289 0.9476
0.1972 -0.0241 0.9006
0.3343 -0.0674 0.8234
0.4566 -0.0994 0.7193
0.5591 -0.1187 0.5924
0.6374 -0.1245 0.4482
0.6883 -0.1167 0.2924
0.7096 -0.0956 0.1316
0.7003 -0.0621 -0.0276
0.6608 -0.0176 -0.1787
0.5928 0.0361 -0.3153
0.4989 0.0966 -0.4319
0.3831 0.1615 -0.5237
0.2501 0.2281 -0.5867
0.1054 0.2938 -0.6186
-0.0450 0.3557 -0.6179
-0.1948 0.4115 -0.5847
-0.3379 0.4587 -0.5205
-0.4683 0.4956 -0.4278
-0.5807 0.5206 -0.3106
-0.6703 0.5328 -0.1738
-0.7334 0.5317 -0.0229
-0.7675 0.5175 0.1356
-0.7711 0.4908 0.2953
-0.7440 0.4526 0.4494
-0.6875 0.4048 0.5916
-0.6038 0.3492 0.7159
-0.4964 0.2882 0.8172
-0.3698 0.2243 0.8912
-0.2293 0.1602 0.9349
-0.0808 0.0986 0.9465
0.0696 0.0419 0.9253
0.2157 -0.0075 0.8724
0.3512 -0.0476 0.7897
0.4705 -0.0767 0.6809
0.5686 -0.0937 0.5503
0.6415 -0.0979 0.4033
0.6861 -0.0892 0.2460
0.7003 -0.0680 0.0849
0.6838 -0.0352 -0.0734
0.6369 0.0079 -0.2223
0.5618 0.0595 -0.3556
0.4614 0.1174 -0.4679
0.3400 0.1793 -0.5546
0.2024 0.2425 -0.6120
0.0545 0.3046 -0.6379
