t,a,b,c,d,e,f,g,h,i,l,m,n,o,p,q,r
0.03,0.06351397970437422,0.07174776631955355,0.03945089157890028,0.03701062288659764,0.1352638851421166,0.07473303690967101,0.10063926541489092,0.04593792982743744,0.04426210007448794,0.051794315802915346,0.043367346701553545,0.031037164871645158,0.09681005841641475,0.04491023460038396,0.05312432598551017,0.06639707576354743
0.032,0.06630984278861149,0.07121222558239584,0.03728065227762928,0.03289742870202941,0.14318783087410136,0.07500456273176695,0.0958841025704818,0.04121406118380297,0.04777087103059524,0.05290128450751679,0.04199718886740514,0.028478387973610412,0.10534310962277746,0.046495438809678255,0.05196882571790632,0.062054186759691175
0.034,0.05800120343114085,0.0606152475835641,0.0307470763031216,0.026159247211262303,0.15895262297186843,0.08105348492882056,0.10042433217364695,0.04182301549699646,0.04335027378778673,0.046483891870642884,0.035581748554695786,0.023425871330501474,0.12023126576094582,0.05180230968568965,0.055858704863303486,0.06548970404601269
0.036000000000000004,0.06307937334983017,0.05431326174356912,0.03172312547793302,0.02191166009657957,0.17876230198742474,0.07513339328255254,0.10650284161288427,0.03618548102197766,0.04611483239168948,0.040398439505529175,0.03550362425830782,0.01903970001364253,0.1316130142313738,0.046722686109006546,0.05747113697728759,0.055525127940411693
0.038,0.07559097251329132,0.0666659358333026,0.03381085410528333,0.023763648891678858,0.18358388891713434,0.0789938158322454,0.09561220399266103,0.03315102047737416,0.050723361482561895,0.045328711895530845,0.03417581716484618,0.018772603629296784,0.12251211730036977,0.04467393835567429,0.04630013611419031,0.04634097349455874
0.04,0.07589302105158909,0.06170726403688728,0.03690400393381022,0.02381799644167725,0.17420220196971492,0.06878106282595431,0.0981932383228006,0.031197195568499328,0.05542272698890217,0.045606904663564034,0.04007011209656971,0.020367673565458367,0.1262110867932238,0.04245783352286282,0.05130705466647555,0.047860623552010664
0.042,0.07471706366088694,0.05402090196900582,0.038026853301845936,0.02171918634651117,0.17878038923832149,0.06279557646263689,0.10471458400447882,0.029521339441925788,0.05645668974914163,0.04120086182995993,0.04227593359305734,0.019134824550838606,0.13331670815413046,0.0400452127324217,0.05611744825443925,0.04715642671039827
0.044,0.09163468461951493,0.05430027094723499,0.04595726527826692,0.021326835698909856,0.19759332226618745,0.05614763407951568,0.11325307240164896,0.025634808126987547,0.05953541465546733,0.03485986210667675,0.04346026136359268,0.015763436671467065,0.1250306604222735,0.029871298696002312,0.05124655557018229,0.03438461709607169
0.046,0.08985803529739587,0.060139250260452005,0.03967992284045944,0.020835136305625314,0.19400842780568436,0.06219715695726094,0.09728955153854328,0.024908617236671936,0.06283456205716334,0.04124114949697827,0.0401850528459019,0.016475474768512816,0.13154954284220188,0.035373476084604,0.047234055714874004,0.036190587947670494
0.048,0.08873013548565095,0.06488129541589788,0.034537098991778856,0.019796834482377405,0.1705742725262149,0.059977854518085356,0.07425757087114765,0.020875296132527664,0.07710216625862024,0.05462001040822444,0.04363655393587442,0.01941297723398726,0.14490663111010796,0.042386960276246305,0.045715120237011526,0.03858922211624723
