 t	 x	 y	 z	 w	 q
0.0000 0.0012 0.0060 0.0275 0.1518 0.8135
0.0375 0.0012 0.0060 0.0275 0.1518 0.8131
0.0750 0.0012 0.0060 0.0275 0.1516 0.8121
0.1125 0.0012 0.0060 0.0275 0.1515 0.8105
0.1500 0.0012 0.0060 0.0275 0.1512 0.8086
0.1875 0.0012 0.0060 0.0274 0.1510 0.8066
0.2250 0.0012 0.0060 0.0274 0.1508 0.8049
0.2625 0.0012 0.0060 0.0274 0.1507 0.8037
0.3000 0.0012 0.0060 0.0274 0.1506 0.8029
0.3375 0.0012 0.0060 0.0274 0.1506 0.8027
0.3750 0.0012 0.0060 0.0274 0.1506 0.8030
0.4125 0.0012 0.0060 0.0274 0.1506 0.8036
0.4500 0.0012 0.0060 0.0274 0.1507 0.8044
0.4875 0.0012 0.0060 0.0274 0.1508 0.8052
0.5250 0.0012 0.0060 0.0274 0.1509 0.8059
0.5625 0.0012 0.0060 0.0274 0.1510 0.8065
0.6000 0.0012 0.0060 0.0274 0.1510 0.8069
0.6375 0.0012 0.0060 0.0274 0.1511 0.8074
0.6750 0.0012 0.0060 0.0274 0.1511 0.8079
0.7125 0.0012 0.0060 0.0274 0.1512 0.8086
0.7500 0.0012 0.0060 0.0274 0.1513 0.8095
0.7875 0.0012 0.0060 0.0275 0.1514 0.8105
0.8250 0.0012 0.0060 0.0275 0.1515 0.8116
0.8625 0.0012 0.0060 0.0275 0.1516 0.8125
0.9000 0.0012 0.0060 0.0275 0.1517 0.8132
0.9375 0.0012 0.0060 0.0275 0.1518 0.8134
0.9750 0.0012 0.0060 0.0275 0.1518 0.8129
1.0125 0.0012 0.0060 0.0275 0.1517 0.8117
1.0500 0.0012 0.0060 0.0275 0.1515 0.8100
1.0875 0.0012 0.0060 0.0275 0.1513 0.8078
1.1250 0.0012 0.0060 0.0274 0.1510 0.8053
1.1625 0.0012 0.0060 0.0274 0.1507 0.8030
1.2000 0.0012 0.0060 0.0274 0.1504 0.8010
1.2375 0.0012 0.0060 0.0274 0.1503 0.7997
1.2750 0.0012 0.0060 0.0274 0.1501 0.7991
1.3125 0.0012 0.0060 0.0273 0.1501 0.7993
1.3500 0.0012 0.0060 0.0274 0.1502 0.8003
1.3875 0.0012 0.0060 0.0274 0.1504 0.8019
1.4250 0.0012 0.0060 0.0274 0.1505 0.8038
1.4625 0.0012 0.0060 0.0274 0.1508 0.8058
1.5000 0.0012 0.0060 0.0274 0.1510 0.8076
1.5375 0.0012 0.0060 0.0274 0.1512 0.8092
1.5750 0.0012 0.0060 0.0275 0.1513 0.8104
1.6125 0.0012 0.0060 0.0275 0.1514 0.8112
1.6500 0.0012 0.0060 0.0275 0.1515 0.8117
1.6875 0.0012 0.0060 0.0275 0.1516 0.8120
1.7250 0.0012 0.0060 0.0275 0.1516 0.8122
1.7625 0.0012 0.0060 0.0275 0.1516 0.8123
1.8000 0.0012 0.0060 0.0275 0.1517 0.8124
1.8375 0.0012 0.0060 0.0275 0.1517 0.8125
1.8750 0.0012 0.0060 0.0275 0.1517 0.8123
1.9125 0.0012 0.0060 0.0275 0.1517 0.8119
1.9500 0.0012 0.0060 0.0275 0.1516 0.8110
1.9875 0.0012 0.0060 0.0275 0.1515 0.8096
2.0250 0.0012 0.0060 0.0275 0.1513 0.8079
2.0625 0.0012 0.0060 0.0275 0.1511 0.8058
2.1000 0.0012 0.0060 0.0274 0.1508 0.8035
2.1375 0.0012 0.0060 0.0274 0.1506 0.8015
2.1750 0.0012 0.0060 0.0274 0.1503 0.7998
2.2125 0.0012 0.0060 0.0274 0.1501 0.7987
2.2500 0.0012 0.0060 0.0273 0.1500 0.7984
2.2875 0.0012 0.0060 0.0273 0.1500 0.7990
2.3250 0.0012 0.0060 0.0273 0.1501 0.8004
2.3625 0.0012 0.0060 0.0273 0.1503 0.8024
2.4000 0.0012 0.0060 0.0274 0.1505 0.8048
2.4375 0.0012 0.0060 0.0274 0.1508 0.8073
2.4750 0.0012 0.0060 0.0274 0.1511 0.8095
2.5125 0.0012 0.0060 0.0274 0.1513 0.8113
2.5500 0.0012 0.0060 0.0275 0.1515 0.8125
2.5875 0.0012 0.0060 0.0275 0.1516 0.8130
2.6250 0.0012 0.0060 0.0275 0.1517 0.8130
2.6625 0.0012 0.0060 0.0275 0.1517 0.8126
2.7000 0.0012 0.0060 0.0275 0.1517 0.8119
2.7375 0.0012 0.0060 0.0275 0.1516 0.8111
2.7750 0.0012 0.0060 0.0275 0.1516 0.8103
2.8125 0.0012 0.0060 0.0275 0.1515 0.8096
2.8500 0.0012 0.0060 0.0275 0.1514 0.8090
2.8875 0.0012 0.0060 0.0275 0.1514 0.8084
2.9250 0.0012 0.0060 0.0275 0.1513 0.8078
2.9625 0.0012 0.0060 0.0275 0.1512 0.8070
3.0000 0.0012 0.0060 0.0275 0.1511 0.8061
3.0375 0.0012 0.0060 0.0274 0.1510 0.8049
3.0750 0.0012 0.0060 0.0274 0.1508 0.8037
3.1125 0.0012 0.0060 0.0274 0.1506 0.8026
3.1500 0.0012 0.0060 0.0274 0.1505 0.8017
3.1875 0.0012 0.0060 0.0274 0.1503 0.8013
3.2250 0.0012 0.0060 0.0274 0.1503 0.8014
3.2625 0.0012 0.0060 0.0273 0.1502 0.8022
3.3000 0.0012 0.0060 0.0273 0.1503 0.8036
3.3375 0.0012 0.0060 0.0274 0.1505 0.8055
3.3750 0.0012 0.0060 0.0274 0.1507 0.8076
3.4125 0.0012 0.0060 0.0274 0.1509 0.8097
3.4500 0.0012 0.0060 0.0274 0.1512 0.8115
3.4875 0.0012 0.0060 0.0274 0.1514 0.8127
3.5250 0.0012 0.0060 0.0275 0.1516 0.8133
3.5625 0.0012 0.0060 0.0275 0.1517 0.8131
3.6000 0.0012 0.0060 0.0275 0.1518 0.8122
3.6375 0.0012 0.0060 0.0275 0.1517 0.8108
3.6750 0.0012 0.0060 0.0275 0.1516 0.8091
3.7125 0.0012 0.0060 0.0275 0.1514 0.8075
3.7500 0.0012 0.0060 0.0275 0.1513 0.8060
3.7875 0.0012 0.0060 0.0275 0.1511 0.8048
3.8250 0.0012 0.0060 0.0274 0.1510 0.8042
3.8625 0.0012 0.0060 0.0274 0.1509 0.8039
3.9000 0.0012 0.0060 0.0274 0.1508 0.8040
3.9375 0.0012 0.0060 0.0274 0.1508 0.8043
3.9750 0.0012 0.0060 0.0274 0.1508 0.8047
4.0125 0.0012 0.0060 0.0274 0.1508 0.8050
4.0500 0.0012 0.0060 0.0274 0.1508 0.8053
4.0875 0.0012 0.0060 0.0274 0.1508 0.8055
4.1250 0.0012 0.0060 0.0274 0.1508 0.8057
4.1625 0.0012 0.0060 0.0274 0.1507 0.8060
4.2000 0.0012 0.0060 0.0274 0.1507 0.8064
4.2375 0.0012 0.0060 0.0274 0.1507 0.8072
4.2750 0.0012 0.0060 0.0274 0.1508 0.8083
4.3125 0.0012 0.0060 0.0274 0.1509 0.8096
4.3500 0.0012 0.0060 0.0274 0.1511 0.8109
4.3875 0.0012 0.0060 0.0274 0.1513 0.8122
4.4250 0.0012 0.0060 0.0274 0.1515 0.8130
4.4625 0.0012 0.0060 0.0275 0.1516 0.8134
4.5000 0.0012 0.0060 0.0275 0.1517 0.8131
4.5375 0.0012 0.0060 0.0275 0.1518 0.8120
4.5750 0.0012 0.0060 0.0275 0.1518 0.8103
4.6125 0.0012 0.0060 0.0275 0.1516 0.8082
4.6500 0.0012 0.0060 0.0275 0.1514 0.8058
4.6875 0.0012 0.0060 0.0275 0.1512 0.8036
4.7250 0.0012 0.0060 0.0275 0.1509 0.8017
4.7625 0.0012 0.0060 0.0274 0.1507 0.8005
4.8000 0.0012 0.0060 0.0274 0.1505 0.7999
4.8375 0.0012 0.0060 0.0274 0.1504 0.8002
4.8750 0.0012 0.0060 0.0274 0.1504 0.8011
4.9125 0.0012 0.0060 0.0274 0.1504 0.8024
4.9500 0.0012 0.0060 0.0274 0.1505 0.8041
4.9875 0.0012 0.0060 0.0274 0.1506 0.8058
5.0250 0.0012 0.0060 0.0274 0.1508 0.8073
5.0625 0.0012 0.0060 0.0274 0.1509 0.8087
5.1000 0.0012 0.0060 0.0274 0.1510 0.8097
5.1375 0.0012 0.0060 0.0274 0.1511 0.8104
5.1750 0.0012 0.0060 0.0274 0.1512 0.8110
5.2125 0.0012 0.0060 0.0274 0.1513 0.8114
5.2500 0.0012 0.0060 0.0274 0.1513 0.8118
5.2875 0.0012 0.0060 0.0274 0.1514 0.8123
5.3250 0.0012 0.0060 0.0274 0.1515 0.8127
5.3625 0.0012 0.0060 0.0275 0.1516 0.8129
5.4000 0.0012 0.0060 0.0275 0.1517 0.8129
5.4375 0.0012 0.0060 0.0275 0.1517 0.8126
5.4750 0.0012 0.0060 0.0275 0.1518 0.8117
5.5125 0.0012 0.0060 0.0275 0.1518 0.8102
5.5500 0.0012 0.0060 0.0275 0.1517 0.8083
5.5875 0.0012 0.0060 0.0275 0.1515 0.8061
5.6250 0.0012 0.0060 0.0275 0.1513 0.8037
5.6625 0.0012 0.0060 0.0275 0.1510 0.8015
5.7000 0.0012 0.0060 0.0275 0.1507 0.7998
5.7375 0.0012 0.0060 0.0274 0.1505 0.7987
5.7750 0.0012 0.0060 0.0274 0.1502 0.7984
5.8125 0.0012 0.0060 0.0274 0.1501 0.7991
5.8500 0.0012 0.0060 0.0274 0.1501 0.8005
5.8875 0.0012 0.0060 0.0274 0.1501 0.8025
5.9250 0.0012 0.0060 0.0273 0.1502 0.8048
5.9625 0.0012 0.0060 0.0274 0.1505 0.8072
6.0000 0.0012 0.0060 0.0274 0.1507 0.8094
6.0375 0.0012 0.0060 0.0274 0.1510 0.8111
6.0750 0.0012 0.0060 0.0274 0.1512 0.8123
6.1125 0.0012 0.0060 0.0274 0.1514 0.8129
6.1500 0.0012 0.0060 0.0274 0.1515 0.8131
6.1875 0.0012 0.0060 0.0275 0.1516 0.8129
6.2250 0.0012 0.0060 0.0275 0.1517 0.8124
6.2625 0.0012 0.0060 0.0275 0.1517 0.8119
6.3000 0.0012 0.0060 0.0275 0.1517 0.8113
6.3375 0.0012 0.0060 0.0275 0.1517 0.8108
6.3750 0.0012 0.0060 0.0275 0.1517 0.8103
