 t	 x	 y	 z	 w	 q
0.0000 0.0000 0.0000 0.0000 0.0003 0.9997
0.0375 0.0000 0.0000 0.0000 0.0003 0.9946
0.0750 0.0000 0.0000 0.0000 0.0003 0.9794
0.1125 0.0000 0.0000 0.0000 0.0002 0.9542
0.1500 0.0000 0.0000 0.0000 0.0002 0.9196
0.1875 0.0000 0.0000 0.0000 0.0002 0.8760
0.2250 0.0000 0.0000 0.0000 0.0002 0.8238
0.2625 0.0000 0.0000 0.0000 0.0002 0.7638
0.3000 0.0000 0.0000 0.0000 0.0002 0.6965
0.3375 0.0000 0.0000 0.0000 0.0002 0.6231
0.3750 0.0000 0.0000 0.0000 0.0001 0.5443
0.4125 0.0000 0.0000 0.0000 0.0001 0.4613
0.4500 0.0000 0.0000 0.0000 0.0001 0.3751
0.4875 0.0000 0.0000 0.0000 0.0001 0.2867
0.5250 0.0000 0.0000 0.0000 0.0000 0.1972
0.5625 0.0000 0.0000 0.0000 0.0000 0.1078
0.6000 -0.0000 -0.0000 -0.0000 -0.0000 0.0197
0.6375 -0.0000 -0.0000 -0.0000 -0.0000 -0.0657
0.6750 -0.0000 -0.0000 -0.0000 -0.0001 -0.1476
0.7125 -0.0000 -0.0000 -0.0000 -0.0001 -0.2248
0.7500 -0.0000 -0.0000 -0.0000 -0.0001 -0.2966
0.7875 -0.0000 -0.0000 -0.0000 -0.0001 -0.3619
0.8250 -0.0000 -0.0000 -0.0000 -0.0001 -0.4199
0.8625 -0.0000 -0.0000 -0.0000 -0.0002 -0.4698
0.9000 -0.0000 -0.0000 -0.0000 -0.0002 -0.5109
0.9375 -0.0000 -0.0000 -0.0000 -0.0002 -0.5427
0.9750 -0.0000 -0.0000 -0.0000 -0.0002 -0.5649
1.0125 -0.0000 -0.0000 -0.0000 -0.0002 -0.5772
1.0500 -0.0000 -0.0000 -0.0000 -0.0002 -0.5795
1.0875 -0.0000 -0.0000 -0.0000 -0.0002 -0.5717
1.1250 -0.0000 -0.0000 -0.0000 -0.0002 -0.5537
1.1625 -0.0000 -0.0000 -0.0000 -0.0002 -0.5257
1.2000 -0.0000 -0.0000 -0.0000 -0.0002 -0.4884
1.2375 -0.0000 -0.0000 -0.0000 -0.0002 -0.4421
1.2750 -0.0000 -0.0000 -0.0000 -0.0002 -0.3876
1.3125 -0.0000 -0.0000 -0.0000 -0.0002 -0.3256
1.3500 -0.0000 -0.0000 -0.0000 -0.0002 -0.2565
1.3875 -0.0000 -0.0000 -0.0000 -0.0001 -0.1815
1.4250 -0.0000 -0.0000 -0.0000 -0.0001 -0.1013
1.4625 -0.0000 -0.0000 -0.0000 -0.0001 -0.0172
1.5000 -0.0000 -0.0000 -0.0000 -0.0001 0.0697
1.5375 -0.0000 -0.0000 -0.0000 -0.0001 0.1584
1.5750 -0.0000 -0.0000 -0.0000 -0.0000 0.2478
1.6125 -0.0000 -0.0000 -0.0000 -0.0000 0.3368
1.6500 -0.0000 -0.0000 -0.0000 0.0000 0.4243
1.6875 -0.0000 -0.0000 -0.0000 0.0000 0.5090
1.7250 0.0000 -0.0000 -0.0000 0.0001 0.5898
1.7625 0.0000 -0.0000 0.0000 0.0001 0.6657
1.8000 0.0000 0.0000 0.0000 0.0001 0.7356
1.8375 0.0000 0.0000 0.0000 0.0001 0.7988
1.8750 0.0000 0.0000 0.0000 0.0002 0.8544
1.9125 0.0000 0.0000 0.0000 0.0002 0.9019
1.9500 0.0000 0.0000 0.0000 0.0002 0.9405
1.9875 0.0000 0.0000 0.0000 0.0002 0.9697
2.0250 0.0000 0.0000 0.0000 0.0002 0.9891
2.0625 0.0000 0.0000 0.0000 0.0002 0.9985
2.1000 0.0000 0.0000 0.0000 0.0002 0.9979
2.1375 0.0000 0.0000 0.0000 0.0003 0.9872
2.1750 0.0000 0.0000 0.0000 0.0003 0.9664
2.2125 0.0000 0.0000 0.0000 0.0003 0.9359
2.2500 0.0000 0.0000 0.0000 0.0003 0.8960
2.2875 0.0000 0.0000 0.0000 0.0003 0.8472
2.3250 0.0000 0.0000 0.0000 0.0002 0.7904
2.3625 0.0000 0.0000 0.0000 0.0002 0.7261
2.4000 0.0000 0.0000 0.0000 0.0002 0.6554
2.4375 0.0000 0.0000 0.0000 0.0002 0.5789
2.4750 0.0000 0.0000 0.0000 0.0002 0.4976
2.5125 0.0000 0.0000 0.0000 0.0002 0.4126
2.5500 0.0000 0.0000 0.0000 0.0002 0.3249
2.5875 0.0000 0.0000 0.0000 0.0001 0.2359
2.6250 0.0000 0.0000 0.0000 0.0001 0.1465
2.6625 0.0000 0.0000 0.0000 0.0001 0.0580
2.7000 0.0000 0.0000 0.0000 0.0001 -0.0287
2.7375 0.0000 0.0000 0.0000 0.0001 -0.1125
2.7750 0.0000 0.0000 0.0000 0.0000 -0.1920
2.8125 0.0000 0.0000 0.0000 0.0000 -0.2664
2.8500 0.0000 0.0000 0.0000 -0.0000 -0.3345
2.8875 0.0000 0.0000 0.0000 -0.0000 -0.3956
2.9250 -0.0000 0.0000 -0.0000 -0.0001 -0.4489
2.9625 -0.0000 -0.0000 -0.0000 -0.0001 -0.4939
3.0000 -0.0000 -0.0000 -0.0000 -0.0001 -0.5300
3.0375 -0.0000 -0.0000 -0.0000 -0.0001 -0.5565
3.0750 -0.0000 -0.0000 -0.0000 -0.0001 -0.5732
3.1125 -0.0000 -0.0000 -0.0000 -0.0002 -0.5797
3.1500 -0.0000 -0.0000 -0.0000 -0.0002 -0.5760
3.1875 -0.0000 -0.0000 -0.0000 -0.0002 -0.5624
3.2250 -0.0000 -0.0000 -0.0000 -0.0002 -0.5389
3.2625 -0.0000 -0.0000 -0.0000 -0.0002 -0.5058
3.3000 -0.0000 -0.0000 -0.0000 -0.0002 -0.4635
3.3375 -0.0000 -0.0000 -0.0000 -0.0002 -0.4124
3.3750 -0.0000 -0.0000 -0.0000 -0.0002 -0.3533
3.4125 -0.0000 -0.0000 -0.0000 -0.0002 -0.2869
3.4500 -0.0000 -0.0000 -0.0000 -0.0002 -0.2143
3.4875 -0.0000 -0.0000 -0.0000 -0.0002 -0.1364
3.5250 -0.0000 -0.0000 -0.0000 -0.0002 -0.0540
3.5625 -0.0000 -0.0000 -0.0000 -0.0002 0.0318
3.6000 -0.0000 -0.0000 -0.0000 -0.0001 0.1199
3.6375 -0.0000 -0.0000 -0.0000 -0.0001 0.2093
3.6750 -0.0000 -0.0000 -0.0000 -0.0001 0.2986
3.7125 -0.0000 -0.0000 -0.0000 -0.0001 0.3868
3.7500 -0.0000 -0.0000 -0.0000 -0.0001 0.4726
3.7875 -0.0000 -0.0000 -0.0000 -0.0000 0.5551
3.8250 -0.0000 -0.0000 -0.0000 -0.0000 0.6333
3.8625 -0.0000 -0.0000 -0.0000 0.0000 0.7060
3.9000 -0.0000 -0.0000 -0.0000 0.0000 0.7724
3.9375 -0.0000 -0.0000 -0.0000 0.0001 0.8315
3.9750 -0.0000 -0.0000 -0.0000 0.0001 0.8825
4.0125 0.0000 -0.0000 -0.0000 0.0001 0.9248
4.0500 0.0000 -0.0000 -0.0000 0.0001 0.9581
4.0875 0.0000 -0.0000 0.0000 0.0001 0.9818
4.1250 0.0000 0.0000 0.0000 0.0002 0.9957
4.1625 0.0000 0.0000 0.0000 0.0002 0.9995
4.2000 0.0000 0.0000 0.0000 0.0002 0.9931
4.2375 0.0000 0.0000 0.0000 0.0002 0.9766
4.2750 0.0000 0.0000 0.0000 0.0002 0.9503
4.3125 0.0000 0.0000 0.0000 0.0002 0.9145
4.3500 0.0000 0.0000 0.0000 0.0002 0.8697
4.3875 0.0000 0.0000 0.0000 0.0003 0.8163
4.4250 0.0000 0.0000 0.0000 0.0003 0.7551
4.4625 0.0000 0.0000 0.0000 0.0003 0.6869
4.5000 0.0000 0.0000 0.0000 0.0003 0.6125
4.5375 0.0000 0.0000 0.0000 0.0003 0.5331
4.5750 0.0000 0.0000 0.0000 0.0002 0.4497
4.6125 0.0000 0.0000 0.0000 0.0002 0.3632
4.6500 0.0000 0.0000 0.0000 0.0002 0.2746
4.6875 0.0000 0.0000 0.0000 0.0002 0.1852
4.7250 0.0000 0.0000 0.0000 0.0002 0.0960
4.7625 0.0000 0.0000 0.0000 0.0002 0.0083
4.8000 0.0000 0.0000 0.0000 0.0002 -0.0768
4.8375 0.0000 0.0000 0.0000 0.0001 -0.1581
4.8750 0.0000 0.0000 0.0000 0.0001 -0.2347
4.9125 0.0000 0.0000 0.0000 0.0001 -0.3057
4.9500 0.0000 0.0000 0.0000 0.0001 -0.3701
4.9875 0.0000 0.0000 0.0000 0.0000 -0.4271
5.0250 0.0000 0.0000 0.0000 0.0000 -0.4758
5.0625 0.0000 0.0000 0.0000 -0.0000 -0.5156
5.1000 0.0000 0.0000 0.0000 -0.0000 -0.5460
5.1375 0.0000 0.0000 0.0000 -0.0001 -0.5668
5.1750 0.0000 0.0000 0.0000 -0.0001 -0.5778
5.2125 -0.0000 0.0000 0.0000 -0.0001 -0.5788
5.2500 -0.0000 0.0000 -0.0000 -0.0001 -0.5696
5.2875 -0.0000 0.0000 -0.0000 -0.0001 -0.5504
5.3250 -0.0000 -0.0000 -0.0000 -0.0002 -0.5213
5.3625 -0.0000 -0.0000 -0.0000 -0.0002 -0.4827
5.4000 -0.0000 -0.0000 -0.0000 -0.0002 -0.4354
5.4375 -0.0000 -0.0000 -0.0000 -0.0002 -0.3799
5.4750 -0.0000 -0.0000 -0.0000 -0.0002 -0.3168
5.5125 -0.0000 -0.0000 -0.0000 -0.0002 -0.2469
5.5500 -0.0000 -0.0000 -0.0000 -0.0002 -0.1710
5.5875 -0.0000 -0.0000 -0.0000 -0.0002 -0.0901
5.6250 -0.0000 -0.0000 -0.0000 -0.0002 -0.0055
5.6625 -0.0000 -0.0000 -0.0000 -0.0002 0.0818
5.7000 -0.0000 -0.0000 -0.0000 -0.0002 0.1706
5.7375 -0.0000 -0.0000 -0.0000 -0.0002 0.2600
5.7750 -0.0000 -0.0000 -0.0000 -0.0002 0.3487
5.8125 -0.0000 -0.0000 -0.0000 -0.0002 0.4358
5.8500 -0.0000 -0.0000 -0.0000 -0.0001 0.5200
5.8875 -0.0000 -0.0000 -0.0000 -0.0001 0.6002
5.9250 -0.0000 -0.0000 -0.0000 -0.0001 0.6753
5.9625 -0.0000 -0.0000 -0.0000 -0.0001 0.7445
6.0000 -0.0000 -0.0000 -0.0000 -0.0001 0.8067
6.0375 -0.0000 -0.0000 -0.0000 -0.0000 0.8614
6.0750 -0.0000 -0.0000 -0.0000 -0.0000 0.9078
6.1125 -0.0000 -0.0000 -0.0000 0.0000 0.9451
6.1500 -0.0000 -0.0000 -0.0000 0.0000 0.9729
6.1875 -0.0000 -0.0000 -0.0000 0.0001 0.9908
6.2250 -0.0000 -0.0000 -0.0000 0.0001 0.9988
6.2625 -0.0000 -0.0000 -0.0000 0.0001 0.9968
6.3000 -0.0000 -0.0000 -0.0000 0.0001 0.9847
6.3375 0.0000 -0.0000 -0.0000 0.0002 0.9628
6.3750 0.0000 -0.0000 -0.0000 0.0002 0.9311
6.4125 0.0000 -0.0000 0.0000 0.0002 0.8901
6.4500 0.0000 -0.0000 0.0000 0.0002 0.8403
6.4875 0.0000 0.0000 0.0000 0.0002 0.7824
6.5250 0.0000 0.0000 0.0000 0.0002 0.7173
6.5625 0.0000 0.0000 0.0000 0.0002 0.6456
