 t	 a	 b	 c	 d
2.4937 0.9977 0.9003 0.9974 0.0858
2.5137 0.9980 0.8758 0.9957 0.1018
2.5336 0.9984 0.8489 0.9937 0.1204
2.5536 0.9987 0.8196 0.9914 0.1417
2.5736 0.9989 0.7879 0.9891 0.1653
2.5935 0.9991 0.7540 0.9868 0.1911
2.6134 0.9993 0.7180 0.9845 0.2190
2.6334 0.9994 0.6800 0.9824 0.2487
2.6533 0.9995 0.6401 0.9805 0.2800
2.6733 0.9996 0.5983 0.9790 0.3127
2.6932 0.9996 0.5549 0.9777 0.3467
2.7132 0.9995 0.5099 0.9767 0.3818
2.7331 0.9995 0.4635 0.9759 0.4178
2.7531 0.9995 0.4158 0.9755 0.4544
2.7731 0.9994 0.3670 0.9752 0.4916
2.7930 0.9993 0.3172 0.9750 0.5289
2.8129 0.9993 0.2665 0.9750 0.5663
2.8329 0.9992 0.2151 0.9750 0.6035
2.8529 0.9991 0.1631 0.9751 0.6401
2.8728 0.9991 0.1108 0.9752 0.6760
2.8927 0.9990 0.0582 0.9752 0.7109
2.9127 0.9989 0.0055 0.9753 0.7446
2.9326 0.9989 -0.0472 0.9754 0.7769
2.9526 0.9988 -0.0997 0.9755 0.8077
2.9725 0.9987 -0.1518 0.9757 0.8368
2.9925 0.9986 -0.2034 0.9761 0.8639
3.0124 0.9984 -0.2544 0.9767 0.8891
3.0324 0.9983 -0.3046 0.9775 0.9120
3.0523 0.9981 -0.3539 0.9785 0.9325
3.0723 0.9979 -0.4021 0.9798 0.9505
3.0922 0.9976 -0.4490 0.9814 0.9658
3.1122 0.9974 -0.4945 0.9832 0.9783
3.1321 0.9971 -0.5386 0.9853 0.9879
3.1521 0.9968 -0.5810 0.9875 0.9946
3.1721 0.9966 -0.6217 0.9897 0.9984
3.1920 0.9963 -0.6604 0.9920 0.9992
3.2119 0.9961 -0.6973 0.9941 0.9972
3.2319 0.9960 -0.7320 0.9961 0.9923
3.2519 0.9958 -0.7646 0.9976 0.9845
3.2718 0.9957 -0.7948 0.9988 0.9740
3.2917 0.9957 -0.8227 0.9994 0.9607
3.3117 0.9957 -0.8482 0.9995 0.9447
3.3316 0.9958 -0.8711 0.9990 0.9261
3.3516 0.9960 -0.8914 0.9978 0.9050
3.3716 0.9962 -0.9090 0.9960 0.8815
3.3915 0.9965 -0.9240 0.9937 0.8557
3.4114 0.9968 -0.9362 0.9909 0.8279
3.4314 0.9971 -0.9456 0.9876 0.7982
3.4513 0.9975 -0.9522 0.9841 0.7669
3.4713 0.9979 -0.9560 0.9805 0.7340
3.4912 0.9982 -0.9570 0.9769 0.6999
3.5112 0.9986 -0.9552 0.9734 0.6648
3.5311 0.9989 -0.9505 0.9702 0.6287
3.5511 0.9992 -0.9430 0.9674 0.5920
3.5711 0.9994 -0.9327 0.9651 0.5548
3.5910 0.9996 -0.9196 0.9634 0.5173
3.6109 0.9997 -0.9037 0.9624 0.4799
3.6309 0.9997 -0.8852 0.9619 0.4426
3.6509 0.9997 -0.8640 0.9622 0.4059
3.6708 0.9997 -0.8403 0.9630 0.3699
3.6907 0.9996 -0.8140 0.9644 0.3350
3.7107 0.9995 -0.7854 0.9662 0.3013
3.7306 0.9993 -0.7543 0.9685 0.2690
3.7506 0.9992 -0.7211 0.9710 0.2384
3.7706 0.9990 -0.6857 0.9736 0.2096
3.7905 0.9988 -0.6482 0.9764 0.1826
3.8104 0.9986 -0.6088 0.9790 0.1578
3.8304 0.9984 -0.5676 0.9816 0.1351
3.8503 0.9983 -0.5246 0.9840 0.1147
3.8703 0.9982 -0.4801 0.9862 0.0968
3.8902 0.9980 -0.4341 0.9882 0.0815
3.9102 0.9980 -0.3867 0.9899 0.0690
3.9301 0.9979 -0.3382 0.9913 0.0593
3.9501 0.9978 -0.2887 0.9926 0.0526
3.9701 0.9978 -0.2382 0.9936 0.0489
3.9900 0.9977 -0.1870 0.9945 0.0481
4.0099 0.9977 -0.1353 0.9952 0.0503
4.0299 0.9977 -0.0830 0.9959 0.0555
4.0499 0.9976 -0.0305 0.9964 0.0635
4.0698 0.9976 0.0222 0.9969 0.0742
4.0897 0.9975 0.0749 0.9973 0.0877
4.1097 0.9974 0.1275 0.9977 0.1037
4.1296 0.9973 0.1798 0.9979 0.1224
4.1496 0.9972 0.2316 0.9979 0.1435
4.1696 0.9971 0.2828 0.9977 0.1670
4.1895 0.9971 0.3333 0.9973 0.1928
4.2094 0.9970 0.3828 0.9965 0.2207
4.2294 0.9969 0.4313 0.9954 0.2506
4.2493 0.9969 0.4786 0.9939 0.2822
