 t	 x	 y	 z
0.0000 0.0000 0.0000 1.0000
0.0100 0.1394 -0.0763 0.9837
0.0200 0.2766 -0.1433 0.9353
0.0300 0.4058 -0.1981 0.8569
0.0400 0.5217 -0.2384 0.7518
0.0500 0.6194 -0.2627 0.6243
0.0600 0.6948 -0.2699 0.4797
0.0700 0.7447 -0.2597 0.3239
0.0800 0.7670 -0.2327 0.1635
0.0900 0.7607 -0.1899 0.0050
0.1000 0.7261 -0.1332 -0.1449
0.1100 0.6645 -0.0649 -0.2801
0.1200 0.5783 0.0121 -0.3949
0.1300 0.4712 0.0945 -0.4846
0.1400 0.3475 0.1791 -0.5455
0.1500 0.2123 0.2623 -0.5750
0.1600 0.0712 0.3405 -0.5720
0.1700 -0.0700 0.4107 -0.5365
0.1800 -0.2055 0.4700 -0.4701
0.1900 -0.3297 0.5158 -0.3754
0.2000 -0.4374 0.5465 -0.2565
0.2100 -0.5242 0.5606 -0.1182
0.2200 -0.5865 0.5579 0.0337
0.2300 -0.6217 0.5383 0.1930
0.2400 -0.6283 0.5028 0.3530
0.2500 -0.6062 0.4529 0.5070
0.2600 -0.5561 0.3908 0.6488
0.2700 -0.4803 0.3191 0.7723
0.2800 -0.3818 0.2407 0.8726
0.2900 -0.2647 0.1591 0.9454
0.3000 -0.1339 0.0775 0.9878
0.3100 0.0051 -0.0005 0.9979
0.3200 0.1466 -0.0717 0.9753
0.3300 0.2846 -0.1333 0.9210
0.3400 0.4134 -0.1826 0.8372
0.3500 0.5276 -0.2176 0.7274
0.3600 0.6225 -0.2368 0.5961
0.3700 0.6940 -0.2396 0.4488
0.3800 0.7391 -0.2258 0.2916
0.3900 0.7559 -0.1960 0.1309
0.4000 0.7436 -0.1515 -0.0266
0.4100 0.7028 -0.0941 -0.1743
0.4200 0.6349 -0.0263 -0.3061
0.4300 0.5429 0.0491 -0.4166
0.4400 0.4304 0.1289 -0.5012
0.4500 0.3021 0.2100 -0.5565
0.4600 0.1633 0.2888 -0.5800
0.4700 0.0197 0.3623 -0.5709
0.4800 -0.1228 0.4272 -0.5295
0.4900 -0.2583 0.4811 -0.4576
0.5000 -0.3812 0.5217 -0.3582
0.5100 -0.4864 0.5474 -0.2353
0.5200 -0.5695 0.5571 -0.0941
0.5300 -0.6272 0.5506 0.0596
0.5400 -0.6569 0.5282 0.2194
0.5500 -0.6576 0.4908 0.3787
0.5600 -0.6291 0.4401 0.5308
0.5700 -0.5726 0.3783 0.6695
0.5800 -0.4906 0.3079 0.7889
0.5900 -0.3864 0.2319 0.8842
0.6000 -0.2643 0.1535 0.9514
0.6100 -0.1294 0.0759 0.9876
0.6200 0.0126 0.0025 0.9915
0.6300 0.1558 -0.0638 0.9627
0.6400 0.2943 -0.1202 0.9025
0.6500 0.4223 -0.1643 0.8134
0.6600 0.5344 -0.1944 0.6991
0.6700 0.6259 -0.2093 0.5643
0.6800 0.6930 -0.2083 0.4145
0.6900 0.7328 -0.1916 0.2560
0.7000 0.7437 -0.1598 0.0953
0.7100 0.7250 -0.1143 -0.0609
0.7200 0.6777 -0.0571 -0.2061
0.7300 0.6034 0.0096 -0.3344
0.7400 0.5054 0.0829 -0.4405
0.7500 0.3876 0.1598 -0.5199
0.7600 0.2548 0.2370 -0.5694
0.7700 0.1126 0.3115 -0.5869
0.7800 -0.0332 0.3801 -0.5718
0.7900 -0.1766 0.4401 -0.5246
0.8000 -0.3116 0.4890 -0.4473
0.8100 -0.4327 0.5248 -0.3432
0.8200 -0.5348 0.5461 -0.2165
0.8300 -0.6138 0.5521 -0.0725
0.8400 -0.6663 0.5426 0.0827
0.8500 -0.6901 0.5180 0.2428
0.8600 -0.6843 0.4795 0.4011
0.8700 -0.6492 0.4287 0.5511
0.8800 -0.5861 0.3677 0.6864
0.8900 -0.4977 0.2991 0.8016
0.9000 -0.3878 0.2259 0.8917
0.9100 -0.2608 0.1510 0.9532
0.9200 -0.1220 0.0775 0.9833
0.9300 0.0227 0.0087 0.9809
0.9400 0.1673 -0.0528 0.9460
0.9500 0.3059 -0.1044 0.8800
0.9600 0.4325 -0.1439 0.7858
0.9700 0.5419 -0.1698 0.6671
0.9800 0.6296 -0.1809 0.5289
0.9900 0.6917 -0.1769 0.3769
