 i	 j	 H	 Lc	 L0	 L1	 L2	 L3	
9.0000 6.0000 0.0000 0.7071 0.4714 0.4714 -0.2357 0.7071
10.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
11.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
12.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 6.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
18.0000 6.0000 0.0177 0.0000 0.0000 0.0000 0.0000 0.0000
19.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
20.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
21.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
22.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
23.0000 6.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
24.0000 6.0000 0.0000 -0.0000 0.1667 0.1667 -0.3333 -0.0000
25.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
26.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
27.0000 6.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
28.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
29.0000 6.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
30.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
31.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 7.0000 0.0000 -0.0000 -0.0000 -0.0000 -0.0000 0.0000
1.0000 7.0000 0.0000 -0.0000 0.0000 -0.0000 -0.0000 -0.0000
2.0000 7.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 7.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 7.0000 0.0000 -0.0000 -0.0000 -0.0000 -0.0000 0.0000
5.0000 7.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 0.0000
6.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 7.0000 0.4000 0.0000 0.0000 0.0000 0.0000 -0.0000
8.0000 7.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 0.0000
9.0000 7.0000 0.0000 -0.0000 -0.0000 -0.0000 -0.0000 0.0000
10.0000 7.0000 0.0000 0.7071 0.5442 0.6280 0.5899 -0.3479
11.0000 7.0000 0.0000 0.0000 0.3284 -0.2428 -0.0086 -0.0770
12.0000 7.0000 0.0000 -0.0000 -0.1959 -0.1365 0.3324 -0.0000
13.0000 7.0000 0.4066 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 7.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
18.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
19.0000 7.0000 0.0177 0.0000 0.0000 0.0000 0.0000 0.0000
20.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
21.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
22.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
23.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
24.0000 7.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
25.0000 7.0000 0.0000 -0.0000 0.2400 0.1672 0.2036 -0.6107
26.0000 7.0000 -0.0000 0.0000 0.0000 0.0000 -0.0000 -0.0000
27.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
28.0000 7.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
29.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
30.0000 7.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
31.0000 7.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 8.0000 -0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000
1.0000 8.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000
2.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 8.0000 0.0000 -0.0000 -0.0000 0.0000 -0.0000 -0.0000
5.0000 8.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000
6.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 8.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000
8.0000 8.0000 0.4000 0.0000 0.0000 -0.0000 0.0000 0.0000
9.0000 8.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000
10.0000 8.0000 -0.0000 -0.0000 0.3284 -0.2428 -0.0086 -0.0770
11.0000 8.0000 0.0000 0.7071 0.0450 -0.0388 0.7065 0.7015
12.0000 8.0000 0.0000 -0.0000 0.3950 -0.4193 0.0243 -0.0000
13.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 8.0000 0.4066 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 8.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 8.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
18.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
19.0000 8.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
20.0000 8.0000 0.0177 0.0000 0.0000 0.0000 0.0000 0.0000
21.0000 8.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
22.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
23.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
24.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
25.0000 8.0000 -0.0000 0.0000 -0.4838 0.5135 0.0149 -0.0446
26.0000 8.0000 -0.0000 -0.0000 -0.0000 0.0000 -0.0000 -0.0000
27.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
28.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
29.0000 8.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
30.0000 8.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
31.0000 8.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 9.0000 -0.0000 -0.0000 0.0000 -0.0000 0.0000 -0.0000
1.0000 9.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 -0.0000
2.0000 9.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 9.0000 0.0000 -0.0000 -0.0000 0.0000 -0.0000 -0.0000
5.0000 9.0000 0.0000 -0.0000 0.0000 -0.0000 -0.0000 -0.0000
6.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 9.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9.0000 9.0000 0.4000 0.0000 0.0000 0.0000 0.0000 0.0000
10.0000 9.0000 -0.0000 0.0000 -0.1959 -0.1365 0.3324 -0.0000
11.0000 9.0000 0.0000 -0.0000 0.3950 -0.4193 0.0243 -0.0000
12.0000 9.0000 0.0000 0.7071 0.4714 0.4714 -0.2357 0.7071
13.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 9.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 9.0000 0.4066 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
18.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
19.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
20.0000 9.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
21.0000 9.0000 0.0177 0.0000 0.0000 0.0000 0.0000 0.0000
22.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
23.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
24.0000 9.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
25.0000 9.0000 -0.0000 -0.0000 0.2887 0.2887 -0.5774 -0.0000
26.0000 9.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 0.0000
27.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
28.0000 9.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
29.0000 9.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
30.0000 9.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
31.0000 9.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 10.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 10.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 10.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 10.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 10.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 -0.0000
8.0000 10.0000 -0.0000 -0.0000 0.0000 0.0000 0.0000 -0.0000
9.0000 10.0000 -0.0000 -0.0000 0.0000 0.0000 0.0000 -0.0000
10.0000 10.0000 0.0750 -0.0000 0.0000 0.0000 0.0000 -0.0000
11.0000 10.0000 -0.0000 0.0000 -0.0000 -0.0000 -0.0000 0.0000
12.0000 10.0000 -0.0000 0.0000 -0.0000 -0.0000 -0.0000 0.0000
13.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 10.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
