 i	 j	 H	 Lc	 L0	 L1	 L2	 L3	
12.0000 2.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 2.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000
14.0000 2.0000 -0.0000 0.0000 -0.0000 0.0000 -0.0000 0.0000
15.0000 2.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 2.0000 -0.0000 -0.0000 0.0000 -0.0000 -0.0000 0.0000
17.0000 2.0000 0.0000 0.0000 -0.0000 0.0000 -0.0000 0.0000
18.0000 2.0000 0.0000 0.0000 0.0000 -0.0000 -0.0000 0.0000
19.0000 2.0000 0.0000 0.0000 0.5622 -0.5909 0.0800 -0.0514
20.0000 2.0000 -0.0000 -0.0000 0.0234 -0.0255 -0.7025 0.7046
21.0000 2.0000 0.0000 -0.0000 -0.4282 0.3876 0.0102 0.0305
22.0000 2.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
23.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
24.0000 2.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
25.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
26.0000 2.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
27.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
28.0000 2.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
29.0000 2.0000 -0.0000 -0.0000 -0.0000 0.0000 -0.0000 -0.0000
30.0000 2.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 -0.0000
31.0000 2.0000 0.0000 -0.0000 -0.0000 0.0000 0.0000 0.0000
0.0000 3.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 3.0000 0.0000 -0.0000 0.0000 -0.0000 0.0000 0.0000
3.0000 3.0000 -0.4000 0.0000 -0.0000 -0.0000 0.0000 0.0000
4.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 3.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
10.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
11.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
12.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 3.0000 0.0000 -0.0000 -0.0000 -0.0000 0.0000 0.0000
14.0000 3.0000 -0.0000 0.0000 -0.0000 -0.0000 0.0000 0.0000
15.0000 3.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 3.0000 -0.0000 -0.0000 0.0000 0.0000 -0.0000 -0.0000
17.0000 3.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 -0.0000
18.0000 3.0000 -0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000
19.0000 3.0000 0.0000 0.0000 0.3273 0.3370 -0.6621 -0.0022
20.0000 3.0000 -0.0000 0.0000 0.4328 -0.3844 -0.0788 0.0304
21.0000 3.0000 0.0000 0.0000 0.4534 0.4886 -0.2355 -0.7065
22.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
23.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
24.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
25.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
26.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
27.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
28.0000 3.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
29.0000 3.0000 -0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000
30.0000 3.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000
31.0000 3.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000
0.0000 4.0000 -0.0000 0.0000 -0.5622 0.5909 -0.0800 0.0514
1.0000 4.0000 -0.0000 0.0000 -0.3273 -0.3370 0.6621 0.0022
2.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 4.0000 0.7250 0.0000 0.0000 0.0000 0.0000 -0.0000
5.0000 4.0000 -0.0000 -0.0000 -0.0000 -0.0000 0.0000 0.0000
6.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 4.0000 0.0000 0.7071 0.5442 0.6280 0.5899 -0.3479
8.0000 4.0000 0.0000 -0.0000 0.3284 -0.2428 -0.0086 -0.0770
9.0000 4.0000 0.0000 0.0000 -0.1959 -0.1365 0.3324 0.0000
10.0000 4.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000
11.0000 4.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000
12.0000 4.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
13.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 4.0000 0.0177 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 4.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
18.0000 4.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
19.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
20.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
21.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
22.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
23.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
24.0000 4.0000 0.0000 -0.0000 0.1385 0.0965 0.1175 -0.3526
25.0000 4.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 -0.0000
26.0000 4.0000 0.0000 0.0000 0.0000 -0.0000 -0.0000 0.0000
27.0000 4.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
28.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
29.0000 4.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
30.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
31.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 5.0000 0.0000 -0.0000 -0.0234 0.0255 0.7025 -0.7046
1.0000 5.0000 0.0000 0.0000 -0.4328 0.3844 0.0788 -0.0304
2.0000 5.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 5.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000
5.0000 5.0000 0.7250 0.0000 0.0000 -0.0000 0.0000 -0.0000
6.0000 5.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 5.0000 -0.0000 -0.0000 0.3284 -0.2428 -0.0086 -0.0770
8.0000 5.0000 0.0000 0.7071 0.0450 -0.0388 0.7065 0.7015
9.0000 5.0000 0.0000 -0.0000 0.3950 -0.4193 0.0243 -0.0000
10.0000 5.0000 -0.0000 -0.0000 0.0000 -0.0000 0.0000 -0.0000
11.0000 5.0000 0.0000 0.0000 0.0000 -0.0000 -0.0000 0.0000
12.0000 5.0000 -0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000
13.0000 5.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
14.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
15.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
16.0000 5.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
17.0000 5.0000 0.0177 0.0000 0.0000 0.0000 0.0000 0.0000
18.0000 5.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
19.0000 5.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
20.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
21.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
22.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
23.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
24.0000 5.0000 -0.0000 0.0000 -0.2793 0.2965 0.0086 -0.0257
25.0000 5.0000 0.0000 -0.0000 -0.0000 0.0000 -0.0000 -0.0000
26.0000 5.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000
27.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
28.0000 5.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
29.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
30.0000 5.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
31.0000 5.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 6.0000 0.0000 -0.0000 0.4282 -0.3876 -0.0102 -0.0305
1.0000 6.0000 0.0000 0.0000 -0.4534 -0.4886 0.2355 0.7065
2.0000 6.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 6.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 6.0000 -0.0000 0.0000 0.0000 -0.0000 -0.0000 0.0000
6.0000 6.0000 0.7250 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 6.0000 0.0000 0.0000 -0.1959 -0.1365 0.3324 -0.0000
8.0000 6.0000 0.0000 -0.0000 0.3950 -0.4193 0.0243 -0.0000
