t,a,b,c,d,e,f,g,h,i,l,m,n,o,p,q,r
0.01,0.08086518462961023,0.06472911583941367,0.03392607061780025,0.05847523383438007,0.08564208678602954,0.05675342553550534,0.10117597327068437,0.05552621631818737,0.06820033189043088,0.04928222844700334,0.03723593765333942,0.022983368899351986,0.10323691262982648,0.06640787381658142,0.06603726342499777,0.049522776406857906
0.011,0.06586477937219251,0.06754735521741652,0.025874919695776866,0.05768077545633692,0.08906316198619599,0.07358324224803074,0.09956416475088016,0.06858723762877336,0.052176657553966395,0.04862204021238346,0.026781510658948206,0.021480975504305094,0.10163366974716133,0.0818666916647687,0.06151979006841485,0.05815302823444892
0.012,0.0812953074650299,0.07906938616642492,0.026421953697039327,0.05568045571021371,0.10468740062488993,0.08190484991677348,0.09667885288559698,0.06277420736976977,0.05432591142229847,0.047748245693736674,0.02280897509623196,0.017146984050234813,0.10038343859475578,0.07608065997666197,0.049361762225580426,0.04363160910476189
0.013000000000000001,0.08455076630533101,0.07096731829834943,0.022883288403284255,0.04108850960154104,0.11275011521323676,0.0763139743201271,0.08727960100631815,0.04839737889786678,0.06571986210140277,0.05037158456217505,0.02343344811880068,0.015176260226377795,0.12548533662464018,0.08304883374305691,0.05248087554208821,0.04005284703540403
0.014,0.09696893532637031,0.06900273812295507,0.022217593736042915,0.033370654740499904,0.11446629449199851,0.06494414073883777,0.07444151762797523,0.034063633252106484,0.08487564332774317,0.05565396664570261,0.02601817348856984,0.014236152306624967,0.14455276803399733,0.08099333264077467,0.05142563022012685,0.03276882529967447
0.015,0.09112715962996701,0.06082424856948439,0.022388958169821584,0.03164693408547476,0.1227836123145828,0.06557491185911614,0.08546568330094179,0.03693199835695677,0.07695300926017731,0.04722039825978416,0.02546453522230301,0.013079568373881918,0.14999727909700042,0.07892216637449058,0.05725304227318071,0.0343664948528368
0.016,0.09913213138253513,0.05798169298395321,0.026966218316609027,0.033661278282596956,0.12498245524158208,0.058182216310334135,0.09690232655463911,0.036815190195020255,0.07877411798940485,0.04212975307714605,0.029099816111615138,0.013134484449205786,0.1434311346048402,0.06539158714709406,0.06126141351835262,0.03215418383507145
0.017,0.09336822568438573,0.04096378460184376,0.03006461345941928,0.028884870188361944,0.11961638478350883,0.04184374867245236,0.1099005261756558,0.03220535595831612,0.08675206535720559,0.03557391981647536,0.037646518486464296,0.013323818252072676,0.16037207841151155,0.056126213500229075,0.0802777677173267,0.03308010893477095
0.018000000000000002,0.08226036951924968,0.04915351378146494,0.033981504019662837,0.04301165136675888,0.07582500778290134,0.03796507747040928,0.09342538785555761,0.03749678894346796,0.09481659247465428,0.05135279455601538,0.051763707530754516,0.023534811865452376,0.13083195227481137,0.06292599725516089,0.08512341562770606,0.04653142767597252
0.019,0.08899099566104542,0.058384349047585014,0.033071257244447615,0.0462410351519839,0.06580375493371018,0.036543167582144,0.07221495351391288,0.03238486525510574,0.11119951519299548,0.06581444390477968,0.055101962691875055,0.027513424219869423,0.12430121255729493,0.06590842482341128,0.07253361288566072,0.04399302533417871
0.02,0.09322175374471872,0.06475859161756428,0.032533177779614716,0.04830430866101418,0.05582586357495784,0.03302000846472052,0.05725551176607049,0.027447851813376185,0.12788539105882313,0.0798552444177903,0.059940353419194854,0.03164414095274474,0.1170246495294965,0.06576313479940946,0.06415624384016022,0.04136377456034383
0.021,0.07464967792369528,0.057245207932351314,0.03243145411711751,0.05268088750174813,0.04648506841144063,0.030287281681461532,0.05921224360761638,0.03101303897378753,0.11822533334552249,0.08086201277163262,0.06827149018296708,0.03915660408176845,0.11226958324636215,0.06891548232243376,0.07550625713512535,0.05278837676496979
0.022,0.09388676327729319,0.05601523930404761,0.034752386586209175,0.043010736116658614,0.05588329726970499,0.028151373019899388,0.06053068352745594,0.0239858625665454,0.1388594100811723,0.07312293875018014,0.06821797839184507,0.029443044403860343,0.12593082296640376,0.05906487433838208,0.07172793635978614,0.03741665304055573
0.023,0.0819748296918611,0.05167771139486412,0.027140844750954986,0.035635793359477294,0.041910926404689575,0.02239664062330244,0.040311982104404925,0.01703811543088958,0.16904121094959276,0.09317905166829399,0.07587836052334528,0.034379151302845835,0.13496676077448563,0.0663917537906909,0.06976703481569882,0.038309832414602896
0.024,0.07764012313878003,0.046425708209798945,0.020023346119423083,0.024787686299442127,0.04033027530754054,0.020442923664902066,0.030322613153439534,0.012099310252668872,0.19462504821957716,0.1021431216914213,0.07003014148811942,0.03006499277900741,0.15774686537374674,0.07383712581197656,0.06543675876632125,0.0340439597238351
0.025,0.08207435502120941,0.04859722397453345,0.02236051197483027,0.027440988067762722,0.039848147701581904,0.01998034661521944,0.03174517122465852,0.012563810544716017,0.1946453181903276,0.10097424886632313,0.07440575374842767,0.03162271145640604,0.1472701155696003,0.06804197859428106,0.06498573157722652,0.0334435868728959
0.026000000000000002,0.10653509974702609,0.06142756070974309,0.027391165728423244,0.03273262944653296,0.03718438278889231,0.018059069218082358,0.027691476140632967,0.010630732118518227,0.2185277755573435,0.110023087444922,0.07879317082077213,0.03250803971220686,0.11575580774068564,0.051540681000528686,0.04758344132494439,0.023615880500745586
0.027,0.10578401000545663,0.056223936802748765,0.02550120369037229,0.028029087133279316,0.034673635003689834,0.015478485488866793,0.024165471705043417,0.008527765906314152,0.24019017468064532,0.11180591115988993,0.0817466380227874,0.031140489920102123,0.11992916568928697,0.04918066979708307,0.04641682391789233,0.021206531076541524
0.028,0.10181995928477611,0.05735534772772194,0.02773439186283568,0.03220965390597439,0.03282497132103116,0.015533675805694978,0.025873052084134502,0.009673738094070706,0.2278366320556753,0.1123090345954923,0.08799784170116738,0.03541365069003269,0.11194130595603198,0.04856212101982659,0.04917694973408298,0.023737674161451214
0.029,0.11498930108923242,0.06540111811879881,0.02597045277614108,0.030497382823822774,0.03797958083599147,0.018143408678125757,0.024879833717556955,0.00942622681130502,0.2287463431113067,0.11378254306548295,0.07266541946202881,0.02957058976233143,0.11537596328893206,0.050428245073597604,0.0417683757835803,0.020375215601766007
0.03,0.14043850441140346,0.0760008946271047,0.027885175041891076,0.03106374718049051,0.043193339556035826,0.01959540700699213,0.02475673788808179,0.008901983940338058,0.23054807743318276,0.10844088592968908,0.06376606794146289,0.02446757122561135,0.10754508400843217,0.044278232085483094,0.03367563795182987,0.015442653771971196
0.031,0.1202776589122656,0.08161016654539278,0.026032026448747064,0.036034946728483064,0.036889394474376065,0.020989052783136224,0.02304658039730411,0.0103302760976172,0.21648667497198437,0.126325731922606,0.06524674117605754,0.03082547835850541,0.1007605282181325,0.051394388158581966,0.03435512804792588,0.019395226758884214
0.032,0.09559689987914402,0.08898373281540237,0.022249729817190193,0.04183032734232332,0.028331894199452947,0.02222909490991407,0.01905857399009138,0.011686808185773955,0.19935216922284815,0.156158417616705,0.06452147567123628,0.0405650620278927,0.0899213365371966,0.06174267319481133,0.032935186876863524,0.0248366177131542
0.033,0.09250528902462786,0.08996486243058222,0.02284381516000386,0.04485659572919859,0.02900642954374454,0.023756628306059582,0.020673101255216205,0.013254063058352038,0.18722127306264577,0.15320090104842432,0.064605172694805,0.04240674644302235,0.08946738573458408,0.06399142907350075,0.034850374057369536,0.027395933377863408
0.034,0.10516497447383877,0.11372695215917313,0.020798272721899835,0.046009814452261676,0.03223023372318266,0.029396449447453076,0.018353412185143192,0.013303294494188357,0.17728811356502616,0.1627899136444121,0.048116241867831304,0.03597881161030367,0.08266161516216211,0.06633551790689608,0.02522610101535276,0.022620281570875242
0.035,0.11047345194313858,0.11816905020804047,0.022213406278091256,0.04865547236740189,0.02881361601040739,0.025981438242545684,0.016713583528233735,0.01201420012349948,0.18507785363262647,0.16798318470956164,0.05127482070081407,0.03792837652897494,0.07343158607150539,0.05808957304214244,0.02289705579815043,0.020283330814866125
0.036000000000000004,0.12197944305072561,0.14419185646113283,0.026566165457646933,0.06411253915191578,0.029991363221381052,0.029988876008664195,0.018890220584856815,0.015039085320566097,0.1557235430051189,0.15832235115304888,0.04746220723593517,0.0391499148747052,0.05776253665165958,0.05127427969565472,0.019863753248503938,0.01968186487848426
