 x	 y	 z
0.0149 -0.1493 -0.3140
0.0003 -0.1407 -0.3163
-0.0143 -0.1323 -0.3175
-0.0290 -0.1239 -0.3177
-0.0436 -0.1157 -0.3169
-0.0581 -0.1076 -0.3151
-0.0726 -0.0996 -0.3124
-0.0868 -0.0919 -0.3086
-0.1008 -0.0844 -0.3039
-0.1145 -0.0771 -0.2984
-0.1280 -0.0701 -0.2919
-0.1410 -0.0634 -0.2846
-0.1537 -0.0570 -0.2766
-0.1659 -0.0509 -0.2677
-0.1776 -0.0451 -0.2581
-0.1888 -0.0397 -0.2479
-0.1995 -0.0347 -0.2370
-0.2096 -0.0300 -0.2255
-0.2190 -0.0258 -0.2134
-0.2279 -0.0219 -0.2009
-0.2361 -0.0185 -0.1879
-0.2436 -0.0154 -0.1746
-0.2503 -0.0128 -0.1609
-0.2564 -0.0106 -0.1469
-0.2618 -0.0088 -0.1327
-0.2664 -0.0075 -0.1183
-0.2702 -0.0065 -0.1037
-0.2733 -0.0060 -0.0891
-0.2757 -0.0059 -0.0745
-0.2773 -0.0061 -0.0599
-0.2781 -0.0068 -0.0454
-0.2782 -0.0079 -0.0310
-0.2776 -0.0093 -0.0168
-0.2762 -0.0111 -0.0028
-0.2741 -0.0132 0.0109
-0.2714 -0.0157 0.0243
-0.2679 -0.0185 0.0373
-0.2638 -0.0216 0.0499
-0.2590 -0.0250 0.0621
-0.2537 -0.0286 0.0738
