 x	 y	 z
0.0000 0.0000 1.0000
0.0479 -0.0303 0.9852
0.0945 -0.0601 0.9675
0.1398 -0.0893 0.9471
0.1837 -0.1179 0.9240
0.2261 -0.1457 0.8984
0.2669 -0.1728 0.8705
0.3059 -0.1990 0.8402
0.3431 -0.2243 0.8079
0.3785 -0.2486 0.7735
0.4119 -0.2719 0.7373
0.4433 -0.2941 0.6994
0.4726 -0.3152 0.6600
0.4998 -0.3351 0.6191
0.5248 -0.3539 0.5770
0.5477 -0.3714 0.5338
0.5683 -0.3876 0.4896
0.5867 -0.4025 0.4446
0.6028 -0.4162 0.3989
0.6166 -0.4285 0.3527
0.6282 -0.4394 0.3062
0.6375 -0.4490 0.2594
0.6446 -0.4573 0.2125
0.6494 -0.4642 0.1657
0.6521 -0.4698 0.1191
0.6525 -0.4740 0.0729
0.6508 -0.4768 0.0271
0.6470 -0.4784 -0.0181
0.6411 -0.4787 -0.0626
0.6333 -0.4777 -0.1062
0.6234 -0.4754 -0.1489
0.6117 -0.4720 -0.1905
0.5981 -0.4673 -0.2309
0.5828 -0.4615 -0.2700
0.5658 -0.4546 -0.3078
0.5472 -0.4467 -0.3441
0.5271 -0.4377 -0.3788
0.5054 -0.4278 -0.4120
0.4825 -0.4169 -0.4434
0.4582 -0.4052 -0.4730
0.4328 -0.3926 -0.5009
0.4063 -0.3793 -0.5268
0.3787 -0.3653 -0.5508
0.3503 -0.3507 -0.5728
0.3210 -0.3354 -0.5928
0.2910 -0.3197 -0.6108
0.2605 -0.3034 -0.6267
0.2293 -0.2868 -0.6405
0.1978 -0.2699 -0.6522
0.1660 -0.2527 -0.6619
0.1339 -0.2352 -0.6694
0.1017 -0.2176 -0.6749
0.0694 -0.2000 -0.6782
0.0373 -0.1823 -0.6796
0.0052 -0.1646 -0.6789
-0.0266 -0.1470 -0.6762
-0.0580 -0.1296 -0.6715
-0.0890 -0.1124 -0.6649
-0.1196 -0.0955 -0.6565
-0.1495 -0.0789 -0.6462
-0.1788 -0.0626 -0.6342
-0.2073 -0.0468 -0.6205
-0.2350 -0.0314 -0.6051
-0.2618 -0.0166 -0.5882
-0.2876 -0.0023 -0.5698
-0.3125 0.0114 -0.5500
-0.3362 0.0244 -0.5288
-0.3589 0.0368 -0.5064
-0.3803 0.0485 -0.4829
-0.4005 0.0594 -0.4582
-0.4195 0.0696 -0.4326
-0.4371 0.0790 -0.4061
-0.4534 0.0876 -0.3787
-0.4683 0.0953 -0.3507
-0.4818 0.1022 -0.3221
-0.4939 0.1083 -0.2929
-0.5045 0.1134 -0.2634
-0.5137 0.1178 -0.2335
-0.5214 0.1212 -0.2034
-0.5276 0.1238 -0.1732
-0.5324 0.1255 -0.1429
-0.5358 0.1263 -0.1127
-0.5376 0.1263 -0.0827
-0.5381 0.1254 -0.0529
-0.5371 0.1237 -0.0235
-0.5347 0.1211 0.0055
-0.5310 0.1178 0.0340
-0.5259 0.1137 0.0619
-0.5195 0.1089 0.0891
-0.5118 0.1033 0.1156
-0.5029 0.0970 0.1412
-0.4929 0.0901 0.1659
-0.4816 0.0825 0.1897
-0.4693 0.0744 0.2124
-0.4560 0.0656 0.2341
-0.4416 0.0564 0.2546
-0.4264 0.0466 0.2739
-0.4103 0.0364 0.2920
-0.3934 0.0258 0.3088
-0.3757 0.0149 0.3243
-0.3573 0.0036 0.3384
-0.3384 -0.0080 0.3511
-0.3189 -0.0198 0.3625
-0.2989 -0.0318 0.3724
-0.2786 -0.0440 0.3809
-0.2579 -0.0563 0.3879
-0.2369 -0.0686 0.3935
-0.2157 -0.0810 0.3977
-0.1945 -0.0933 0.4004
-0.1731 -0.1056 0.4016
-0.1518 -0.1177 0.4015
-0.1305 -0.1298 0.3999
-0.1094 -0.1416 0.3970
-0.0886 -0.1532 0.3927
-0.0679 -0.1646 0.3871
-0.0477 -0.1756 0.3802
-0.0278 -0.1864 0.3721
-0.0084 -0.1967 0.3627
0.0105 -0.2067 0.3522
0.0288 -0.2162 0.3406
0.0465 -0.2254 0.3279
0.0635 -0.2340 0.3143
0.0798 -0.2421 0.2996
0.0954 -0.2497 0.2841
0.1101 -0.2568 0.2678
0.1240 -0.2633 0.2507
0.1370 -0.2692 0.2329
0.1491 -0.2746 0.2145
0.1603 -0.2793 0.1956
0.1705 -0.2835 0.1761
0.1797 -0.2870 0.1563
0.1879 -0.2900 0.1360
0.1951 -0.2923 0.1156
0.2013 -0.2940 0.0949
0.2065 -0.2951 0.0741
0.2106 -0.2955 0.0532
0.2137 -0.2954 0.0324
0.2157 -0.2947 0.0116
0.2167 -0.2934 -0.0090
0.2167 -0.2915 -0.0294
0.2157 -0.2890 -0.0495
0.2137 -0.2861 -0.0692
0.2107 -0.2826 -0.0886
0.2068 -0.2786 -0.1074
0.2020 -0.2741 -0.1258
0.1963 -0.2691 -0.1435
0.1897 -0.2637 -0.1606
0.1822 -0.2579 -0.1770
0.1740 -0.2517 -0.1927
0.1651 -0.2452 -0.2076
0.1554 -0.2383 -0.2217
0.1450 -0.2311 -0.2349
0.1341 -0.2237 -0.2472
0.1225 -0.2160 -0.2586
0.1104 -0.2081 -0.2691
0.0978 -0.2000 -0.2786
0.0848 -0.1917 -0.2870
0.0714 -0.1833 -0.2945
0.0576 -0.1749 -0.3009
0.0436 -0.1664 -0.3063
0.0293 -0.1578 -0.3107
