T,M,a,b,c,d,e,f,g,h,i,j
0.05,0.05959621494973337,0.048479334764579995,0.04711416661546636,0.0561758194373429,0.06967314298339772,0.04919544337634635,0.06263510682172801,0.05134313263399559,0.08039157901858501,0.05531345070920901,0.07564097313668267
0.051000000000000004,0.059505183004287074,0.04842516974578426,0.04704473294492667,0.05633645518037578,0.06970085562880052,0.049192614072408325,0.06268373969946905,0.051182562669687515,0.07990064225892757,0.05538576571357201,0.07519929212891907
0.052000000000000005,0.059473027167035564,0.04849480711767007,0.04713460981776907,0.05593342072787155,0.06952675266614566,0.049201099025992234,0.062350417564849714,0.05134788940189039,0.08012641364441364,0.05518503205802827,0.07542982964572509
0.053,0.059441644333727194,0.04859446210009016,0.04721915562551676,0.05548891537596823,0.06929412953548697,0.0492366523620128,0.061990673011161845,0.05153976233326585,0.08034861216057865,0.05502803208667739,0.07567604874651324
0.054,0.059501201586305674,0.04889721401512093,0.047421124816544036,0.0547073027608293,0.06885531388840749,0.049438338523764946,0.06142167444155666,0.05202888731420563,0.08094888337181211,0.05495177260396672,0.07634150412684887
0.055,0.05942776830218732,0.04834448848908496,0.04721402815268266,0.05639637855950219,0.06999001465018895,0.04922193741150477,0.062441278415852175,0.05121595918191668,0.07947736634788616,0.055183685262651216,0.07479254655060336
0.056,0.05932660931642405,0.04832101594448274,0.04717949598898735,0.05623877906054997,0.06986098268899327,0.04918569923666061,0.06226620704769903,0.051181293154939245,0.07929847017433667,0.0550877097199155,0.07464644014767619
0.057,0.059234860145693256,0.04829603205650901,0.047136667636681506,0.05617217022022081,0.06977574217431931,0.04916362552160619,0.0621577220254641,0.05111822312671799,0.07904746850528505,0.05504398238386726,0.07443696780626136
0.058,0.0590512039870049,0.04824698964037072,0.04709734469953125,0.055540627891191297,0.06936957566799828,0.04903987720699948,0.061619091484941935,0.05120227947632183,0.07915570012507561,0.054689442130882726,0.07455111154673583
0.059000000000000004,0.06024160256486734,0.04919163724393427,0.04777120637505039,0.059144256256582706,0.07166488050738834,0.050451144633625766,0.06436427500136321,0.05116406089839254,0.07771085479180267,0.057422469370203955,0.07353124057032956
0.06,0.059986127899808464,0.048841105818362096,0.047719617356120125,0.05861919331737797,0.07149630722650624,0.050152790367857136,0.06383846085871203,0.051120905372734726,0.07779091031929408,0.056754246744024406,0.07352774161709585
0.061,0.06011054506931559,0.04923601803575245,0.04774103649423095,0.05903787057012155,0.07152632291355054,0.0504593529457702,0.06419636310207355,0.05105703502169079,0.07726025588138635,0.05739535154053399,0.07319584418804553
0.062,0.05983482386774323,0.04886457729090632,0.047668254827323286,0.058510283849217026,0.07133482230554855,0.05015163710663406,0.06366024725353125,0.05099403643802658,0.07728905767277405,0.05672655533526261,0.07314876659820857
0.063,0.06044517414654145,0.050207007377601864,0.04784879100435446,0.05991165946516841,0.07160895208632811,0.05113608604667008,0.06496213976258325,0.05099629650138504,0.07631952683218396,0.058789090816681044,0.07267219157245824
