t,e0,e1,e2,e3,e4,b0,b1,b2,b3,b4
0.0,0.8310810950908223,0.8310810950908223,0.8310810950908223,0.8310810950908223,0.8310810950908223,1.0,1.0,1.0,1.0,1.0
0.01,0.7507600260199345,0.749082244302681,0.7469929940414091,0.7305930740308137,0.7108548525655032,0.9999683892768454,0.9998419563762891,0.9996839377303655,0.9984206872897284,0.9968438688080937
0.02,0.6805722981679732,0.6775409985729066,0.6737807304019662,0.6448173447028611,0.6112471577899816,0.9999367795529287,0.9996839377303653,0.9993679753560892,0.9968438688080937,0.993697698780288
0.03,0.6190683804445576,0.6149464708296855,0.6098530387436657,0.5713567531262674,0.5283853384710506,0.9999051708282182,0.9995259440582809,0.999052112845598,0.9952695406159289,0.990561458477842
0.04,0.5650353709493282,0.5600362739124171,0.5538829440638056,0.5082500692007614,0.4591972908816242,0.9998735631026823,0.999367975356089,0.9987363501673289,0.993697698780288,0.9874351165612401
0.05,0.5174482161793567,0.511745199789153,0.504753040689472,0.45387802546335315,0.4012213609824754,0.9998419563762895,0.9992100316198431,0.9984206872897284,0.9921283393744368,0.9843186417898775
0.06,0.475431596816558,0.46916546038122503,0.4615134893691364,0.4068936645592491,0.35246711230636585,0.9998103506490081,0.9990521128455977,0.9981051241812535,0.9905614584778422,0.9812120030217497
0.07,0.43822984908581475,0.43151543446938956,0.42334912918901,0.36616841013809265,0.31131006874415795,0.9997787459208067,0.9988942190294077,0.997789660810371,0.988997052176163,0.9781151692131399
0.08,0.4051844615317196,0.3981160699597185,0.38955437724560693,0.33074924485729496,0.2764126228916341,0.9997471421916535,0.9987363501673284,0.9974742971455574,0.9874351165612401,0.9750281094183096
0.09,0.3757196788360665,0.36837526684900407,0.3595159994341968,0.2998256839178748,0.24666760289065318,0.9997155394615171,0.9985785062554163,0.9971590331552994,0.9858756477310865,0.9719507927891892
0.1,0.3493355325762215,0.3417797262055331,0.3327034443745124,0.27270764449568285,0.22116216656173537,0.9996839377303659,0.998420687289728,0.9968438688080937,0.9843186417898776,0.9688831885750692
0.11,0.32560466021895706,0.3178909436683607,0.30866379371479286,0.2488127961173348,0.19915453318676823,0.9996523369981682,0.9982628932663208,0.9965288040724469,0.9827640948479417,0.9658252661222938
0.12,0.30416808100751513,0.2963405884355387,0.28701661878225415,0.22765697538049418,0.18029959252708438,0.9996207372648925,0.998105124181253,0.9962138389168756,0.9812120030217498,0.9627769948739541
0.13,0.28472754865459854,0.2768227338367533,0.26744598790023444,0.20884218130307708,0.16393218747154806,0.9995891385305073,0.997947380030583,0.9958989733099062,0.9796623624339066,0.9597383443695827
0.14,0.2670352473297395,0.2590835573999503,0.24969009616995014,0.1920421693575265,0.14955209617879334,0.9995575407949809,0.9977896608103702,0.9955842072200751,0.97811516921314,0.9567092842448494
0.15,0.2510718542091943,0.2430544134781532,0.23362022279012035,0.17699201254908584,0.13684257595808863,0.9995259440582818,0.9976319665166746,0.9952695406159289,0.9765704194942924,0.9536897842312579
0.16,0.23643999889436415,0.2284216578003892,0.21902471511987037,0.1636581390304152,0.12557297328137906,0.9994943483203783,0.9974742971455566,0.9949549734660237,0.9750281094183099,0.9506798141558432
0.17,0.2229797551881297,0.21497986285674822,0.20564247240855038,0.15163372651845575,0.11557277793362795,0.999462753581239,0.9973166526930772,0.9946405057389258,0.9734882351322335,0.9476793439408704
0.18,0.21056883879953317,0.20260354160986377,0.19334387750905732,0.1407519098790879,0.10660243323670604,0.9994311598408323,0.9971590331552985,0.9943261374032115,0.9719507927891894,0.9446883436035334
0.19,0.1990998770112781,0.19118263712902706,0.18201541051226347,0.13087075739709012,0.09852666782923733,0.9993995670991265,0.9970014385282826,0.9940118684274668,0.9704157785483789,0.941706783255656
0.2,0.18847736692525488,0.18061946026472894,0.17155660289783337,0.12187006043010482,0.09123131239639538,0.9993679753560901,0.9968438688080927,0.993697698780288,0.9688831885750694,0.9387346331033931
0.21,0.17861591424265488,0.1708268646059075,0.16187815750757545,0.11364770357271203,0.08461965752848162,0.9993363846116916,0.9966863239907924,0.9933836284302808,0.9673530190405843,0.9357718634469329
0.22,0.16943944990509194,0.16172736770637625,0.1529009355346791,0.10611647461779652,0.0786095062436949,0.9993047948658993,0.9965288040724458,0.9930696573460613,0.965825266122294,0.9328184446801997
0.23,0.1608807898166725,0.15325261986261152,0.1445552709328538,0.099263347214557,0.07313060677855722,0.9992732061186818,0.9963713090491181,0.9927557854962553,0.9642999260036057,0.9298743472905591
0.24,0.15288104533356608,0.14534274883023723,0.13678019665246738,0.09295527822766667,0.06812247408659125,0.9992416183700074,0.9962138389168744,0.9924420128494986,0.9627769948739543,0.9269395418585219
0.25,0.14538877575826886,0.13794546999979046,0.12952248458856297,0.08713072795855333,0.0635326954445678,0.9992100316198446,0.9960563936717811,0.9921283393744367,0.9612564689287929,0.924013999057451
0.26,0.1383590110224049,0.1310150813625161,0.1227356038997035,0.08174125747264807,0.059315713241574225,0.9991784458681617,0.995898973309905,0.9918147650397252,0.9597383443695829,0.9210976896532677
0.27,0.13175229595289464,0.12451148820224531,0.1163787260750088,0.07674512335293049,0.0554319409669594,0.9991468611149275,0.9957415778273131,0.9915012898140297,0.9582226174037851,0.9181905845041602
0.28,0.1255338420616258,0.11839934014369154,0.11041584959658796,0.07210598788235853,0.05184703501763066,0.99911527736011,0.9955842072200738,0.9911879136660255,0.9567092842448496,0.915292654560292
0.29,0.11967281216661906,0.11264730421284538,0.10481506354195283,0.0677919480753445,0.048531218146543494,0.9990836946036779,0.9954268614842554,0.9908746365643979,0.9551983411122069,0.9124038708635116
0.3,0.11414173061048277,0.10722746573221953,0.09954794036317757,0.06377479460898855,0.045458635802419975,0.9990521128455995,0.9952695406159273,0.990561458477842,0.9536897842312582,0.9095242045470633
0.31,0.10891600017678928,0.102114837547894,0.09463351322303558,0.06002943290659808,0.042606765068522026,0.9990205320858433,0.9951122446111594,0.990248379375063,0.9521836098333656,0.9066536268352986
0.32,0.10397350552480561,0.09728695700618074,0.09000284373171627,0.056533423385249096,0.039955895250615214,0.9989889523243778,0.994954973466022,0.9899353992247758,0.9506798141558436,0.9037921090433887
0.33,0.09929428554373754,0.09272355281048239,0.08563062423397631,0.05326661357213909,0.037488686186277105,0.9989573735611714,0.9947977271765863,0.9896225179957052,0.9491783934419487,0.9009396225770382
0.34,0.09486026043917628,0.08840626738732196,0.08149868097100477,0.05021084286022054,0.03518979993621566,0.9989257957961926,0.994640505738924,0.9893097356565861,0.9476793439408707,0.8980961389321985
0.35000000000000003,0.09065500247715,0.08433494768706576,0.07759057624806869,0.04734970414149872,0.03304559657642678,0.9988942190294097,0.9944833091491075,0.9889970521761628,0.946182661907723,0.8952616296947841
0.36,0.0866635418308937,0.080490690375681,0.07389138445193945,0.044668348227866174,0.031043883708055952,0.9988626432607912,0.9943261374032097,0.9886844675231902,0.9446883436035337,0.8924360665403875
0.37,0.08287220091810052,0.07684271431478606,0.0703875052778924,0.04215331884978182,0.029173710065378368,0.9988310684903057,0.9941689904973041,0.9883719816664324,0.9431963852952353,0.8896194212339973
0.38,0.07926845208603521,0.07337870572632778,0.06706650671301159,0.03979240882594061,0.027425194998424635,0.9987994947179214,0.994011868427465,0.9880595945746636,0.9417067832556564,0.886811665629715
0.39,0.075840794608913,0.07008738156007037,0.06391699192399201,0.03757453127029795,0.025789387052436365,0.998767921943607,0.9938547711897672,0.9877473062166682,0.9402195337635118,0.8840127716704748
0.4,0.07259739474099443,0.06695837375434566,0.060928485513039324,0.035489602580128156,0.024258146146199755,0.9987363501673308,0.993697698780286,0.98743511656124,0.9387346331033934,0.8812227113877621
0.41000000000000003,0.06951172819339568,0.0639821303707721,0.05809133562500585,0.03352843586915674,0.02282404491717686,0.9987047793890612,0.9935406511950977,0.9871230255771828,0.9372520775657612,0.878441456901335
0.42,0.0665706100517964,0.06114983046965598,0.055396629160770657,0.03168264443474861,0.02148028566755757,0.9986732096087668,0.9933836284302788,0.9868110332333103,0.9357718634469332,0.8756689804189451
0.43,0.06376596034232043,0.05845331029487075,0.052836117932495916,0.029944555070092728,0.02022063004312834,0.9986416408264159,0.9932266304819066,0.9864991394984461,0.934293987049077,0.8729052542360601
0.44,0.06109027939282212,0.055884998862515134,0.050402154034355315,0.028307130903236152,0.0190393391376711,0.9986100730419771,0.9930696573460592,0.9861873443414237,0.9328184446802001,0.8701502507355868
0.45,0.05853659017471863,0.05343786144161701,0.04808763303530632,0.026763903221329335,0.017931122166339856,0.9985785062554189,0.992912709018815,0.9858756477310863,0.9313452326541409,0.8674039423875952
0.46,0.056098387944184744,0.05110534971322227,0.04588594385635342,0.025308911553600162,0.0168910922139187,0.9985469404667096,0.9927557854962531,0.985564049636287,0.9298743472905595,0.8646663017490432
0.47000000000000003,0.053769596421599467,0.04888135762310002,0.04379092439378454,0.02393665118343391,0.015914727855355346,0.9985153756758176,0.9925988867744534,0.9852525500258887,0.9284057849149281,0.8619373014635029
0.48,0.05154452989159586,0.0467601821226091,0.04179682210664261,0.022642027234343432,0.014997839680079159,0.9984838118827115,0.9924420128494962,0.9849411488687643,0.9269395418585223,0.8592169142608864
0.49,0.04941786061252204,0.0447364881362637,0.039898258911760937,0.021420314505374453,0.014136540938881217,0.9984522490873597,0.9922851637174627,0.9846298461337963,0.9254756144584119,0.8565051129571742
0.5,0.04738459083499623,0.04280527721331663,0.03809019983068065,0.020267122296181224,0.013327935572837755,0.9984206872897308,0.9921283393744342,0.9843186417898774,0.9240139990574513,0.8538018704541429
0.51,0.045440028618519826,0.04096185942093154,0.036367924915277156,0.01917836354292601,0.012569807784023338,0.998389126489793,0.9919715398164933,0.9840075358059097,0.9225546920042711,0.8511071597390947
0.52,0.04357976658309881,0.03920182812170254,0.034727004047089255,0.018150227671363157,0.011856803769462819,0.9983575666875151,0.9918147650397227,0.9836965281508054,0.9210976896532681,0.8484209538845874
0.53,0.04179966278866888,0.03752128541561044,0.03316930000429392,0.017179156655774488,0.01118605084586546,0.9983260078828653,0.9916580150402059,0.9833856187934864,0.919642988364597,0.8457432260481654
