t,e0,e1,e2,b0,b1,b2
0.009,9.497587357381728e-10,2.3743145739040448e-08,9.496836528199107e-08,6.480438595249219e-07,1.6201096488123053e-05,6.480438595249221e-05
0.0093,1.013793973761602e-09,2.534391053687294e-08,1.0137082628563102e-07,6.919668322260555e-07,1.729917080565139e-05,6.919668322260556e-05
0.0096,1.0798885311663775e-09,2.6996144989872393e-08,1.0797910458645652e-07,7.373299023928001e-07,1.8433247559820006e-05,7.373299023928002e-05
0.0099,1.1480388633742699e-09,2.8699762191021645e-08,1.1479284878320464e-07,7.841330700251556e-07,1.9603326750628896e-05,7.841330700251558e-05
0.0102,1.218241510949611e-09,3.045467331421219e-08,1.2181169934912864e-07,8.32376335123122e-07,2.0809408378078055e-05,8.323763351231222e-05
0.0105,1.2904928790323707e-09,3.226078748288104e-08,1.2903528859136805e-07,8.820596976866995e-07,2.205149244216749e-05,8.820596976866996e-05
0.0108,1.364789214026119e-09,3.411801187615953e-08,1.364632407495683e-07,9.331831577158877e-07,2.33295789428972e-05,9.33183157715888e-05
0.011099999999999999,1.4411268415984421e-09,3.6026251613481484e-08,1.4409517196880484e-07,9.857467152106866e-07,2.464366788026717e-05,9.857467152106869e-05
0.011399999999999999,1.5195018676537074e-09,3.798540985788285e-08,1.5193069038632725e-07,1.039750370171097e-06,2.5993759254277427e-05,0.00010397503701710971
0.0117,1.599910423775362e-09,3.9995387873503914e-08,1.5996939612068616e-07,1.0951941225971182e-06,2.737985306492796e-05,0.00010951941225971183
0.012,1.6823484708664066e-09,4.2056084890187353e-08,1.6821088136907313e-07,1.1520779724887502e-06,2.8801949312218757e-05,0.00011520779724887503
0.0123,1.7668119576675803e-09,4.416739818452664e-08,1.7665473041375488e-07,1.2104019198459934e-06,3.026004799614984e-05,0.00012104019198459935
0.0126,1.8532967712466856e-09,4.63292231197754e-08,1.8530051956943074e-07,1.2701659646688472e-06,3.175414911672118e-05,0.00012701659646688473
0.0129,1.941798647424852e-09,4.854145310280645e-08,1.9414781743927107e-07,1.3313701069573122e-06,3.328425267393281e-05,0.00013313701069573124
