t,e0,e1,e2,e3,e4
0.1,0.00010845084121930304,8.781596422870183e-05,9.134311702757746e-05,9.498539844560257e-05,9.424113816893278e-05
0.2,0.00021781174357956206,0.00018102202714919194,0.00017614805435802605,0.00018590965562930275,0.0001913128348382816
0.30000000000000004,0.00032624565605466775,0.0002806984795776545,0.0002667971761626937,0.0002776026482583178,0.000290141550434604
0.4,0.0004319947134672407,0.0003815023229867215,0.0003670061132521265,0.0003795069932732514,0.0003981945468834404
0.5,0.000533509626927243,0.00047611020622038134,0.0004682018521881928,0.0004867470074329565,0.0005160366924742914
0.6,0.0006295546557085251,0.000559548183825464,0.0005611813620264676,0.0005885532729408233,0.0006344641147681438
0.7000000000000001,0.0007192870553896905,0.0006312520420401793,0.0006452267665873926,0.0006882233439193233,0.0007550449546794812
0.8,0.000802308071253982,0.000694556105438908,0.0007288689693688887,0.0007969804457899531,0.0008813794549917697
0.9,0.0008786814899847733,0.0007547616072049048,0.000821635954891177,0.0009114576145882348,0.0010044724408664468
1.0,0.0009489158345120529,0.000817278468127989,0.0009223732478404586,0.0010190601717534383,0.001117912501398962
