t,ex,red,th
0.147,-0.0035445477079819768,-0.0014044770470916332,-0.0014044770470916324
0.15,-0.003483582940902307,-0.0014594250300165416,-0.0014594250300165408
0.153,-0.003421608845568261,-0.0015130596289226696,-0.0015130596289226685
0.156,-0.0033591619248644665,-0.001565332576291228,-0.001565332576291227
0.159,-0.0032967274140489593,-0.0016161968299979038,-0.0016161968299979025
0.162,-0.0032347352612012155,-0.0016656066156475946,-0.001665606615647593
0.165,-0.0031735571092247165,-0.0017135174677682763,-0.0017135174677682748
0.168,-0.003113504284698582,-0.0017598862698269258,-0.0017598862698269243
0.171,-0.0030548267811758623,-0.0018046712930314904,-0.001804671293031489
0.174,-0.0029977132078039988,-0.0018478322338839847,-0.0018478322338839825
0.177,-0.002942291658682457,-0.0018893302504509172,-0.0018893302504509155
0.18,-0.0028886314444228176,-0.00192912799731841,-0.001929127997318408
0.183,-0.0028367456151458612,-0.00196718965920055,-0.0019671896592005477
0.186,-0.002786594193801532,-0.0020034809831707273,-0.0020034809831707256
0.189,-0.002738088030351275,-0.002037969309486961,-0.002037969309486959
0.192,-0.002691093181078025,-0.0020706236009834576,-0.0020706236009834554
0.195,-0.002645435713115443,-0.0021014144710019694,-0.0021014144710019677
0.198,-0.0026009068321959303,-0.0021303142098378007,-0.002130314209837799
0.201,-0.002557268231546294,-0.0021572968096766738,-0.0021572968096766716
0.20400000000000001,-0.002514257561712991,-0.0021823379880000038,-0.0021823379880000016
0.20700000000000002,-0.002471593924740003,-0.002205415209437529,-0.002205415209437527
0.21000000000000002,-0.0024289833013887967,-0.002226507706047621,-0.0022265077060476188
0.213,-0.002386123826790012,-0.0022455964960070318,-0.002245596496007029
0.216,-0.002342710837840806,-0.0022626644006932526,-0.00226266440069325
0.219,-0.002298441624584443,-0.0022776960601441146,-0.002277696060144112
0.222,-0.002253019827494803,-0.002290677946880719,-0.002290677946880715
0.22499999999999998,-0.0022061594328001157,-0.002301598378081253,-0.0023015983780812497
0.22799999999999998,-0.002157588328479798,-0.002310447526094744,-0.002310447526094741
0.23099999999999998,-0.002107051394125761,-0.002317217427285279,-0.0023172174272852756
0.23399999999999999,-0.0020543131082558217,-0.0023219019891987415,-0.002321901989198738
0.237,-0.0019991596666985214,-0.0023244969960456077,-0.002324496996045604
0.24,-0.0019414006151509415,-0.002325000112494873,-0.002325000112494869
0.243,-0.0018808700077821568,-0.0023234108857756925,-0.0023234108857756886
0.246,-0.0018174271116770644,-0.002319730746084844,-0.0023197307460848396
0.249,-0.0017509566838770267,-0.0023139630052996466,-0.0023139630052996427
0.252,-0.0016813688536914274,-0.0023061128539974968,-0.0023061128539974924
0.255,-0.001608598647771362,-0.002296187356784697,-0.002296187356784693
0.258,-0.001532605199125028,-0.002284195445938788,-0.0022841954459387843
0.261,-0.0014533706838111317,-0.002270147913370102,-0.0022701479133700976
0.264,-0.0013708990304957,-0.002254057400909769,-0.002254057400909765
0.267,-0.0012852144484444682,-0.002235938388932928,-0.0022359383889329234
0.27,-0.0011963598189150158,-0.002215807183327361,-0.002215807183327356
0.273,-0.0011043949933951796,-0.002193681900819297,-0.0021936819008192923
0.276,-0.001009395039806692,-0.0021695824526695817,-0.002169582452669577
0.279,-0.0009114484747681591,-0.0021435305267548865,-0.0021435305267548813
0.28200000000000003,-0.000810655516409786,-0.0021155495680500814,-0.002115549568050076
0.28500000000000003,-0.0007071263881791943,-0.002085664757529343,-0.002085664757529338
0.288,-0.0006009796997019693,-0.002053902989504976,-0.0020539029895049717
