t,r0,r1,r2,r3,r4,c0,c1,c2,c3,c4
0.0,0.020770077260777526,0.020770077260777526,0.020770077260777526,0.020770077260777526,0.020770077260777526,0.020770077260777526,0.020770077260777526,0.020770077260777526,0.020770077260777526,0.020770077260777526
0.01,0.020770939512550355,0.020774345064388654,0.02077850461692308,0.02080796040599649,0.020835581972312132,0.02077093951255035,0.020774345064388657,0.020778504616923064,0.02080796040599649,0.02083558197231214
0.02,0.020771797413626104,0.02077850461692307,0.02078650153608001,0.020835581972312132,0.020862401825117026,0.0207717974136261,0.020778504616923075,0.020786501536079995,0.020835581972312132,0.020862401825117033
0.03,0.02077265096917931,0.020782556561066628,0.020794073118741735,0.020853540111830597,0.020854957772372743,0.020772650969179306,0.02078255656106663,0.02079407311874172,0.020853540111830597,0.020854957772372753
0.04,0.020773500184378995,0.020786501536080006,0.020801224411176034,0.020862401825117022,0.020817221782461023,0.02077350018437899,0.02078650153608001,0.02080122441117602,0.020862401825117022,0.020817221782461034
0.05,0.02077434506438865,0.02079034017781685,0.02080796040599649,0.020862704567537898,0.020752761921178954,0.020774345064388647,0.020790340177816852,0.020807960405996476,0.020862704567537898,0.020752761921178964
0.06,0.020775185614366254,0.020794073118741735,0.020814286042727895,0.020854957772372736,0.02066478288669742,0.02077518561436625,0.02079407311874174,0.02081428604272788,0.020854957772372736,0.02066478288669743
0.07,0.02077602183946428,0.020797700987948097,0.020820206208365662,0.020839644295028135,0.020556162458152748,0.020776021839464278,0.0207977009879481,0.02082020620836565,0.020839644295028135,0.020556162458152758
0.08,0.020776853744829692,0.020801224411176034,0.020825725737929256,0.020817221782461006,0.020429484271903248,0.02077685374482969,0.020801224411176038,0.020825725737929242,0.020817221782461006,0.020429484271903255
0.09,0.020777681335603964,0.020804644010830004,0.02083084941500984,0.020788123971703543,0.020287067297396988,0.02077768133560396,0.020804644010830008,0.020830849415009827,0.020788123971703543,0.020287067297396995
0.1,0.020778504616923068,0.02080796040599649,0.020835581972312125,0.020752761921178937,0.020130992346797466,0.020778504616923064,0.020807960405996494,0.02083558197231211,0.020752761921178937,0.020130992346797473
0.11,0.020779323593917494,0.020811174212461477,0.02083992809219038,0.020711525178304664,0.019963125918562852,0.02077932359391749,0.02081117421246148,0.020839928092190367,0.020711525178304664,0.01996312591856286
