t,alg,z,r,s,q,v
0.0,0.7989597180894238,0.7987855357769573,0.7846713852467663,0.7987895053078158,0.7987958119851561,0.7987930883975771
0.1,0.7597220234266036,0.7592934735097214,0.7445110284152937,0.7593015077141252,0.7593027518318378,0.7593026455039149
0.2,0.7230224846202412,0.7222655233221928,0.7070291073003006,0.722277809445399,0.7222734972843836,0.7222747246349213
0.30000000000000004,0.6883898834460203,0.6878522126891811,0.6731693692854985,0.687864085565892,0.6878558528154274,0.6878631939848577
0.4,0.6540999645214138,0.6538798736206575,0.6402912475696069,0.6538899131391033,0.6538799535347934,0.6538930321893527
0.5,0.6232931854554826,0.6230391598810399,0.6095452018947369,0.6230491550549054,0.6230395723309556,0.6230516292084628
0.6000000000000001,0.5954395770458589,0.594927435812064,0.5823497445605924,0.594940677157958,0.5949275191832077,0.5949394097926983
0.7000000000000001,0.5687700182980407,0.5682081613390462,0.5559790488124168,0.5682222611026716,0.5682073866620143,0.568220173427717
0.8,0.5417375901159049,0.5413475548111252,0.5292919039779899,0.5413596819245188,0.5413456931342995,0.5413598615654789
0.9,0.5165169769906992,0.5163329047955738,0.5054282912687355,0.5163425749861605,0.5163307103379472,0.5163452440139575
1.0,0.49405352240889033,0.49384997832908184,0.4846956096612566,0.49385731076117373,0.4938516717713861,0.49385883600626523
1.1,0.4721322967667518,0.4717352004153188,0.4638440571759892,0.47174155366999154,0.47174069276715774,0.4717396497155029
1.2000000000000002,0.45199400236156917,0.4515973850612901,0.44477539575862124,0.451600368187745,0.4516064943577435,0.4515975983563404
1.3,0.4326952929530107,0.43265742014575503,0.4269090144167225,0.43265112828123353,0.43267382921519015,0.43265146891170975
1.4000000000000001,0.41333193766724446,0.41348917948467473,0.40844858389599037,0.41347568271253254,0.4135122833378611,0.41347718366202013
1.5,0.3956985492033723,0.39571168691129577,0.3916205734510671,0.3956957283210414,0.3957391336058995,0.39569483468366873
1.6,0.3786875401678881,0.3785833846366394,0.3753667882641466,0.3785646439428466,0.3786161557232103,0.37856112510755424
1.7000000000000002,0.36268151279304817,0.3627665958222552,0.3600809327924646,0.3627424494746909,0.36280439497252415,0.36274058200390624
1.8,0.3472395807216367,0.34744944718490256,0.34543619633317624,0.34742404131941174,0.34748682631942157,0.34742430549000664
1.9000000000000001,0.3330071519918226,0.3331431086406421,0.3321642038015244,0.33312033942523045,0.33317793191214173,0.3331203146119184
2.0,0.319580549308358,0.3195709875132774,0.3204782130937853,0.3195520137528409,0.31960378630634234,0.3195506530991362
2.1,0.30667800161606035,0.30657116070105606,0.30950932465538855,0.3065561440579652,0.3066007995749526,0.3065542716251185
2.2,0.2945839634505654,0.2944604802776676,0.29943689926115435,0.2944483949198425,0.29448624862605544,0.29444680809143775
2.3000000000000003,0.2829547294134003,0.2829277181564264,0.29017959206609995,0.282918440632547,0.28294771935998786,0.2829191274160506
2.4000000000000004,0.2716101599139865,0.27156151973523057,0.2814636431124303,0.27155718694332504,0.2715748260160763,0.2715584560669368
2.5,0.26095633915022504,0.260642826889222,0.2728966927042401,0.2606446323676961,0.26065194578427,0.26064276159849187
2.6,0.25058065467856777,0.2501910433498302,0.2646925424226303,0.250197715362863,0.25019439882335126,0.2501957232320762
2.7,0.2407491123750386,0.24060646554154547,0.25753121308255256,0.24061657653777382,0.24060038584895077,0.2406182753809349
2.8000000000000003,0.23182675859869722,0.231644751118943,0.250648835920551,0.23166001585004536,0.2316322859127425,0.2316613891196779
2.9000000000000004,0.22327404829770864,0.22271600965174798,0.2437244736755923,0.2227381711018811,0.222699979558183,0.22273599326382498
3.0,0.21497600423013769,0.21441151310816173,0.23742507379304867,0.21443720797309485,0.21439038948173467,0.2144357966913099
3.1,0.20681631998478456,0.20659880758768695,0.23173298998222597,0.2066235861446965,0.20657349482745374,0.20662617319667925
3.2,0.1994663547075241,0.19915558955016988,0.2264864530332406,0.19918218688300374,0.1991289664122238,0.19918377417428357
3.3000000000000003,0.19250864897010178,0.19186561239659636,0.2220992615856551,0.1918950315679053,0.1918393045238516,0.191892643223437
3.4000000000000004,0.1852770221798809,0.18476280947362406,0.21900599727951248,0.1847890001058661,0.1847385360550869,0.18478742858605102
3.5,0.1783688560713844,0.17824177974923888,0.21709359910424308,0.1782610903250661,0.17822103729239064,0.17826396739360623
3.6,0.17203454310070837,0.17185797310159023,0.21572852522322755,0.171873828008686,0.17184208075400054,0.17187525823145994
3.7,0.1658369900986587,0.16548950024289183,0.21482409184183093,0.16550188277743233,0.16548066593404084,0.16549979237037216
3.8000000000000003,0.15981001478093065,0.1595746056284811,0.21415944688709526,0.15957956721407418,0.1595745151908623,0.159578080047573
3.9000000000000004,0.15409921521419628,0.15408485969637492,0.21288867638428938,0.15407895948694983,0.15409605710513613,0.15407900237188568
4.0,0.14870089190918845,0.1487310772574015,0.21086172554008525,0.14871510927726628,0.14875420277296197,0.1487144954745951
4.1000000000000005,0.14339056331383537,0.14347581236104695,0.20862502533591915,0.14345210494885002,0.1435103310976173,0.14345223546916164
4.2,0.13857810408362,0.13869173258463308,0.20618770401531883,0.13865835131301668,0.13873916922645385,0.1386571888223028
4.3,0.13406461109455936,0.13408716338284274,0.20337143474045666,0.1340461389825169,0.1341462560707275,0.1340424653052531
4.4,0.1292708091507794,0.12946373360843463,0.2005497251217382,0.1294119355943163,0.12953562783005806,0.12940923342724586
4.5,0.12450732665856885,0.1251446101539405,0.19811959007126034,0.12507938572734,0.12522853046517685,0.12508051626667455
4.6000000000000005,0.12047546285193834,0.12107114533122378,0.1960532098911407,0.12099869331951188,0.12116590463821333,0.12099812719466288
4.7,0.11698991120865308,0.11719473908257189,0.194499031973915,0.11711953572849879,0.1173006754711196,0.11711359401495952
4.800000000000001,0.11321247119817157,0.1134776234287217,0.19393195903336893,0.11339714828064376,0.11359078508325007,0.11339109333222659
4.9,0.10914087364189588,0.10988290195507888,0.1946109810339496,0.10979572524149886,0.10999723528218272,0.10979536204561655
5.0,0.10563082871365533,0.10639241085949519,0.1964541653165494,0.10630487819124765,0.10650667868271999,0.10630540599070545
5.1000000000000005,0.10271788602832213,0.10304952970110268,0.19936339465586295,0.10296875414748832,0.10316250911627978,0.10296454018621293
5.2,0.0998184392031579,0.09989949010147922,0.20291255397917063,0.09982750538786028,0.10000522854013669,0.0998214426042813
5.300000000000001,0.09663078110271128,0.09681519661766654,0.20629683912339258,0.09675117391224441,0.09690791731974044,0.09674870757414697
5.4,0.09360279764148727,0.09383822855461375,0.20902191332277587,0.09378525997558151,0.09391485475481864,0.09378632892751329
5.5,0.091076161587458,0.09106582299949445,0.21095270421291623,0.09102936892735532,0.09112486945751806,0.09103008103470407
5.6000000000000005,0.08886954288893122,0.08836885788195273,0.2118142005365033,0.08835137421225053,0.08841101224212931,0.08834855180971275
5.7,0.08644006172989181,0.08566068132951345,0.21161283955747734,0.08566061431879057,0.08568303101437418,0.08565745961039556
5.800000000000001,0.08375416839470107,0.08309467635774542,0.21080933283063197,0.08310777998921998,0.08309620800308934,0.08310906823084402
5.9,0.08129431345285093,0.08069130866173294,0.20969547264099747,0.08071644262203476,0.08067576467226245,0.08072015976106037
6.0,0.07939401441095982,0.07835411769859357,0.20838575768755646,0.07839467310078407,0.0783241693569272,0.07839530198795813
6.1000000000000005,0.07741738744404242,0.07605681713780368,0.20720332690376497,0.07611033079110574,0.07601359229616253,0.07610928556429516
6.2,0.07509344895667677,0.07387533061902127,0.2064932727637973,0.0739348468312753,0.07382171833538324,0.0739361627380939
6.300000000000001,0.07288093049018339,0.07178365505570483,0.20648291571415978,0.07184862685488869,0.0717205779958891,0.07185232593025281
6.4,0.0710972865018693,0.06973955539407994,0.20753391829935802,0.06981209589012038,0.06966943526627883,0.06981417989998641
6.5,0.06927884034861483,0.06778422100387585,0.20999629687477842,0.06786066669438048,0.06771045365166359,0.06786162916633523
6.6000000000000005,0.06730700064015306,0.06587535219835411,0.2138018796221449,0.06595138809516359,0.06580043111279171,0.06595366529397997
6.7,0.06546411937281602,0.06404231148554831,0.21849926764009298,0.06411608510222636,0.06396943239994722,0.06411842489994335
6.800000000000001,0.06371841009852114,0.062284440036015104,0.2235988413933611,0.06235352064724717,0.06221694953525371,0.06235492335930805
6.9,0.06183161501211097,0.060549899899819265,0.22856163857523745,0.0606106623317985,0.06049071594223136,0.06061339699035357
7.0,0.06007375756545405,0.05886232660626791,0.23268672942990373,0.05891233769655016,0.05881706202048288,0.0589142277007494
7.1000000000000005,0.058468472889808464,0.057249200787451396,0.235573921134246,0.057286253719148056,0.057221891308495795,0.05728508748801612
7.2,0.056619831424651976,0.05569104018313416,0.23732707653483698,0.055711576206788516,0.05568091227224104,0.055711903665653574
7.300000000000001,0.05475223437469951,0.05414549184056568,0.23809978045793856,0.054149493217458676,0.054152379907955156,0.054151677637991356
7.4,0.053358622635789346,0.05264323500446154,0.23802609575255357,0.052635253419847206,0.05266854042517152,0.05263309019541185
7.5,0.051939084587636415,0.05119690285659043,0.23747885249559475,0.05117735086477038,0.051238161195415244,0.05117284516541576
7.6000000000000005,0.05002484849835216,0.04979308145016892,0.23684408224023162,0.049757825024393035,0.049847044082341294,0.04975785796312485
7.7,0.04839834221858806,0.04843254190106577,0.23628507950911096,0.048385384722584135,0.04849830712806648,0.0483868416657488
