t,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
0.081,3.567425203127361e-06,1.4188303292711689e-05,3.173529179061663e-05,5.607458244741131e-05,8.706655776806381e-05,0.00012456643915567298,0.00016842492390934998,0.00021848880844028523,0.0002746015952128417,0.0003366040810505749,0.007379512349756832,0.02951804939902733,0.0664156111478115,0.11807219759610932,0.1844878087439208,0.2656624445912459,0.36159610513808477,0.4722887903844373,0.5977405003303033,0.7379512349756832
0.084,3.7885973430315637e-06,1.5064598081808782e-05,3.368755379849215e-05,5.950995013484391e-05,9.237796964714367e-05,0.0001321322430327002,0.00017860858537880955,0.00023163871424440816,0.0002910509465601147,0.00035667087149805467,0.007936265682043014,0.031745062728172055,0.07142639113838713,0.12698025091268822,0.1984066420510753,0.28570556455354845,0.3888770184201077,0.5079210036507529,0.6428375202454841,0.7936265682043012
0.087,4.012185109614087e-06,1.59502842009774e-05,3.5660322311659696e-05,6.298064824162991e-05,9.77428135903744e-05,0.00013977243617062515,0.00018889004376965057,0.00024491189442477784,0.00030765076959140257,0.00037691673678660317,0.00851326459004869,0.03405305836019476,0.07661938131043822,0.13621223344077904,0.2128316147512172,0.30647752524175276,0.4171499649123858,0.5448489337631162,0.6895744317939438,0.8513264590048688
0.09,4.237870516942611e-06,1.6844141473133166e-05,3.765097044891205e-05,6.648222105816544e-05,0.00010315446790770489,0.00014747798108716287,0.00019925768537045602,0.000258294089548542,0.0003243841815682506,0.0003973222854012663,0.009110509073773866,0.036442036295095466,0.0819945816639648,0.14576814518038186,0.22776272684434662,0.32797832665585913,0.44641494461491943,0.5830725807215275,0.7379512349756832,0.9110509073773865
0.093,4.465363080538052e-06,1.7745064206045354e-05,3.965713876871928e-05,7.001070530132605e-05,0.00010860710583156461,0.00015524101995319058,0.00020970154688534605,0.00027177325007370106,0.0003412371591967989,0.0004178717247449911,0.00972799913321854,0.03891199653287416,0.08755199219896687,0.15564798613149664,0.24319997833046345,0.35020796879586735,0.47667195752770847,0.6225919445259865,0.7879679297907016,0.9727999133218538
0.096,4.694401448393997e-06,1.865206720544873e-05,4.167674754376297e-05,7.356264950854455e-05,0.00011409572169420152,0.0001630549058358203,0.00022021334843792375,0.0002853395659985897,0.00035819855776148967,0.00043855286030423387,0.01036573476838271,0.04146293907353084,0.09329161291544441,0.16585175629412335,0.2591433692095677,0.37316645166177753,0.5079210036507529,0.6634070251764934,0.8396245162389994,1.0365734768382708
0.099,4.924754809485905e-06,1.9564290830223054e-05,4.370800671935942e-05,7.713512900533185e-05,0.00011961614967611432,0.00017091422246119563,0.0002307865098258356,0.0002989854731005089,0.0003752600986196839,0.00045935705321725555,0.01102371597926638,0.04409486391706552,0.09921344381339743,0.17637945566826208,0.27559289948165944,0.39685377525358956,0.5401620829840527,0.7055178226730483,0.8929209943205766,1.1023715979266377
0.10200000000000001,5.156224063680373e-06,2.04810050252296e-05,4.574942340518889e-05,8.072575617294719e-05,0.00012516507468738754,0.0001788147918543105,0.0002414161491485564,0.00031270563463759745,0.0003924163236975221,0.0004802791347130279,0.011701942765869545,0.04680777106347818,0.10531748489282593,0.18723108425391272,0.2925485691467386,0.4212699395713036,0.5733951955276078,0.7489243370156509,0.9478573640354332,1.1701942765869544
0.10500000000000001,5.3886427355526594e-06,2.1401612259124192e-05,4.779980673396823e-05,8.433268571418603e-05,0.0001307400349067647,0.00018675366917954983,0.00025209906291753375,0.00032649689742532704,0.00040966451576682125,0.0005013172762015872,0.012400415128192208,0.04960166051276883,0.1116037361537299,0.19840664205107533,0.3100103782048052,0.44641494461491943,0.6076203412814183,0.7936265682043013,1.0044336253835688,1.2400415128192208
0.108,5.621877612359081e-06,2.2325649287707696e-05,4.985826990672642e-05,8.795461459924753e-05,0.000136339415493049,0.00019472912411467447,0.0002628336868175703,0.00034035822135638756,0.00042700458359751014,0.0005224728143533313,0.013119133066234369,0.052476532264937474,0.11807219759610932,0.2099061290597499,0.32797832665585913,0.4722887903844371,0.6428375202454839,0.8396245162389996,1.0626497783649835,1.3119133066234365
0.111,5.85582908548077e-06,2.3252787660312896e-05,5.192422924127914e-05,9.159077637487011e-05,0.0001419624330049751,0.00020274060816086894,0.0002736200364437628,0.000354290581726013,0.0004444389115888724,0.0005437500313210782,0.013858096579996025,0.0554323863199841,0.12472286921996423,0.2217295452799364,0.34645241449990055,0.4988914768798568,0.6790467324198053,0.8869181811197456,1.1225058229796778,1.3858096579996022
