t,a1,a2,a3,b1,b2,b3
0.0,1.0,1.0,1.0,0.0625,0.0625,0.0625
0.03,0.9542532477303964,0.9539184016652205,0.9525947846723548,0.061828954881303945,0.061945143950222735,0.06205034027335584
0.06,0.9077839360878679,0.906687301431337,0.9020067763346464,0.0598302291748582,0.06029042748844213,0.06070783129725587
0.09000000000000001,0.8614320220576959,0.8595052099498773,0.8504856449860195,0.056546742404788304,0.057565230756721694,0.05849179058271482
0.12,0.8155706198700097,0.8129883555756273,0.7995152292460049,0.05204900233971371,0.05381794069565115,0.05543410498611455
0.15,0.7701428526639618,0.7671423982080893,0.7495368254536222,0.046433590948141056,0.04911509191517145,0.051578771885680046
0.18000000000000002,0.7247877972478839,0.7215125272980207,0.7001382737357638,0.03982109045099146,0.04354018534638778,0.04698126609830934
0.21000000000000002,0.6790177631603852,0.6754585103081119,0.6505949589006363,0.03235349400605653,0.03719220564967238,0.04170774164626145
0.24,0.6324043640705317,0.6284749931697772,0.6005293947663012,0.024191156625904743,0.03018386370305999,0.03583407985957026
0.27,0.5847338979736765,0.5804615396307466,0.550395193330508,0.015509351803531359,0.02263959537624616,0.029444797511144698
0.3,0.5361018345212534,0.5318501682147083,0.5015310412471585,0.006494507786857186,0.014693352122743707,0.022631830695520612
0.33,0.4869304689273841,0.4835370628422427,0.4557214905605448,-0.0026597956777755154,0.006486222619103274,0.015493211950168374
0.36000000000000004,0.43791119232349773,0.4366393609380083,0.4144750612962351,-0.011756984169406612,-0.0018360723200703307,0.008131659654404853
0.39,0.3898899536369719,0.3921745359164485,0.37839800228792475,-0.02060170972223876,-0.010125767072536106,0.0006531000032057145
0.42000000000000004,0.34372682723106734,0.3507924547686615,0.346976118708738,-0.029004045619202064,-0.018235674845199258,-0.006834857176598631
0.44999999999999996,0.30016437680110153,0.3126579139193746,0.3188409796714765,-0.03678356477263887,-0.02602180103355425,-0.014224466836093179
0.48,0.2597337402097044,0.27750739652936046,0.2923621196133872,-0.04377321411523025,-0.03334589990256307,-0.021409399059774077
0.51,0.2227145430682838,0.24483350910563945,0.2662878889102768,-0.04982290180464842,-0.04007792919409336,-0.028286269058532296
0.54,0.18914959488565664,0.21411569180516293,0.24016812664382536,-0.05480272021229757,-0.04609835907839525,-0.03475612478488595
0.5700000000000001,0.1589024932693288,0.18501849950176016,0.21440539301040687,-0.05860573548747542,-0.051300294453274664,-0.04072587076500017
0.6,0.13173858057266133,0.1575037326144857,0.18995478457684867,-0.06115028379540647,-0.055591372908705944,-0.046109607659817274
0.63,0.10740774435026651,0.13183517666196318,0.16784489283285584,-0.06238172492100836,-0.058895404657775006,-0.050829868280202924
0.66,0.08571041202092028,0.10848606238317764,0.14874169499126277,-0.062273615582479604,-0.061153725316333785,-0.054818732270949064
