t,e0,e1,e2,b0,b1,b2
0.0,3.3993498887762956e-17,3.3993498887762956e-17,3.3993498887762956e-17,0.0,0.0,0.0
0.0003,2.0768860842695708e-07,1.0384430662635692e-06,2.076886191603919e-06,3.794861612247458e-05,0.00018974308061237293,0.00037948616122474585
0.0006,4.1529877605944104e-07,2.0764938953204596e-06,4.152987818238721e-06,7.589723224494917e-05,0.00037948616122474585,0.0007589723224494917
0.0009,6.228285563268975e-07,3.1141426321397562e-06,6.228284856930526e-06,0.00011384584836742375,0.0005692292418371188,0.0011384584836742376
0.0012,8.302760040727413e-07,4.151379428844955e-06,8.302757299229876e-06,0.00015179446448989833,0.0007589723224494917,0.0015179446448989834
0.0015,1.0376391756060747e-06,5.188194444978822e-06,1.0376385151757664e-05,0.00018974308061237293,0.0009487154030618645,0.001897430806123729
0.0018,1.2449161287533619e-06,6.224577847767985e-06,1.2449148436750532e-05,0.0002276916967348475,0.0011384584836742376,0.002276916967348475
0.0021,1.4521049229100472e-06,7.260519812387289e-06,1.452102719260583e-05,0.0002656403128573221,0.0013282015642866105,0.002656403128573221
0.0024,1.6592036190921278e-06,8.29601052222388e-06,1.6592001474425894e-05,0.00030358892897979666,0.0015179446448989834,0.003035889289797967
0.0027,1.866210279987667e-06,9.331040169140986e-06,1.8662051354561867e-05,0.00034153754510227126,0.0017076877255113566,0.003415375451022713
0.003,2.073122970008248e-06,1.0365598953741418e-05,2.0731156923156762e-05,0.00037948616122474585,0.001897430806123729,0.003794861612247458
0.0032999999999999995,2.27993975534037e-06,1.1399677085630746e-05,2.2799298288687993e-05,0.00041743477734722034,0.002087173886736102,0.004174347773472204
0.0036,2.4866587039967766e-06,1.2433264783680141e-05,2.4866455578509134e-05,0.000455383393469695,0.002276916967348475,0.00455383393469695
0.0039000000000000003,2.693277885867718e-06,1.3466352276288884e-05,2.693260893939101e-05,0.0004933320095921696,0.0024666600479608483,0.0049333200959216965
0.0042,2.899795372772145e-06,1.4498929801646496e-05,2.8997738538061958e-05,0.0005312806257146442,0.002656403128573221,0.005312806257146442
0.0045,3.10620923850883e-06,1.5530987607994502e-05,3.106182456174749e-05,0.0005692292418371187,0.0028461462091855937,0.005692292418371187
0.0048,3.31251755890741e-06,1.656251595388783e-05,3.312484721870887e-05,0.0006071778579595933,0.003035889289797967,0.006071778579595934
0.0051,3.5187184118793505e-06,1.7593505108455736e-05,3.5186786738781074e-05,0.000645126474082068,0.0032256323704103395,0.006451264740820679
0.0054,3.7248098774688302e-06,1.8623945351662356e-05,3.7247623373909835e-05,0.0006830750902045425,0.003415375451022713,0.006830750902045426
0.005699999999999999,3.930790037903548e-06,1.965382697456688e-05,3.9307337398687624e-05,0.0007210237063270171,0.0036051185316350854,0.007210237063270171
0.006,4.136656977645426e-06,2.068314027958313e-05,4.1365909110888886e-05,0.0007589723224494917,0.003794861612247458,0.007589723224494916
0.0063,4.3424087834412435e-06,2.171187558073884e-05,4.342331883200423e-05,0.0007969209385719662,0.003984604692859831,0.007969209385719662
0.006599999999999999,4.548043544373161e-06,2.2740023203934307e-05,4.547954690777357e-05,0.0008348695546944407,0.004174347773472204,0.008348695546944408
0.0069,4.7535593519091596e-06,2.3767573487200644e-05,4.7534573708718305e-05,0.0008728181708169154,0.004364090854084577,0.008728181708169153
0.0072,4.958954299953378e-06,2.4794516780957508e-05,4.95883796306724e-05,0.00091076678693939,0.00455383393469695,0.0091076678693939
0.0075,5.164226484896345e-06,2.5820843448270266e-05,5.164094509531239e-05,0.0009487154030618645,0.004743577015309324,0.009487154030618648
0.0078000000000000005,5.369374005665119e-06,2.6846543865106695e-05,5.3692250550686217e-05,0.0009866640191843392,0.0049333200959216965,0.009866640191843393
0.0081,5.574394963773318e-06,2.7871608420593046e-05,5.5742276471741025e-05,0.0010246126353068137,0.005123063176534068,0.010246126353068137
0.0084,5.779287463371022e-06,2.8896027517269604e-05,5.7791003360849545e-05,0.0010625612514292885,0.005312806257146442,0.010625612514292884
0.0087,5.984049611294596e-06,2.9919791571345637e-05,5.983841174833559e-05,0.0011005098675517628,0.005502549337758815,0.01100509867551763
0.009,6.188679517116365e-06,3.094289101295376e-05,6.188448219299798e-05,0.0011384584836742373,0.005692292418371187,0.011384584836742375
0.0093,6.3931752931942044e-06,3.196531628640374e-05,6.39291952826334e-05,0.001176407099796712,0.005882035498983561,0.011764070997967122
0.0096,6.59753505472099e-06,3.298705785043552e-05,6.597253163455785e-05,0.0012143557159191866,0.006071778579595934,0.012143557159191867
0.0099,6.801756919773906e-06,3.400810617847183e-05,6.801447189612682e-05,0.0012523043320416612,0.006261521660208306,0.012523043320416613
0.0102,7.005839009363692e-06,3.5028451758869914e-05,7.005499674525413e-05,0.001290252948164136,0.006451264740820679,0.012902529481641358
0.0105,7.209779447483686e-06,3.604808509517288e-05,7.209408689092914e-05,0.0013282015642866105,0.006641007821433053,0.013282015642866105
0.0108,7.413576361158786e-06,3.7066996706360045e-05,7.413172307373297e-05,0.001366150180409085,0.006830750902045426,0.013661501804090852
0.011099999999999999,7.617227880494275e-06,3.80851771270968e-05,7.616788606635277e-05,0.0014040987965315596,0.007020493982657798,0.014040987965315596
0.011399999999999999,7.820732138724476e-06,3.910261690798377e-05,7.820255667409504e-05,0.0014420474126540341,0.007210237063270171,0.014420474126540342
0.0117,8.024087272261315e-06,4.011930661580511e-05,8.023571573539685e-05,0.0014799960287765087,0.0073999801438825435,0.014799960287765087
0.012,8.227291420742697e-06,4.113523683377624e-05,8.2267344122336e-05,0.0015179446448989834,0.007589723224494916,0.015179446448989832
0.0123,8.430342727080784e-06,4.215039816179068e-05,8.429742274113955e-05,0.001555893261021458,0.00777946630510729,0.01555893261021458
0.0126,8.633239337510109e-06,4.31647812166663e-05,8.632593253269033e-05,0.0015938418771439325,0.007969209385719662,0.015938418771439325
0.0129,8.835979401635494e-06,4.417837663239056e-05,8.83528544730325e-05,0.0016317904932664073,0.008158952466332036,0.016317904932664072
0.013199999999999998,9.038561072479918e-06,4.5191175060365274e-05,9.037816957387486e-05,0.0016697391093888814,0.008348695546944408,0.016697391093888816
0.0135,9.240982506532139e-06,4.620316716965023e-05,9.240185888309291e-05,0.0017076877255113561,0.00853843862755678,0.01707687725511356
0.0138,9.443241863794198e-06,4.7214343647206386e-05,9.442390348522899e-05,0.0017456363416338309,0.008728181708169153,0.017456363416338307
0.0141,9.645337307828783e-06,4.82246951981378e-05,9.644428450199057e-05,0.0017835849577563052,0.008917924788781527,0.017835849577563054
0.0144,9.84726700580638e-06,4.9234212545933094e-05,9.846298309274714e-05,0.00182153357387878,0.0091076678693939,0.0182153357387878
0.0147,1.0049029128552326e-05,5.024288643270598e-05,0.0001004799804550251,0.0018594821900012545,0.009297410950006274,0.018594821900012548
0.015,1.0250621850593634e-05,5.1250707619434774e-05,0.00010249525782500082,0.001897430806123729,0.009487154030618648,0.018974308061237295
0.015300000000000001,1.0452043350205691e-05,5.225766688620113e-05,0.00010450879647799197,0.0019353794222462038,0.00967689711123102,0.01935379422246204
0.015600000000000001,1.0653291809458773e-05,5.3263755032428047e-05,0.0001065205777289468,0.0019733280383686783,0.009866640191843393,0.019733280383686786
0.015899999999999997,1.08543654142644e-05,5.4268962877116624e-05,0.00010853058293293188,0.002011276654491153,0.010056383272455765,0.02011276654491153
0.0162,1.1055262354421487e-05,5.5273281259082374e-05,0.00011053879348561752,0.0020492252706136274,0.010246126353068137,0.020492252706136273
0.0165,1.1255980823662347e-05,5.627670103719013e-05,0.00011254519082376158,0.002087173886736102,0.01043586943368051,0.02087173886736102
0.0168,1.1456519019698491e-05,5.7279213090588386e-05,0.00011454975642569114,0.002125122502858577,0.010625612514292884,0.021251225028585768
0.0171,1.1656875144266286e-05,5.8280808318942506e-05,0.00011655247181178228,0.0021630711189810515,0.010815355594905256,0.02163071118981051
0.0174,1.185704740317237e-05,5.928147764266699e-05,0.00011855331854493785,0.0022010197351035256,0.01100509867551763,0.02201019735103526
0.0177,1.2057034006338945e-05,6.028121200315698e-05,0.000120552278231063,0.0022389683512260006,0.011194841756130003,0.022389683512260006
0.018,1.225683316784882e-05,6.128000236301839e-05,0.000122549332519539,0.0022769169673484747,0.011384584836742375,0.02276916967348475
0.0183,1.245644310599033e-05,6.227783970629747e-05,0.00012454446310369477,0.0023148655834709492,0.011574327917354748,0.023148655834709497
0.0186,1.2655862043302003e-05,6.32747150387091e-05,0.0001265376517212764,0.002352814199593424,0.011764070997967122,0.023528141995934244
0.0189,1.2855088206617067e-05,6.427061938786422e-05,0.00012852888015491446,0.0023907628157158987,0.011953814078579494,0.023907628157158987
0.0192,1.3054119827107757e-05,6.526554380349599e-05,0.00013051813023258913,0.0024287114318383733,0.012143557159191867,0.024287114318383735
