t,e0,e1,e2,e3,e4
0.1,2.4151972667560165e-06,5.9044886634809225e-06,9.415933095910189e-06,1.2843117705738889e-05,1.625785609862194e-05
0.2,9.44018088391407e-06,2.2911823186691482e-05,3.6262411945104337e-05,4.929701383630001e-05,6.225113877231952e-05
0.30000000000000004,2.071169119429032e-05,4.9957132011443114e-05,7.835584576012122e-05,0.0001059276640112796,0.00013319700587131105
0.4,3.583125541452932e-05,8.590021815647261e-05,0.0001334350114507668,0.00017915235218947194,0.00022398226717445797
0.5,5.438349604126568e-05,0.0001294823089854712,0.0001991273987126143,0.00026534134241614074,0.00032952312996141725
0.6,7.596259336082714e-05,0.00017940353528765236,0.0002730356792849283,0.00036092711555765745,0.00044496840354207385
0.7000000000000001,0.00010020232848864766,0.00023447403133497325,0.0003530089593371137,0.0004627825023049258,0.0005661203267972354
0.8,0.00012680359177113417,0.0002937039209475077,0.0004373563718656845,0.0005683997859582435,0.0006895662246294888
0.9,0.0001555533573300376,0.00035628152902682193,0.0005247644586974938,0.0006755895961742686,0.0008124252042135203
1.0,0.00018633094379751563,0.0004214982938023033,0.0006139775133400918,0.000782373538736613,0.0009325344295741501
