t,e,b,l
0.0,0.8053632701187563,1.0,0.08506771492450298
0.003,0.7979800074170329,0.9964064722309937,0.08476202172867586
0.006,0.7906942153808487,0.992825857903814,0.08445742704983676
0.009,0.7835067167036373,0.989258110613649,0.08415392694043433
0.012,0.7764176269700942,0.9857031841224441,0.08385151746710294
0.015,0.7694263192843471,0.9821610323583021,0.08355019471061158
0.018,0.7625314167207796,0.9786316094148867,0.08324995476581314
0.021,0.755730815499528,0.9751148695508268,0.08295079374159364
0.024,0.7490217400832223,0.971610767189125,0.08265270776082212
0.027,0.7424008289260253,0.9681192569165653,0.08235569296030004
0.03,0.7358642468408397,0.9646402934831259,0.08205974549071145
0.033,0.7294078174383162,0.9611738318013918,0.08176486151657297
0.036,0.7230271673206724,0.9577198269459712,0.0814710372161842
0.039,0.7167178729861172,0.9542782341529129,0.0811782687815781
0.042,0.7104756017743488,0.9508490088191262,0.08088655241847165
0.045,0.7042962394929273,0.9474321065018024,0.08059588434621667
0.048,0.698175999286469,0.94402748291784,0.08030626079775093
0.051000000000000004,0.6921115084610514,0.9406350939432696,0.08001767801954913
0.054,0.6860998719930589,0.9372548956126826,0.07973013227157448
0.056999999999999995,0.680138713060506,0.9338868441186612,0.07944361982723003
0.06,0.6742261919860681,0.9305308958112111,0.07915813697331049
0.063,0.6683610054609161,0.9271870071971952,0.0788736800099541
0.066,0.662542367931066,0.9238551349397702,0.0785902452505946
0.069,0.65676997675513,0.920535235857825,0.07830782902191358
0.072,0.6510439623942386,0.9172272669254211,0.07802642766379272
0.075,0.6453648246695913,0.9139311852712348,0.07774603752926652
0.078,0.6397333561909455,0.9106469481780017,0.07746665498447489
0.081,0.6341505545651229,0.9073745130819632,0.07718827640861614
0.084,0.6286175260511024,0.9041138375723146,0.07691089819390005
0.087,0.6231353849667591,0.9008648793906555,0.07663451674550105
0.09,0.6177051551971444,0.8976275964304427,0.0763591284815117
0.093,0.6123276820928434,0.8944019467364435,0.07608472983289627
0.096,0.6070035640188803,0.8911878885041927,0.07581131724344442
0.099,0.6017331118777817,0.8879853800794507,0.07553888716972514
0.10200000000000001,0.5965163416010557,0.8847943799576636,0.0752674360810409
0.10500000000000001,0.5913529993634471,0.8816148467834249,0.07499696045938177
0.108,0.5862426135995018,0.8784467393499404,0.07472745679937991
0.111,0.5811845636265514,0.8752900165984934,0.07445892160826412
0.11399999999999999,0.5761781530723794,0.8721446376179127,0.07419135140581455
0.11699999999999999,0.5712226775093759,0.8690105616440427,0.07392474272431765
0.12,0.5663174788432958,0.8658877480592151,0.07365909210852117
0.123,0.5614619828169338,0.8627761563917219,0.0733943961155894
0.126,0.556655719377609,0.8596757463152916,0.07313065131505858
0.129,0.5518983280214331,0.8565864776485664,0.07286785428879239
0.132,0.5471895514508499,0.853508310354581,0.07260600163093771
0.135,0.5425292211663932,0.8504412045402441,0.07234508994788041
0.138,0.5379172382855184,0.8473851204558215,0.07208511585820145
0.14100000000000001,0.5333535522455564,0.8443400184944208,0.07182607599263295
