t,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
0.03,2.2993616844896166e-07,9.16625247102639e-07,2.0551928309723738e-06,3.6405106566957023e-06,5.6672049124443515e-06,8.129664764340456e-06,1.102205108328572e-05,1.4338305359013834e-05,1.8072158784389072e-05,2.2217141493955215e-05,0.0014439110030141332,0.005775644012056533,0.012995199027127199,0.02310257604822613,0.03609777507535332,0.05198079610850878,0.07075163914769252,0.09241030419290452,0.11695679124414475,0.14439110030141328
0.033,2.738443517299309e-07,1.0909338834302637e-06,2.4443370221800435e-06,4.3267780788226775e-06,6.73065119514363e-06,9.648034602227638e-06,1.3070705159536208e-05,1.699015314555692e-05,2.1397597269097402e-05,2.6283999870090748e-05,0.0017471323136471005,0.006988529254588402,0.01572419082282391,0.027954117018353607,0.04367830784117751,0.06289676329129561,0.08560948336870794,0.11181646807341443,0.14151771740541513,0.17471323136471004
0.036,3.203774030362814e-07,1.2753996669627499e-06,2.8555533072424746e-06,5.050877516015379e-06,7.850986326878822e-06,1.1245091182156702e-05,1.5222023848241144e-05,1.97702596239379e-05,2.487794078694216e-05,3.0532900222455484e-05,0.0020792318443403515,0.008316927377361406,0.01871308659906316,0.033267709509445624,0.05198079610850877,0.07485234639625263,0.10188236037267721,0.1330708380377825,0.16841777939156843,0.20792318443403507
0.039,3.691939032855318e-07,1.4686221023201483e-06,3.2856142498323194e-06,5.806939758591838e-06,9.018841420327586e-06,1.2907069482688509e-05,1.7456916092502475e-05,2.265325000852776e-05,2.848055149273871e-05,3.492294728564349e-05,0.002440209595093885,0.00976083838037554,0.021961886355844965,0.03904335352150216,0.06100523987734711,0.08784754542337983,0.11957027015960034,0.15617341408600863,0.1976569772026046,0.24402095950938843
0.042,4.1995033839070745e-07,1.669197162504473e-06,3.73129638212909e-06,6.58912563839751e-06,1.0224933275828573e-05,1.4620387741873674e-05,1.97566272634081e-05,2.5614309645924745e-05,3.217366204846002e-05,3.9414530585619907e-05,0.002830065565907701,0.011320262263630804,0.02547059009316931,0.045281049054523216,0.0707516391476925,0.1018823603726772,0.13867321272947733,0.18112419621809286,0.22923531083852375,0.28300655659077
0.045,4.7230500286639083e-07,1.8757336788613735e-06,4.189418788280364e-06,7.391697554112612e-06,1.146018051309582e-05,1.6371820603748652e-05,2.2102982257437378e-05,2.8629510258187086e-05,3.592679814711447e-05,4.3969855950752935e-05,0.003248799756781799,0.012995199027127195,0.029239197811036188,0.05198079610850878,0.08121999391954496,0.11695679124414472,0.15919118808230814,0.20792318443403512,0.26315278029932565,0.32487997567817983
0.048,5.259215056461349e-07,2.0868679036088435e-06,4.65687699509095e-06,8.209081529817542e-06,1.2715803008575168e-05,1.8148645275015058e-05,2.4478587552303626e-05,3.1676076582395854e-05,3.971111754581129e-05,4.855336344726677e-05,0.00369641216771618,0.01478564867086472,0.033267709509445624,0.05914259468345888,0.09241030419290448,0.13307083803778247,0.18112419621809284,0.23657037873383552,0.2994093855850105,0.36964121677161793
0.051000000000000004,5.804718284216739e-07,2.3012760447779127e-06,5.130671722512596e-06,9.035919033119201e-06,1.3983403495655997e-05,1.993875919230148e-05,2.6866990463205556e-05,3.473259160427e-05,4.349966412489294e-05,5.313203113899715e-05,0.004172902798710844,0.016691611194843376,0.037556125188397606,0.0667664447793735,0.10432256996777109,0.15022450075359037,0.20447223713683138,0.267065779117494,0.33800512669557836,0.41729027987108436
0.054,6.356389069421888e-07,2.517684664353729e-06,5.6079322832582e-06,9.867108262411764e-06,1.5255031045068377e-05,2.173076910347901e-05,2.9252795990115347e-05,3.7779141722112675e-05,4.726753991580067e-05,5.767557012192714e-05,0.00467827164976579,0.01871308659906316,0.042104444847892115,0.07485234639625264,0.11695679124414472,0.1684177793915684,0.2292353108385237,0.29940938558501057,0.3789400036310289,0.4678271649765789
0.056999999999999995,6.911187250624793e-07,2.734878922948609e-06,6.085934655136861e-06,1.0697835081834896e-05,1.6523226964334307e-05,2.3514052787760734e-05,3.162174364139607e-05,4.079740604865894e-05,5.0992002013224415e-05,6.215652160900724e-05,0.005212518720881019,0.020850074883524077,0.04691266848792918,0.0834002995340963,0.13031296802202547,0.18765067395171664,0.25541341732316997,0.3336011981363852,0.4222140163913625,0.5212518720881019
