t,alg,randcom,rand,rcps,rcms,rps,rms
0.0,1.9337051389233513,1.9315289609185593,1.8513610562717988,1.932621965724219,1.9304359561128996,1.8678953043561668,1.8348268081874308
0.03,1.8031672576679816,1.8010063804525165,1.7213302579546474,1.802099233929784,1.7999135269752489,1.7378138493838222,1.7048466665254727
0.06,1.6821270342598877,1.6799475789743767,1.6103580784717684,1.6810395764115043,1.6788555815372492,1.6244330978983643,1.5962830590451724
0.09000000000000001,1.6020010256375055,1.5996565591439134,1.5343571751042724,1.6006010231187604,1.5987120951690663,1.5482320220689656,1.5204823281395792
0.12,1.5261505038654444,1.5238968565491084,1.4609748162070262,1.5248414045528291,1.5229523085453878,1.4746098648521355,1.4473397675619168
0.15,1.4509045062991561,1.448725394583927,1.392422402122719,1.4496709862156554,1.4477798029521984,1.4035987750161596,1.3812460292292783
0.18000000000000002,1.3782027081913142,1.3759052707320334,1.332511735752213,1.3767064830939766,1.3751040583700902,1.3423659163364354,1.3226575551679904
0.21000000000000002,1.3152862484494512,1.3141126773372946,1.273794728533296,1.3148457697943357,1.3133795848802536,1.2834804618753755,1.2641089951912166
0.24,1.257829367228318,1.2563445483511952,1.2177591731894775,1.2570780760572797,1.2556110206451108,1.2273167829133194,1.2082015634656356
0.27,1.2006936544883864,1.1991025905769186,1.1620726836825417,1.1998370068962265,1.1983681742576107,1.171522153573635,1.1526232137914483
0.3,1.1425485949527765,1.1409622108052284,1.1051121273187983,1.141696893902628,1.1402275277078289,1.1144896990597881,1.0957345555778084
0.33,1.0845000355730003,1.0828174652904186,1.0476119528831835,1.0835513219836592,1.082083608597178,1.0569684793577525,1.0382554264086146
0.36000000000000004,1.027053881128574,1.0251705745007424,0.990182181148104,1.025903375647108,1.0244377733543768,0.9994919876155987,0.9808723746806093
0.39,0.9709443542577638,0.9687401151712025,0.9371793671981021,0.9694722893771618,0.9680079409652432,0.9455891860936121,0.9287695483025922
0.42000000000000004,0.9209903821713966,0.920098923191432,0.8883919559184033,0.9207607180992189,0.9194371282836452,0.8968975832583216,0.8798863285784849
0.44999999999999996,0.8745409108683423,0.873412781993322,0.8414604935224649,0.8740732212741316,0.8727523427125123,0.8495632071182586,0.8333577799266711
0.48,0.8294369956269547,0.8280654883334273,0.798278135428829,0.8287245658298211,0.8274064108370335,0.8061440007813379,0.7904122700763201
0.51,0.7882230508465085,0.7872035103067591,0.7578551241758776,0.7877908620575679,0.7866161585559502,0.7654398113447384,0.7502704370070169
0.54,0.7507950820225358,0.7500104535082927,0.7214001475601225,0.7505981687413994,0.7494227382751859,0.728696466078518,0.714103829041727
0.5700000000000001,0.7153960481602907,0.7145852996414808,0.687202755128588,0.7151728908984256,0.7139977083845359,0.6942533991108081,0.6801521111463679
0.6,0.6809736738612471,0.6795425551311549,0.654594365820328,0.6801296672258664,0.6789554430364434,0.6611934615626487,0.6479952700780074
0.63,0.6472542772208809,0.6451369328745875,0.6239842760014772,0.6457231188577021,0.644550746891473,0.6304783000151022,0.6174902519878522
0.66,0.6160116246940138,0.6128399640656698,0.5954827340913138,0.6133625287067102,0.6123173994246294,0.6019722258598684,0.5889932423227592
0.6900000000000001,0.5877762236131927,0.583798974281306,0.5693262842033905,0.5842120004269215,0.5833859481356906,0.5757653998833081,0.5628871685234729
0.7200000000000001,0.5613879307793321,0.5576118414286192,0.5451240351607891,0.5580134909901036,0.5572101918671348,0.5516086781573123,0.5386393921642659
0.75,0.5363696651333921,0.532918453273753,0.5224219612858445,0.5333239592283806,0.5325129473191254,0.5290184497451066,0.5158254728265824
0.78,0.5124259382377183,0.5091588021967968,0.5009153626852363,0.5095670945599731,0.5087505098336205,0.5076767423424816,0.49415398302799096
0.81,0.48937076642489125,0.486003553986662,0.48052626835838913,0.48641299941312344,0.4855941085602006,0.4875001647572943,0.47355237195948396
0.8400000000000001,0.467239178036051,0.4638120161655642,0.46127445214911333,0.4642218496530944,0.46340218267803407,0.4685583311128375,0.45399057318538916
0.8700000000000001,0.4464478004823259,0.44297216870355677,0.443019637966654,0.44337833886446354,0.44256599854265,0.450721176232252,0.435318099701056
0.8999999999999999,0.4267362652175255,0.4233537868460066,0.42555729209735027,0.42370628480981143,0.4230012888822018,0.4337797162066921,0.41733486798800845
0.9299999999999999,0.4078509662018641,0.404789278159226,0.40881514970928384,0.40514071070945346,0.40443784560899854,0.4176618749670017,0.399968424451566
0.96,0.38967624291511005,0.38697919259873353,0.3927949937742111,0.3873099441859894,0.38664844101147766,0.40237024090931267,0.38321974663910957
0.99,0.3724062641385218,0.37021323693846336,0.3774289141615325,0.3705096818585117,0.36991679201841504,0.3878359352955921,0.3670218930274729
1.02,0.3560032647048059,0.3541824468516207,0.3626938896876647,0.35447522146545385,0.35388967223778756,0.3740329048312947,0.3513548745440347
1.05,0.34032577086165083,0.3387847185937744,0.34869809968256205,0.33907457846218747,0.33849485872536134,0.3610589118164711,0.336337287548653
1.08,0.32528716566021354,0.3241062291071393,0.33552508220143873,0.3243928877404577,0.32381957047382093,0.34898432710831245,0.322065837294565
1.11,0.3112788457139519,0.31013576449752855,0.3231427495166541,0.31041897845533817,0.30985255053971894,0.33777566290250477,0.30850983613080346
1.1400000000000001,0.2981438451409689,0.29681306781052286,0.3115194699626271,0.2970939146253376,0.29653222099570814,0.32738015285548494,0.2956587870697692
1.1700000000000002,0.2855593851249189,0.28404032129552764,0.30065962120053585,0.2843205576175414,0.2837600849735139,0.3177481078994209,0.28357113450165083
1.2,0.2734341662807762,0.27172263225444293,0.2905318877275201,0.27200355829063455,0.2714417062182513,0.30882341479447206,0.2722403606605681
1.2300000000000002,0.26176141601170827,0.2598646462144897,0.28115365428080086,0.260146423569306,0.25958286885967335,0.3006053290221331,0.2617019795394686
1.26,0.25060105151082945,0.248540479139663,0.27254822731617306,0.24882058793049508,0.24826037034883094,0.29311524638871833,0.2519812082436278
1.2899999999999998,0.239964003503694,0.23778688626424305,0.264621151685187,0.23805393647404463,0.23751983605444146,0.286278360326533,0.24296394304384106
1.32,0.22981915214977855,0.22754831729503175,0.25722204647979796,0.22780131583787516,0.22729531875218834,0.2799261729245447,0.23451792003505123
1.3499999999999999,0.2201310904303365,0.2177390903518648,0.2501425636034803,0.21798542824128006,0.21749275246244956,0.27385577245083786,0.22642935475612275
1.3800000000000001,0.21083269933141208,0.2082804312376644,0.24321922437902324,0.20852523026767117,0.20803563220765764,0.26793043923964205,0.21850800951840446
1.41,0.20186455295884798,0.19915134045203325,0.23643920891043813,0.19939879879725603,0.19890388210681048,0.2621497176431018,0.21072870017777445
1.4400000000000002,0.19323626302117203,0.19039191198929906,0.22989714720935378,0.19064053432997657,0.19014328964862154,0.2566190455464807,0.20317524887222685
1.47,0.18496492042424023,0.18204186554349064,0.22372062025830589,0.18228902681365108,0.1817947042733302,0.25147462247793534,0.19596661803867643
1.5,0.1770486154589033,0.17408633093372455,0.21797710141342966,0.1743294696306505,0.17384319223679862,0.2467960376900776,0.18915816513678171
1.53,0.16950800102599456,0.16647973171293592,0.21264025987887641,0.1667188006651161,0.16624066276075575,0.24257643172949597,0.18270408802825686
1.56,0.1623561725963824,0.15918104448491352,0.20766807396248665,0.15941854174762699,0.15894354722220005,0.2387895210569264,0.1765466268680469
1.59,0.15554845556605312,0.15216600203742994,0.20307771062468952,0.15240443255144168,0.1519275715234182,0.2354573507735495,0.17069807047582952
1.62,0.14902811632143392,0.14544757790481735,0.19894577322025012,0.1456757777120419,0.1452193780975928,0.23265146279352047,0.16524008364697976
1.65,0.14276937715668356,0.1390690097386876,0.19536510595105544,0.1392881884531242,0.138849831024251,0.2304550740019773,0.1602751379001336
